time,performance_context,performance_type,instruments,notes,flux,number_performers,entropy,trace,length_seconds,determinant,norm,filename
2014-03-17 18:31:15.956048,performance,improvisation,percussion,YAH Performance - metatone set,0.05294556301267726,4,1.9282559919278341,0.947054436987323,1340.190793,3.4523411678035203e-15,0.69612813824738,2014-03-17T18-30-57-MetatoneOSCLog
2014-04-27 16:43:31.555778,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.08051948051948014,2,1.9165860328076285,0.9194805194805195,384.921327,7.809565602606816e-20,0.733539788067439,2014-04-27T16-43-27-MetatoneOSCLog
2014-04-28 15:51:50.681420,demonstration,fail,iPad,CHI 2014 interactivity sessions.,0.375,2,3.199082295352822,0.625,11.985146,0.0,0.39086797998528583,2014-04-28T15-51-49-MetatoneOSCLog
2014-04-28 15:53:48.822274,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.055309734513274374,4,1.1287418535269576,0.9446902654867255,112.785334,0.0,0.8314640846613643,2014-04-28T15-53-48-MetatoneOSCLog
2014-04-28 15:55:51.729005,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.0869113573407204,4,2.0721914551865686,0.9130886426592798,721.312826,4.966340612234465e-16,0.689572672240032,2014-04-28T15-55-49-MetatoneOSCLog
2014-04-28 16:10:57.426382,demonstration,fail,iPad,CHI 2014 interactivity sessions.,0.037878787878787845,3,0.43285597100420425,0.9621212121212122,44.296824,0.0,0.9472423849810034,2014-04-28T16-10-52-MetatoneOSCLog
2014-04-28 16:12:29.371492,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.0829113924050634,4,1.7860681333544661,0.9170886075949366,394.918177,0.0,0.746019184913453,2014-04-28T16-12-25-MetatoneOSCLog
2014-04-28 16:19:37.888816,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.11271186440677962,4,1.9727037410368116,0.8872881355932203,294.148487,0.0,0.7458676736613823,2014-04-28T16-19-33-MetatoneOSCLog
2014-04-28 16:24:51.060393,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.07474747474747458,4,1.498469425549111,0.9252525252525252,495.494885,0.0,0.7969213668437745,2014-04-28T16-24-38-MetatoneOSCLog
2014-04-28 16:33:13.538548,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.07604166666666656,4,1.467038351244112,0.9239583333333334,239.939247,0.0,0.7983802504480905,2014-04-28T16-33-13-MetatoneOSCLog-autosplit
2014-04-28 16:43:08.745580,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.1535714285714287,2,2.9066015562156693,0.8464285714285713,280.024653,0.0,0.5333220396338254,2014-04-28T16-43-08-MetatoneOSCLog-autosplit
2014-04-28 17:01:45.337242,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,0.13326446280991724,4,2.6021188361076297,0.8667355371900827,242.497405,2.4845130488516517e-18,0.6196625105152406,2014-04-28T17-01-45-MetatoneOSCLog-autosplit
