time,filename,number_performers,performance_context,performance_type,instruments,notes,video_location
2014-04-29 15:19:05.612958,2014-04-29T15-18-15-MetatoneOSCLog,4,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,
2014-04-29 15:51:11.507481,2014-04-29T15-51-11-MetatoneOSCLog,6,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,
2014-05-05 20:05:21.683728,2014-05-05T20-02-01-MetatoneOSCLog,3,rehearsal,composition,iPad,Outpost 186 Boston - study in bowls rehearsal,
2014-05-05 20:26:47.513622,2014-05-05T20-26-38-MetatoneOSCLog,3,rehearsal,,,Outpost 186 Boston (?),
2014-05-05 20:42:54.146521,2014-05-05T20-39-43-MetatoneOSCLog,3,performance,composition,iPad,Outpost 186 Boston study in bowls,
2014-05-05 21:06:10.346007,2014-05-05T21-05-37-MetatoneOSCLog,3,performance,improvisation,,Outpost 186 Boston metalonsdale,
2014-05-05 21:13:50.836545,2014-05-05T21-12-48-MetatoneOSCLog,3,performance,improvisation,,Outpost 186 Boston birds nest,
2014-05-05 21:34:11.403789,2014-05-05T21-34-04-MetatoneOSCLog,3,demonstration,improvisation,iPad,Outpost 186 Boston show and tell,
2014-07-11 17:55:54.025469,2014-07-11T17-55-17-MetatoneOSCLog,2,performance,improvisation,iPad,ACMC duo,
2014-07-19 13:42:20.190750,2014-07-19T13-42-16-MetatoneOSCLog,4,orientation,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 13:58:19.311375,2014-07-19T13-58-10-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 14:06:09.653339,2014-07-19T14-06-01-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 14:13:35.436289,2014-07-19T14-13-30-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 14:40:09.285000,2014-07-19T14-39-52-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 14:47:38.703846,2014-07-19T14-47-24-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 14:54:37.752794,2014-07-19T14-54-08-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 15:05:10.533829,2014-07-19T15-04-54-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 15:12:10.783353,2014-07-19T15-11-54-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 15:18:48.473461,2014-07-19T15-18-35-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 15:50:19.420698,2014-07-19T15-50-04-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 15:57:29.513102,2014-07-19T15-57-19-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:04:29.100564,2014-07-19T16-04-06-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:19:55.315323,2014-07-19T16-19-28-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:26:48.191563,2014-07-19T16-26-31-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:36:11.818301,2014-07-19T16-35-49-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:48:48.416779,2014-07-19T16-48-26-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 16:56:08.130468,2014-07-19T16-55-41-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-07-19 17:03:06.941374,2014-07-19T17-02-51-MetatoneOSCLog,3,study,improvisation,iPad,2014 iPad Study Session.,
2014-08-11 20:02:33.877976,2014-08-11T20-01-49-MetatoneOSCLog,3,rehearsal,,,metatone rehearsal for colour music,
2014-08-11 20:30:48.929615,2014-08-11T20-30-18-MetatoneOSCLog,3,rehearsal,,,metatone rehearsal for colour music,
2014-08-11 20:54:53.093791,2014-08-11T20-54-49-MetatoneOSCLog,3,rehearsal,,,metatone rehearsal for colour music,
2014-08-14 18:41:12.603087,2014-08-14T18-40-57-MetatoneOSCLog,3,performance,improvisation,iPad,colour music opening,
2014-08-23 16:47:50.317145,2014-08-23T16-47-33-MetatoneOSCLog,3,rehearsal,,,metatone colour music rehearsal,
2014-08-23 17:39:30.349798,2014-08-23T17-38-05-MetatoneOSCLog,3,rehearsal,,,metatone colour music rehearsal,
2014-08-23 17:50:48.789577,2014-08-23T17-50-37-MetatoneOSCLog,3,rehearsal,,,metatone colour music rehearsal,
2014-08-24 14:01:41.489372,2014-08-24T14-01-09-MetatoneOSCLog,4,rehearsal,,,colour music concert rehearsal,
2014-08-24 14:36:48.750693,2014-08-24T14-36-35-MetatoneOSCLog,4,rehearsal,,,colour music concert rehearsal,
2014-08-24 15:05:24.532787,2014-08-24T15-04-15-MetatoneOSCLog,4,performance,composition,iPad,colour music concert gesture study,
2014-08-24 15:15:22.633761,2014-08-24T15-13-11-MetatoneOSCLog,4,performance,improvisation,iPad,colour music concert birds nest,
2014-08-24 15:23:48.189557,2014-08-24T15-23-02-MetatoneOSCLog,4,performance,improvisation,iPad,colour music concert snow music,
2014-08-24 15:32:56.216753,2014-08-24T15-31-37-MetatoneOSCLog,4,performance,improvisation,iPad,colour music concert singing bowls,
2014-08-24 15:45:01.750883,2014-08-24T15-44-55-MetatoneOSCLog,3,performance,composition,iPad,colour music concert Cage Amores,
2014-08-24 15:47:43.664464,2014-08-24T15-47-42-MetatoneOSCLog,4,performance,composition,percussion,colour music concert correspondences,
2014-08-24 15:56:07.952397,2014-08-24T15-56-07-MetatoneOSCLog,4,demonstration,improvisation,iPad,colour music concert - audience demo session.,
2015-03-20 13:40:47.684507,2015-03-20T13-39-35-MetatoneOSCLog-6PlayerRehearsal,6,rehearsal,composition,iPad,ANU New Music Ensemble Rehearsing in Listening Space,
2015-03-21 23:48:32.856694,2015-03-21T23-45-42-MetatoneOSCLog-6PlayerPerformance,6,performance,composition,iPad,ANU New Music Ensemble Performance at You Are Here 2015,
2015-04-24 15:40:00.578788,2015-04-24T15-39-57-MetatoneOSCLog,4,study,orientation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 15:47:54.286346,2015-04-24T15-47-49-MetatoneOSCLog,4,study,orientation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 15:49:57.925677,2015-04-24T15-49-54-MetatoneOSCLog,4,study,orientation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 15:51:17.229257,2015-04-24T15-51-15-MetatoneOSCLog,2,study,fail,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 15:53:51.383958,2015-04-24T15-53-38-MetatoneOSCLog,4,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 16:04:14.922360,2015-04-24T16-03-58-MetatoneOSCLog,4,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 16:14:33.937713,2015-04-24T16-14-16-MetatoneOSCLog,4,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-24 16:23:02.908009,2015-04-24T16-22-51-MetatoneOSCLog,4,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",
2015-04-29 17:54:52.018312,2015-04-29T17-54-12-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-04-29 18:11:55.343287,2015-04-29T18-11-31-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-04-29 18:25:14.797605,2015-04-29T18-24-10-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-04-29 18:35:30.517296,2015-04-29T18-34-58-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-01 17:53:23.576060,2015-05-01T17-52-41-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-01 18:20:44.864740,2015-05-01T18-20-16-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-01 18:34:23.255072,2015-05-01T18-34-00-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-01 18:46:36.859530,2015-05-01T18-46-15-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-07 18:11:26.362992,2015-05-07T18-10-57-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-07 18:25:57.558081,2015-05-07T18-25-31-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-07 18:37:59.149816,2015-05-07T18-37-30-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
2015-05-07 18:52:39.024239,2015-05-07T18-52-14-MetatoneOSCLog,4,study,improvisation,iPad,2015 iPad Study Session in Listening Space,
