,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-03-17 18:10:25.991151,2014-03-17T18-09-46-MetatoneOSCLog,7.0,846.841094,performance,composition,iPad,YAH Performance - study in bowls performance,portrait,,0.25653769024372974,7,846.841094,4.224340927134063,2014-03-17T18-09-46-MetatoneOSCLog
2014-03-17 18:31:15.956048,2014-03-17T18-30-57-MetatoneOSCLog,4.0,"1,340.190793",performance,improvisation,percussion,YAH Performance - metatone set,landscape,,0.2002097820652026,4,1340.190793,4.183287810041028,2014-03-17T18-30-57-MetatoneOSCLog
2014-04-27 16:43:31.555778,2014-04-27T16-43-27-MetatoneOSCLog,2.0,384.921327,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.39805619585786467,2,384.921327,3.993971184456133,2014-04-27T16-43-27-MetatoneOSCLog
2014-04-28 15:51:50.681420,2014-04-28T15-51-49-MetatoneOSCLog,2.0,11.985146,demonstration,fail,iPad,CHI 2014 interactivity sessions.,,,0.375,2,11.985146,3.199082295352822,2014-04-28T15-51-49-MetatoneOSCLog
2014-04-28 15:53:48.822274,2014-04-28T15-53-48-MetatoneOSCLog,4.0,112.785334,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.05530973451327434,4,112.785334,1.1287418535269576,2014-04-28T15-53-48-MetatoneOSCLog
2014-04-28 15:55:51.729005,2014-04-28T15-55-49-MetatoneOSCLog,4.0,721.312826,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.29900266960037786,4,721.312826,4.415008619952469,2014-04-28T15-55-49-MetatoneOSCLog
2014-04-28 16:10:57.426382,2014-04-28T16-10-52-MetatoneOSCLog,3.0,44.296824,demonstration,fail,iPad,CHI 2014 interactivity sessions.,,,0.03787878787878788,3,44.296824,0.43285597100420425,2014-04-28T16-10-52-MetatoneOSCLog
2014-04-28 16:12:29.371492,2014-04-28T16-12-25-MetatoneOSCLog,4.0,394.918177,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.08291139240506329,4,394.918177,1.7860681333544661,2014-04-28T16-12-25-MetatoneOSCLog
2014-04-28 16:19:37.888816,2014-04-28T16-19-33-MetatoneOSCLog,4.0,294.148487,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.11271186440677966,4,294.148487,1.9727037410368116,2014-04-28T16-19-33-MetatoneOSCLog
2014-04-28 16:24:51.060393,2014-04-28T16-24-38-MetatoneOSCLog,4.0,495.494885,demonstration,improvisation,iPad,CHI 2014 interactivity sessions.,,,0.07474747474747474,4,495.494885,1.498469425549111,2014-04-28T16-24-38-MetatoneOSCLog
