,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2015-03-20 13:48:33.423973,2015-03-20T13-48-33-MetatoneOSCLog-autosplit,2.0,5.020157,rehearsal,fail,iPad,ANU New Music Ensemble Rehearsal,,,0.4,2,5.020157,1.7609640474436812,2015-03-20T13-48-33-MetatoneOSCLog-autosplit
2015-03-20 13:49:15.926543,2015-03-20T13-49-15-MetatoneOSCLog-autosplit,6.0,214.572417,rehearsal,composition,iPad,ANU New Music Ensemble Rehearsal - rehearsing sections of gesture study,,,0.3450075812920421,6,214.572417,4.219880230177317,2015-03-20T13-49-15-MetatoneOSCLog-autosplit
2015-03-20 13:53:24.325925,2015-03-20T13-53-24-MetatoneOSCLog-autosplit,5.0,388.750292,rehearsal,composition,iPad,ANU New Music Ensemble Rehearsal - rehearsing sections of gesture study,,,0.3021009182599708,5,388.750292,4.643154680800581,2015-03-20T13-53-24-MetatoneOSCLog-autosplit
2015-03-20 14:01:00.421682,2015-03-20T14-01-00-MetatoneOSCLog-autosplit,1.0,0.004293,rehearsal,fail,iPad,ANU New Music Ensemble Rehearsal,,,0.0,1,0.004293,-inf,2015-03-20T14-01-00-MetatoneOSCLog-autosplit
2015-03-20 14:02:20.406455,2015-03-20T14-02-20-MetatoneOSCLog-autosplit,1.0,0.002084,rehearsal,fail,iPad,ANU New Music Ensemble Rehearsal,,,0.0,1,0.002084,-inf,2015-03-20T14-02-20-MetatoneOSCLog-autosplit
2015-03-20 14:02:51.744646,2015-03-20T14-02-51-MetatoneOSCLog-autosplit,5.0,460.266348,rehearsal,composition,iPad,ANU New Music Ensemble - gesture study (rehearsal),,,0.1419391444556373,5,460.266348,3.9751672760290035,2015-03-20T14-02-51-MetatoneOSCLog-autosplit
2015-03-20 14:11:13.353861,2015-03-20T14-11-00-MetatoneOSCLog-6PlayerRehearsal,3.0,65.540359,rehearsal,fail,iPad,ANU New Music Ensemble Rehearsal,,,0.02564102564102564,3,65.540359,0.570754164296879,2015-03-20T14-11-00-MetatoneOSCLog-6PlayerRehearsal
2015-03-21 23:48:32.856694,2015-03-21T23-45-42-MetatoneOSCLog-6PlayerPerformance,6.0,546.728321,performance,composition,iPad,ANU New Music Ensemble Performance at You Are Here 2015,,,0.15904670947570368,6,546.728321,4.0501929560303225,2015-03-21T23-45-42-MetatoneOSCLog-6PlayerPerformance
2015-04-24 15:40:00.578788,2015-04-24T15-39-57-MetatoneOSCLog,4.0,425.064114,demonstration,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.3247327864572196,4,425.064114,4.604329138113262,2015-04-24T15-39-57-MetatoneOSCLog
2015-04-24 15:47:54.286346,2015-04-24T15-47-49-MetatoneOSCLog,4.0,101.551455,demonstration,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.09405940594059406,4,101.551455,2.3508846439123956,2015-04-24T15-47-49-MetatoneOSCLog
2015-04-24 15:49:57.925677,2015-04-24T15-49-54-MetatoneOSCLog,4.0,60.470308,demonstration,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.1762295081967213,4,60.470308,2.889665911012122,2015-04-24T15-49-54-MetatoneOSCLog
2015-04-24 15:51:17.229257,2015-04-24T15-51-15-MetatoneOSCLog,2.0,34.929703,demonstration,fail,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.2714285714285714,2,34.929703,3.7265104750059828,2015-04-24T15-51-15-MetatoneOSCLog
2015-04-24 15:53:51.383958,2015-04-24T15-53-38-MetatoneOSCLog,4.0,275.441127,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.26333293033745775,4,275.441127,4.481554752967484,2015-04-24T15-53-38-MetatoneOSCLog
2015-04-24 16:04:14.922360,2015-04-24T16-03-58-MetatoneOSCLog,4.0,246.770818,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.2563964728781936,4,246.770818,4.426745731175021,2015-04-24T16-03-58-MetatoneOSCLog
2015-04-24 16:14:33.937713,2015-04-24T16-14-16-MetatoneOSCLog,4.0,231.813166,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.2617543742120703,4,231.813166,4.260819714279593,2015-04-24T16-14-16-MetatoneOSCLog
2015-04-24 16:23:02.908009,2015-04-24T16-22-51-MetatoneOSCLog,4.0,262.935206,study,improvisation,iPad,"study walkthrough with charles, christina, ben and malcolm.",,,0.26177028614492664,4,262.935206,4.204763692255016,2015-04-24T16-22-51-MetatoneOSCLog
2015-04-29 17:54:52.018312,2015-04-29T17-54-12-MetatoneOSCLog,4.0,666.397226,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.24207880856231678,4,666.397226,4.4716346587883296,2015-04-29T17-54-12-MetatoneOSCLog
2015-04-29 18:11:55.343287,2015-04-29T18-11-31-MetatoneOSCLog,4.0,551.710219,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.2667089098598385,4,551.710219,4.428567742749493,2015-04-29T18-11-31-MetatoneOSCLog
2015-04-29 18:25:14.797605,2015-04-29T18-24-10-MetatoneOSCLog,4.0,426.543398,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.24254379674002013,4,426.543398,4.337232924888492,2015-04-29T18-24-10-MetatoneOSCLog
2015-04-29 18:35:30.517296,2015-04-29T18-34-58-MetatoneOSCLog,4.0,547.921482,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.24930092759348776,4,547.921482,4.441129985443859,2015-04-29T18-34-58-MetatoneOSCLog
2015-05-01 17:53:23.576060,2015-05-01T17-52-41-MetatoneOSCLog,4.0,458.187169,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.24970337663152936,4,458.187169,4.474241746069921,2015-05-01T17-52-41-MetatoneOSCLog
2015-05-01 18:20:44.864740,2015-05-01T18-20-16-MetatoneOSCLog,4.0,496.128227,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.2606810481721236,4,496.128227,4.42427411308972,2015-05-01T18-20-16-MetatoneOSCLog
2015-05-01 18:34:23.255072,2015-05-01T18-34-00-MetatoneOSCLog,4.0,484.156423,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.2912821950677524,4,484.156423,4.663128585839945,2015-05-01T18-34-00-MetatoneOSCLog
2015-05-01 18:46:36.859530,2015-05-01T18-46-15-MetatoneOSCLog,4.0,553.449621,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.2502938510934707,4,553.449621,4.510715118786918,2015-05-01T18-46-15-MetatoneOSCLog
2015-05-07 18:11:26.362992,2015-05-07T18-10-57-MetatoneOSCLog,4.0,584.36969,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.19574826595737704,4,584.36969,4.217070143201748,2015-05-07T18-10-57-MetatoneOSCLog
2015-05-07 18:25:57.558081,2015-05-07T18-25-31-MetatoneOSCLog,4.0,495.234814,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.2381899680088741,4,495.234814,4.409673629120242,2015-05-07T18-25-31-MetatoneOSCLog
2015-05-07 18:37:59.149816,2015-05-07T18-37-30-MetatoneOSCLog,4.0,682.385519,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.21531479522993655,4,682.385519,4.236978295199439,2015-05-07T18-37-30-MetatoneOSCLog
2015-05-07 18:52:39.024239,2015-05-07T18-52-14-MetatoneOSCLog,4.0,502.68979,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.21877333190440545,4,502.68979,4.31438544511913,2015-05-07T18-52-14-MetatoneOSCLog
2015-05-08 15:28:20.560413,2015-05-08T15-27-39-MetatoneOSCLog,4.0,502.505539,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.29210364573058045,4,502.505539,4.606058124963565,2015-05-08T15-27-39-MetatoneOSCLog
2015-05-08 15:41:15.725976,2015-05-08T15-40-48-MetatoneOSCLog,4.0,552.839799,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.24313757794632895,4,552.839799,4.468828014059593,2015-05-08T15-40-48-MetatoneOSCLog
2015-05-08 15:53:57.501890,2015-05-08T15-53-31-MetatoneOSCLog,4.0,649.122387,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.22167661855595672,4,649.122387,4.372895658486387,2015-05-08T15-53-31-MetatoneOSCLog
2015-05-08 16:08:10.914470,2015-05-08T16-07-46-MetatoneOSCLog,4.0,532.231741,study,improvisation,iPad,2015 iPad Study Session in Listening Space,,,0.1989576572189586,4,532.231741,4.287726018378544,2015-05-08T16-07-46-MetatoneOSCLog
2015-06-03 11:49:44.247576,2015-06-03T11-44-21-MetatoneOSCLog,2.0,496.440508,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.2762712991124541,2,496.440508,4.354016998408707,2015-06-03T11-44-21-MetatoneOSCLog
2015-06-03 11:58:07.670342,2015-06-03T11-58-07-MetatoneOSCLog,2.0,599.097226,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.2889692848193606,2,599.097226,4.550304282525415,2015-06-03T11-58-07-MetatoneOSCLog
2015-06-03 12:24:33.903959,2015-06-03T12-23-20-MetatoneOSCLog,2.0,412.030799,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.2664116013043831,2,412.030799,4.378279507588319,2015-06-03T12-23-20-MetatoneOSCLog
2015-06-03 12:32:50.235958,2015-06-03T12-32-45-MetatoneOSCLog,2.0,647.37253,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.28856549187969205,2,647.37253,4.607091496141822,2015-06-03T12-32-45-MetatoneOSCLog
2015-06-03 12:45:18.075280,2015-06-03T12-43-43-MetatoneOSCLog,2.0,515.85644,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.3194095360486123,2,515.85644,4.633584949831107,2015-06-03T12-43-43-MetatoneOSCLog
2015-06-03 12:56:45.571663,2015-06-03T12-56-05-MetatoneOSCLog,2.0,"1,106.649094",demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.35714403381035115,2,156.850728,4.540262310716335,2015-06-03T12-56-45-MetatoneOSCLog-autosplit
2015-06-03 13:11:06.685858,,,,,,,,,,0.06300813008130081,2,245.534899,1.0839768566427905,2015-06-03T13-11-06-MetatoneOSCLog-autosplit
2015-06-03 13:15:18.136367,2015-06-03T13-15-15-MetatoneOSCLog,2.0,659.791275,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.022388059701492536,2,201.470822,0.7682770276721679,2015-06-03T13-15-18-MetatoneOSCLog-autosplit
2015-06-03 13:21:44.021393,,,,,,,,,,0.3785315110318323,2,273.906249,4.605129213403765,2015-06-03T13-21-44-MetatoneOSCLog-autosplit
2015-06-03 13:28:26.262378,2015-06-03T13-27-38-MetatoneOSCLog,2.0,451.166216,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.1385809312638581,2,451.166216,2.8091746405146063,2015-06-03T13-27-38-MetatoneOSCLog
2015-06-03 13:43:26.981226,2015-06-03T13-42-22-MetatoneOSCLog,2.0,220.773361,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.11085972850678733,2,220.773361,2.102958496212669,2015-06-03T13-42-22-MetatoneOSCLog
2015-06-03 13:55:51.408092,2015-06-03T13-53-06-MetatoneOSCLog,2.0,158.625629,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.07861635220125786,2,158.625629,1.7034502484044531,2015-06-03T13-53-06-MetatoneOSCLog
2015-06-03 14:03:48.767869,2015-06-03T14-03-40-MetatoneOSCLog,2.0,601.068649,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.28720517017073394,2,601.068649,4.590837296481099,2015-06-03T14-03-40-MetatoneOSCLog
2015-06-03 14:16:41.628736,2015-06-03T14-14-37-MetatoneOSCLog,2.0,513.10544,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.3426445148850219,2,513.10544,4.270215640555256,2015-06-03T14-14-37-MetatoneOSCLog
2015-06-03 14:25:30.962074,2015-06-03T14-25-25-MetatoneOSCLog,2.0,533.435607,demonstration,improvisation,iPad,NIME 2015 poster demo session,,,0.34117115894856614,2,533.435607,4.567036577468341,2015-06-03T14-25-25-MetatoneOSCLog
2015-06-22 14:41:54.881804,2015-06-22T14-41-40-MetatoneOSCLog,2.0,87.11751,rehearsal,improvisation,iPad,CGS classroom session,,,0.3693319838056679,2,87.11751,4.2483659336297075,2015-06-22T14-41-40-MetatoneOSCLog
2015-06-22 14:46:21.531978,2015-06-22T14-46-15-MetatoneOSCLog,2.0,79.264008,rehearsal,improvisation,iPad,CGS classroom session,,,0.27848101265822783,2,79.264008,3.2181258061008653,2015-06-22T14-46-15-MetatoneOSCLog
2015-06-22 14:50:19.611843,2015-06-22T14-50-15-MetatoneOSCLog,2.0,124.446847,rehearsal,improvisation,iPad,CGS classroom session,,,0.28,2,124.446847,4.07085019340937,2015-06-22T14-50-15-MetatoneOSCLog
2015-06-22 14:55:26.811268,2015-06-22T14-55-12-MetatoneOSCLog,2.0,17.54072,rehearsal,fail,iPad,CGS classroom session,,,0.1111111111111111,2,17.54072,1.550691288015528,2015-06-22T14-55-12-MetatoneOSCLog
2015-06-22 14:56:03.293495,2015-06-22T14-56-00-MetatoneOSCLog,2.0,162.62534,rehearsal,improvisation,iPad,CGS classroom session,,,0.38680613255320995,2,162.62534,4.662212311924976,2015-06-22T14-56-00-MetatoneOSCLog
2015-06-22 14:59:37.180664,2015-06-22T14-59-30-MetatoneOSCLog,2.0,12.077161,rehearsal,fail,iPad,CGS classroom session,,,0.20833333333333334,2,12.077161,1.7969371097526867,2015-06-22T14-59-30-MetatoneOSCLog
2015-06-22 15:00:15.521448,2015-06-22T15-00-08-MetatoneOSCLog,2.0,227.716581,rehearsal,improvisation,iPad,CGS classroom session,,,0.3733589266484004,2,227.716581,4.773301302618815,2015-06-22T15-00-08-MetatoneOSCLog
2015-06-22 15:05:29.536208,2015-06-22T15-05-24-MetatoneOSCLog,2.0,243.958448,rehearsal,improvisation,iPad,CGS classroom session,,,0.33958396930712603,2,243.958448,4.707521516460918,2015-06-22T15-05-24-MetatoneOSCLog
2015-06-22 15:13:55.003444,2015-06-22T15-13-49-MetatoneOSCLog,4.0,280.05166,rehearsal,improvisation,iPad,CGS classroom session,,,0.27307952795659535,4,280.05166,4.485512118602952,2015-06-22T15-13-49-MetatoneOSCLog
2015-06-22 15:20:57.202154,2015-06-22T15-20-54-MetatoneOSCLog,4.0,296.096946,rehearsal,improvisation,iPad,CGS classroom session,,,0.3489824870060593,4,296.096946,4.777761833084344,2015-06-22T15-20-54-MetatoneOSCLog
2015-06-23 14:46:59.704682,2015-06-23T14-46-55-MetatoneOSCLog,5.0,523.887504,rehearsal,improvisation,iPad,CGS classroom session,,,0.27408388460284,5,523.887504,4.619645035191931,2015-06-23T14-46-55-MetatoneOSCLog
2015-06-23 15:00:11.449963,2015-06-23T15-00-08-MetatoneOSCLog,5.0,444.632466,rehearsal,improvisation,iPad,CGS classroom session,,,0.30108000321130796,5,444.632466,4.676564320418722,2015-06-23T15-00-08-MetatoneOSCLog
2015-06-23 15:10:44.193902,2015-06-23T15-10-41-MetatoneOSCLog,5.0,451.971668,rehearsal,improvisation,iPad,CGS classroom session,,,0.3167783581392618,5,451.971668,4.6277111271879185,2015-06-23T15-10-41-MetatoneOSCLog
