time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-22 15:00:15,0,0
2015-06-22 15:00:16,6,0
2015-06-22 15:00:17,2,2
2015-06-22 15:00:18,2,7
2015-06-22 15:00:19,2,7
2015-06-22 15:00:20,2,7
2015-06-22 15:00:21,2,7
2015-06-22 15:00:22,2,7
2015-06-22 15:00:23,2,7
2015-06-22 15:00:24,2,7
2015-06-22 15:00:25,2,7
2015-06-22 15:00:26,2,7
2015-06-22 15:00:27,2,7
2015-06-22 15:00:28,2,7
2015-06-22 15:00:29,2,7
2015-06-22 15:00:30,2,7
2015-06-22 15:00:31,2,7
2015-06-22 15:00:32,2,7
2015-06-22 15:00:33,2,7
2015-06-22 15:00:34,5,4
2015-06-22 15:00:35,8,4
2015-06-22 15:00:36,6,4
2015-06-22 15:00:37,6,4
2015-06-22 15:00:38,7,4
2015-06-22 15:00:39,8,4
2015-06-22 15:00:40,8,4
2015-06-22 15:00:41,8,4
2015-06-22 15:00:42,8,4
2015-06-22 15:00:43,8,4
2015-06-22 15:00:44,5,4
2015-06-22 15:00:45,5,4
2015-06-22 15:00:46,4,4
2015-06-22 15:00:47,2,4
2015-06-22 15:00:48,2,4
2015-06-22 15:00:49,2,4
2015-06-22 15:00:50,2,3
2015-06-22 15:00:51,2,3
2015-06-22 15:00:52,2,3
2015-06-22 15:00:53,2,3
2015-06-22 15:00:54,2,3
2015-06-22 15:00:55,2,3
2015-06-22 15:00:56,2,3
2015-06-22 15:00:57,2,2
2015-06-22 15:00:58,2,2
2015-06-22 15:00:59,5,4
2015-06-22 15:01:00,6,4
2015-06-22 15:01:01,6,4
2015-06-22 15:01:02,7,8
2015-06-22 15:01:03,7,7
2015-06-22 15:01:04,7,8
2015-06-22 15:01:05,4,8
2015-06-22 15:01:06,4,7
2015-06-22 15:01:07,4,7
2015-06-22 15:01:08,2,7
2015-06-22 15:01:09,8,7
2015-06-22 15:01:10,4,7
