time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:28:20,0,0,0,0
2015-05-08 15:28:21,2,0,0,0
2015-05-08 15:28:22,2,2,0,0
2015-05-08 15:28:23,2,2,0,0
2015-05-08 15:28:24,2,2,2,0
2015-05-08 15:28:25,2,2,2,0
2015-05-08 15:28:26,2,2,2,6
2015-05-08 15:28:27,0,6,2,7
2015-05-08 15:28:28,0,2,2,7
2015-05-08 15:28:29,0,7,5,7
2015-05-08 15:28:30,2,7,5,7
2015-05-08 15:28:31,2,7,5,7
2015-05-08 15:28:32,2,7,5,7
2015-05-08 15:28:33,2,3,5,7
2015-05-08 15:28:34,5,3,2,7
2015-05-08 15:28:35,7,3,2,5
2015-05-08 15:28:36,7,3,2,7
2015-05-08 15:28:37,7,3,0,7
2015-05-08 15:28:38,7,4,2,7
2015-05-08 15:28:39,7,4,4,7
2015-05-08 15:28:40,5,4,4,7
2015-05-08 15:28:41,5,4,4,7
2015-05-08 15:28:42,7,4,4,7
2015-05-08 15:28:43,5,3,4,7
2015-05-08 15:28:44,5,3,3,7
2015-05-08 15:28:45,2,3,3,7
2015-05-08 15:28:46,2,3,3,7
2015-05-08 15:28:47,2,1,0,7
2015-05-08 15:28:48,2,3,0,7
2015-05-08 15:28:49,2,3,0,7
2015-05-08 15:28:50,2,3,0,7
2015-05-08 15:28:51,2,3,8,7
2015-05-08 15:28:52,2,2,7,7
2015-05-08 15:28:53,2,2,7,7
2015-05-08 15:28:54,2,2,7,7
2015-05-08 15:28:55,0,2,7,7
2015-05-08 15:28:56,0,4,4,7
2015-05-08 15:28:57,0,4,2,7
2015-05-08 15:28:58,2,4,2,7
2015-05-08 15:28:59,2,3,2,7
2015-05-08 15:29:00,2,3,2,7
2015-05-08 15:29:01,2,8,2,7
2015-05-08 15:29:02,2,3,2,7
2015-05-08 15:29:03,2,3,2,7
2015-05-08 15:29:04,2,4,0,7
2015-05-08 15:29:05,2,4,0,7
2015-05-08 15:29:06,0,4,2,7
2015-05-08 15:29:07,0,4,6,7
2015-05-08 15:29:08,1,4,6,7
2015-05-08 15:29:09,2,4,6,7
2015-05-08 15:29:10,2,4,7,5
2015-05-08 15:29:11,2,4,7,5
2015-05-08 15:29:12,2,6,4,7
2015-05-08 15:29:13,2,6,4,5
2015-05-08 15:29:14,2,4,4,7
2015-05-08 15:29:15,2,3,0,7
2015-05-08 15:29:16,1,3,7,7
2015-05-08 15:29:17,1,3,8,7
2015-05-08 15:29:18,1,3,6,7
2015-05-08 15:29:19,2,1,6,7
2015-05-08 15:29:20,2,3,8,7
2015-05-08 15:29:21,2,3,3,7
2015-05-08 15:29:22,2,3,2,7
2015-05-08 15:29:23,2,3,2,7
2015-05-08 15:29:24,2,3,3,7
2015-05-08 15:29:25,2,3,3,7
2015-05-08 15:29:26,2,1,3,7
2015-05-08 15:29:27,2,1,3,7
2015-05-08 15:29:28,2,1,3,7
2015-05-08 15:29:29,2,1,2,7
2015-05-08 15:29:30,2,1,2,7
2015-05-08 15:29:31,2,2,8,7
2015-05-08 15:29:32,5,6,7,7
2015-05-08 15:29:33,5,7,7,7
2015-05-08 15:29:34,7,7,7,7
