time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:02:24,3,2,2,2,7
2015-06-23 15:02:25,3,2,2,2,8
2015-06-23 15:02:26,3,2,2,3,1
2015-06-23 15:02:27,3,1,2,3,1
2015-06-23 15:02:28,3,3,2,3,1
2015-06-23 15:02:29,2,3,2,3,1
2015-06-23 15:02:30,2,4,2,3,1
2015-06-23 15:02:31,2,4,2,3,1
2015-06-23 15:02:32,2,7,2,3,1
2015-06-23 15:02:33,2,7,2,3,1
2015-06-23 15:02:34,2,7,2,2,3
2015-06-23 15:02:35,2,4,2,3,4
2015-06-23 15:02:36,2,4,2,3,4
2015-06-23 15:02:37,2,4,2,3,8
2015-06-23 15:02:38,3,4,2,3,8
2015-06-23 15:02:39,3,7,2,3,8
2015-06-23 15:02:40,1,4,2,3,5
2015-06-23 15:02:41,1,4,2,1,5
2015-06-23 15:02:42,1,4,2,1,5
2015-06-23 15:02:43,1,4,2,1,5
2015-06-23 15:02:44,1,4,2,1,8
2015-06-23 15:02:45,2,4,2,2,3
2015-06-23 15:02:46,2,4,2,2,3
2015-06-23 15:02:47,2,4,2,1,3
2015-06-23 15:02:48,2,3,2,2,3
2015-06-23 15:02:49,2,3,2,2,3
2015-06-23 15:02:50,2,4,2,2,3
2015-06-23 15:02:51,2,7,2,1,3
2015-06-23 15:02:52,2,7,2,2,1
2015-06-23 15:02:53,3,8,2,2,3
2015-06-23 15:02:54,3,8,2,2,3
2015-06-23 15:02:55,1,8,2,2,3
2015-06-23 15:02:56,1,8,2,2,3
2015-06-23 15:02:57,1,8,1,2,1
2015-06-23 15:02:58,1,3,1,2,1
2015-06-23 15:02:59,1,3,1,2,2
2015-06-23 15:03:00,1,3,2,2,1
2015-06-23 15:03:01,1,3,2,3,3
2015-06-23 15:03:02,1,3,2,1,3
2015-06-23 15:03:03,1,3,8,1,3
2015-06-23 15:03:04,1,4,7,3,4
2015-06-23 15:03:05,1,4,7,3,7
2015-06-23 15:03:06,1,4,7,4,7
2015-06-23 15:03:07,3,4,7,7,7
2015-06-23 15:03:08,3,4,7,7,7
2015-06-23 15:03:09,4,4,7,8,7
2015-06-23 15:03:10,4,3,7,7,7
2015-06-23 15:03:11,3,6,5,7,4
2015-06-23 15:03:12,3,8,5,7,4
2015-06-23 15:03:13,3,6,5,7,4
2015-06-23 15:03:14,3,4,7,7,4
2015-06-23 15:03:15,1,4,7,8,4
2015-06-23 15:03:16,2,4,7,7,4
