time,jonathan,christina,charles,yvonne
2014-08-24 15:26:19,7,2,3,5
2014-08-24 15:26:20,7,2,2,5
2014-08-24 15:26:21,7,2,2,5
2014-08-24 15:26:22,7,2,2,7
2014-08-24 15:26:23,7,2,2,7
2014-08-24 15:26:24,7,2,2,7
2014-08-24 15:26:25,7,2,3,7
2014-08-24 15:26:26,7,2,3,7
2014-08-24 15:26:27,7,2,3,7
2014-08-24 15:26:28,7,2,3,7
2014-08-24 15:26:29,7,2,3,7
2014-08-24 15:26:30,7,2,3,7
2014-08-24 15:26:31,7,2,3,7
2014-08-24 15:26:32,7,2,3,7
2014-08-24 15:26:33,7,2,3,7
2014-08-24 15:26:34,7,2,3,7
2014-08-24 15:26:35,7,2,5,7
2014-08-24 15:26:36,7,2,5,7
2014-08-24 15:26:37,7,2,5,7
2014-08-24 15:26:38,7,2,5,7
2014-08-24 15:26:39,7,2,5,7
2014-08-24 15:26:40,7,2,5,7
2014-08-24 15:26:41,7,2,5,7
2014-08-24 15:26:42,7,2,3,7
2014-08-24 15:26:43,6,2,3,7
2014-08-24 15:26:44,6,2,3,7
2014-08-24 15:26:45,6,2,5,7
2014-08-24 15:26:46,6,8,5,7
2014-08-24 15:26:47,6,4,5,7
2014-08-24 15:26:48,7,4,5,7
2014-08-24 15:26:49,6,4,5,7
2014-08-24 15:26:50,6,4,5,7
2014-08-24 15:26:51,7,4,5,7
2014-08-24 15:26:52,7,4,7,7
2014-08-24 15:26:53,7,4,5,7
2014-08-24 15:26:54,7,4,2,7
2014-08-24 15:26:55,7,4,2,7
2014-08-24 15:26:56,7,4,2,7
2014-08-24 15:26:57,7,4,2,7
2014-08-24 15:26:58,7,4,2,7
2014-08-24 15:26:59,7,4,2,7
2014-08-24 15:27:00,7,3,2,7
2014-08-24 15:27:01,7,3,3,7
2014-08-24 15:27:02,7,3,3,7
2014-08-24 15:27:03,7,1,3,7
2014-08-24 15:27:04,7,3,3,7
2014-08-24 15:27:05,7,3,1,7
2014-08-24 15:27:06,7,1,3,7
2014-08-24 15:27:07,7,3,1,7
2014-08-24 15:27:08,7,1,1,7
2014-08-24 15:27:09,7,1,1,7
2014-08-24 15:27:10,7,1,1,7
2014-08-24 15:27:11,7,1,1,7
2014-08-24 15:27:12,7,1,1,7
2014-08-24 15:27:13,7,1,1,7
2014-08-24 15:27:14,7,1,1,7
2014-08-24 15:27:15,7,1,1,7
2014-08-24 15:27:16,7,1,1,7
2014-08-24 15:27:17,7,1,1,7
2014-08-24 15:27:18,7,1,1,7
2014-08-24 15:27:19,7,1,1,6
2014-08-24 15:27:20,7,1,1,6
2014-08-24 15:27:21,7,1,1,6
2014-08-24 15:27:22,7,1,1,4
2014-08-24 15:27:23,7,1,1,4
2014-08-24 15:27:24,7,1,3,4
2014-08-24 15:27:25,7,1,3,0
2014-08-24 15:27:26,4,4,3,0
2014-08-24 15:27:27,4,4,2,0
2014-08-24 15:27:28,4,4,2,0
2014-08-24 15:27:29,8,4,2,0
2014-08-24 15:27:30,8,4,2,0
2014-08-24 15:27:31,2,3,2,0
2014-08-24 15:27:32,2,2,2,0
2014-08-24 15:27:33,2,2,2,0
2014-08-24 15:27:34,2,2,2,0
2014-08-24 15:27:35,2,2,2,0
2014-08-24 15:27:36,2,2,2,0
2014-08-24 15:27:37,2,2,2,0
2014-08-24 15:27:38,2,2,2,0
2014-08-24 15:27:39,2,3,2,0
2014-08-24 15:27:40,2,3,2,0
2014-08-24 15:27:41,2,3,2,0
2014-08-24 15:27:42,2,3,2,0
2014-08-24 15:27:43,2,1,2,0
2014-08-24 15:27:44,2,3,2,0
2014-08-24 15:27:45,2,3,2,0
2014-08-24 15:27:46,2,3,2,0
2014-08-24 15:27:47,2,3,2,0
2014-08-24 15:27:48,2,2,2,0
2014-08-24 15:27:49,2,2,2,0
2014-08-24 15:27:50,2,2,8,0
2014-08-24 15:27:51,2,2,8,0
2014-08-24 15:27:52,2,2,4,0
2014-08-24 15:27:53,2,4,7,0
2014-08-24 15:27:54,2,4,6,0
2014-08-24 15:27:55,2,7,6,0
2014-08-24 15:27:56,2,7,6,0
2014-08-24 15:27:57,0,6,6,0
2014-08-24 15:27:58,2,6,6,0
2014-08-24 15:27:59,2,6,6,2
2014-08-24 15:28:00,2,6,6,7
2014-08-24 15:28:01,2,6,6,7
2014-08-24 15:28:02,2,4,6,7
2014-08-24 15:28:03,2,3,7,6
2014-08-24 15:28:04,2,3,6,6
2014-08-24 15:28:05,6,1,6,6
2014-08-24 15:28:06,8,1,6,6
2014-08-24 15:28:07,8,3,6,6
2014-08-24 15:28:08,8,3,7,6
2014-08-24 15:28:09,8,3,7,6
2014-08-24 15:28:10,2,4,7,6
2014-08-24 15:28:11,2,4,7,6
2014-08-24 15:28:12,8,4,7,6
2014-08-24 15:28:13,5,4,6,6
2014-08-24 15:28:14,7,4,6,6
2014-08-24 15:28:15,7,4,6,6
2014-08-24 15:28:16,7,4,6,6
2014-08-24 15:28:17,7,4,6,6
2014-08-24 15:28:18,6,6,7,6
2014-08-24 15:28:19,4,6,6,6
2014-08-24 15:28:20,4,6,6,6
2014-08-24 15:28:21,4,6,7,6
2014-08-24 15:28:22,3,6,7,6
2014-08-24 15:28:23,2,7,7,6
2014-08-24 15:28:24,2,6,6,7
2014-08-24 15:28:25,2,6,6,7
2014-08-24 15:28:26,2,6,6,7
2014-08-24 15:28:27,2,6,6,7
2014-08-24 15:28:28,2,4,7,7
2014-08-24 15:28:29,2,4,7,7
2014-08-24 15:28:30,2,4,7,7
2014-08-24 15:28:31,2,4,6,7
2014-08-24 15:28:32,2,4,6,7
2014-08-24 15:28:33,2,4,7,7
2014-08-24 15:28:34,2,6,7,7
2014-08-24 15:28:35,2,6,4,7
2014-08-24 15:28:36,2,7,4,6
2014-08-24 15:28:37,2,6,4,7
2014-08-24 15:28:38,2,7,6,6
2014-08-24 15:28:39,2,4,6,6
2014-08-24 15:28:40,2,4,6,6
2014-08-24 15:28:41,2,3,7,6
2014-08-24 15:28:42,2,3,7,6
2014-08-24 15:28:43,2,3,7,6
2014-08-24 15:28:44,2,3,7,6
2014-08-24 15:28:45,2,3,7,6
2014-08-24 15:28:46,2,2,7,6
2014-08-24 15:28:47,2,2,7,6
2014-08-24 15:28:48,2,2,7,6
2014-08-24 15:28:49,2,2,6,6
2014-08-24 15:28:50,2,2,6,6
2014-08-24 15:28:51,2,0,7,6
2014-08-24 15:28:52,8,0,7,7
2014-08-24 15:28:53,6,0,7,7
2014-08-24 15:28:54,1,0,7,7
2014-08-24 15:28:55,1,2,7,4
2014-08-24 15:28:56,1,2,3,3
2014-08-24 15:28:57,2,4,3,3
2014-08-24 15:28:58,2,3,3,3
2014-08-24 15:28:59,2,3,7,3
2014-08-24 15:29:00,2,3,3,1
2014-08-24 15:29:01,2,3,3,1
2014-08-24 15:29:02,2,2,7,1
2014-08-24 15:29:03,2,2,7,1
2014-08-24 15:29:04,2,2,7,1
2014-08-24 15:29:05,2,0,7,1
2014-08-24 15:29:06,2,0,7,1
2014-08-24 15:29:07,2,0,7,1
2014-08-24 15:29:08,2,0,7,1
2014-08-24 15:29:09,2,0,7,1
2014-08-24 15:29:10,2,0,7,1
2014-08-24 15:29:11,2,0,7,1
2014-08-24 15:29:12,2,2,7,1
2014-08-24 15:29:13,2,2,7,1
2014-08-24 15:29:14,2,2,6,1
2014-08-24 15:29:15,2,2,6,1
2014-08-24 15:29:16,2,2,6,1
2014-08-24 15:29:17,2,2,7,1
2014-08-24 15:29:18,2,3,7,1
2014-08-24 15:29:19,2,4,7,1
2014-08-24 15:29:20,2,4,3,1
2014-08-24 15:29:21,2,4,3,1
2014-08-24 15:29:22,2,2,1,1
2014-08-24 15:29:23,2,1,1,1
2014-08-24 15:29:24,2,1,2,1
2014-08-24 15:29:25,2,1,2,1
2014-08-24 15:29:26,2,1,2,1
2014-08-24 15:29:27,2,1,2,1
2014-08-24 15:29:28,2,1,2,1
2014-08-24 15:29:29,2,1,1,1
2014-08-24 15:29:30,2,1,2,1
2014-08-24 15:29:31,2,1,2,1
2014-08-24 15:29:32,2,1,1,1
2014-08-24 15:29:33,2,1,1,1
2014-08-24 15:29:34,2,1,1,1
2014-08-24 15:29:35,2,1,2,1
2014-08-24 15:29:36,2,1,1,1
2014-08-24 15:29:37,2,2,1,1
2014-08-24 15:29:38,2,1,1,1
2014-08-24 15:29:39,2,1,1,1
2014-08-24 15:29:40,2,1,1,1
2014-08-24 15:29:41,2,1,1,1
2014-08-24 15:29:42,2,1,1,1
2014-08-24 15:29:43,2,1,2,1
2014-08-24 15:29:44,2,1,1,1
2014-08-24 15:29:45,2,2,1,1
2014-08-24 15:29:46,1,2,1,1
2014-08-24 15:29:47,1,2,2,1
2014-08-24 15:29:48,1,1,1,1
2014-08-24 15:29:49,1,1,1,1
2014-08-24 15:29:50,3,1,1,1
2014-08-24 15:29:51,2,1,1,1
2014-08-24 15:29:52,2,1,1,1
2014-08-24 15:29:53,2,1,1,1
2014-08-24 15:29:54,2,1,1,1
2014-08-24 15:29:55,2,1,1,2
2014-08-24 15:29:56,2,1,1,2
2014-08-24 15:29:57,2,2,1,2
2014-08-24 15:29:58,2,2,2,2
2014-08-24 15:29:59,2,0,1,1
2014-08-24 15:30:00,2,0,1,1
2014-08-24 15:30:01,2,2,1,1
2014-08-24 15:30:02,2,2,1,1
2014-08-24 15:30:03,2,2,1,1
2014-08-24 15:30:04,2,2,2,2
2014-08-24 15:30:05,2,2,2,2
2014-08-24 15:30:06,2,2,2,1
2014-08-24 15:30:07,2,2,2,1
2014-08-24 15:30:08,2,2,2,1
2014-08-24 15:30:09,2,0,2,1
2014-08-24 15:30:10,2,0,2,2
2014-08-24 15:30:11,2,0,2,2
2014-08-24 15:30:12,2,0,2,2
2014-08-24 15:30:13,2,0,2,1
2014-08-24 15:30:14,2,0,1,1
2014-08-24 15:30:15,2,0,1,1
2014-08-24 15:30:16,2,0,1,1
2014-08-24 15:30:17,2,2,1,2
2014-08-24 15:30:18,2,3,1,2
2014-08-24 15:30:19,2,1,1,2
2014-08-24 15:30:20,2,1,2,2
2014-08-24 15:30:21,2,1,2,1
2014-08-24 15:30:22,2,1,2,1
2014-08-24 15:30:23,2,2,1,1
2014-08-24 15:30:24,2,2,1,1
2014-08-24 15:30:25,2,2,1,1
2014-08-24 15:30:26,2,2,1,2
2014-08-24 15:30:27,2,2,1,2
2014-08-24 15:30:28,2,2,1,2
2014-08-24 15:30:29,8,2,2,2
2014-08-24 15:30:30,8,2,2,1
2014-08-24 15:30:31,6,0,1,1
2014-08-24 15:30:32,8,0,5,1
2014-08-24 15:30:33,3,0,1,1
2014-08-24 15:30:34,2,0,1,1
2014-08-24 15:30:35,2,0,1,1
2014-08-24 15:30:36,2,0,1,1
2014-08-24 15:30:37,2,0,2,1
2014-08-24 15:30:38,2,0,2,1
2014-08-24 15:30:39,2,0,2,1
2014-08-24 15:30:40,2,0,2,1
2014-08-24 15:30:41,2,0,2,1
2014-08-24 15:30:42,2,0,2,1
2014-08-24 15:30:43,2,8,2,1
2014-08-24 15:30:44,2,7,2,1
2014-08-24 15:30:45,2,7,2,2
2014-08-24 15:30:46,2,0,0,2
2014-08-24 15:30:47,2,0,0,2
2014-08-24 15:30:48,2,0,0,2
2014-08-24 15:30:49,0,0,0,2
2014-08-24 15:30:50,0,0,0,2
2014-08-24 15:30:51,0,0,0,0
2014-08-24 15:30:52,0,0,0,0
2014-08-24 15:30:53,0,0,0,0
2014-08-24 15:30:54,0,0,0,0
2014-08-24 15:30:55,7,0,0,0
2014-08-24 15:30:56,7,0,0,0
2014-08-24 15:30:57,7,0,0,0
2014-08-24 15:30:58,7,0,0,0
2014-08-24 15:30:59,7,0,0,0
2014-08-24 15:31:00,7,0,0,0
2014-08-24 15:31:01,7,0,0,0
2014-08-24 15:31:02,7,0,0,0
2014-08-24 15:31:03,7,0,0,0
2014-08-24 15:31:04,7,0,0,0
2014-08-24 15:31:05,7,0,0,0
2014-08-24 15:31:06,7,0,0,0
2014-08-24 15:31:07,7,0,0,0
2014-08-24 15:31:08,7,0,0,0
2014-08-24 15:31:09,7,0,0,0
2014-08-24 15:31:10,7,0,0,0
2014-08-24 15:31:11,0,0,0,0
2014-08-24 15:31:12,0,0,0,0
2014-08-24 15:31:13,0,0,0,0
2014-08-24 15:31:14,0,0,0,0
