time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:56:23,2,3,2,0
2015-05-08 15:56:24,2,3,2,0
2015-05-08 15:56:25,2,3,2,0
2015-05-08 15:56:26,2,3,2,0
2015-05-08 15:56:27,2,3,1,0
2015-05-08 15:56:28,1,4,1,0
2015-05-08 15:56:29,3,3,1,0
2015-05-08 15:56:30,3,8,8,0
2015-05-08 15:56:31,3,4,8,0
2015-05-08 15:56:32,3,8,1,0
2015-05-08 15:56:33,3,4,1,0
2015-05-08 15:56:34,3,7,3,0
2015-05-08 15:56:35,1,5,2,0
2015-05-08 15:56:36,2,5,0,0
2015-05-08 15:56:37,2,5,0,0
2015-05-08 15:56:38,2,5,0,0
2015-05-08 15:56:39,2,5,0,0
2015-05-08 15:56:40,2,2,0,0
2015-05-08 15:56:41,2,5,0,0
2015-05-08 15:56:42,2,5,0,0
2015-05-08 15:56:43,2,5,0,0
2015-05-08 15:56:44,2,5,0,0
2015-05-08 15:56:45,6,5,0,0
2015-05-08 15:56:46,6,5,0,0
2015-05-08 15:56:47,6,5,2,0
2015-05-08 15:56:48,7,5,6,0
2015-05-08 15:56:49,6,5,6,0
2015-05-08 15:56:50,8,5,7,0
2015-05-08 15:56:51,8,5,8,0
2015-05-08 15:56:52,4,5,8,0
2015-05-08 15:56:53,2,2,8,0
2015-05-08 15:56:54,0,6,8,0
2015-05-08 15:56:55,2,6,8,0
2015-05-08 15:56:56,6,2,8,0
2015-05-08 15:56:57,6,8,8,0
2015-05-08 15:56:58,6,2,7,0
2015-05-08 15:56:59,6,8,7,0
2015-05-08 15:57:00,6,4,7,0
2015-05-08 15:57:01,0,4,8,0
2015-05-08 15:57:02,8,4,8,0
2015-05-08 15:57:03,6,8,8,0
2015-05-08 15:57:04,7,4,8,0
2015-05-08 15:57:05,7,7,8,0
2015-05-08 15:57:06,7,4,8,0
2015-05-08 15:57:07,6,7,8,0
2015-05-08 15:57:08,4,4,7,0
2015-05-08 15:57:09,2,4,7,0
2015-05-08 15:57:10,0,4,7,0
2015-05-08 15:57:11,8,4,7,0
2015-05-08 15:57:12,6,8,8,0
2015-05-08 15:57:13,8,8,8,0
2015-05-08 15:57:14,8,8,8,0
2015-05-08 15:57:15,3,8,8,0
2015-05-08 15:57:16,3,4,8,0
2015-05-08 15:57:17,3,4,8,0
2015-05-08 15:57:18,3,4,8,0
2015-05-08 15:57:19,3,7,8,0
2015-05-08 15:57:20,4,7,8,0
2015-05-08 15:57:21,4,4,8,0
2015-05-08 15:57:22,4,4,8,0
2015-05-08 15:57:23,4,4,8,0
2015-05-08 15:57:24,4,4,8,0
2015-05-08 15:57:25,8,4,8,0
2015-05-08 15:57:26,7,7,8,0
2015-05-08 15:57:27,8,4,8,0
2015-05-08 15:57:28,7,7,8,0
2015-05-08 15:57:29,7,8,4,0
2015-05-08 15:57:30,2,8,4,0
