time,charles,yvonne,jonathan,christina
2014-04-29 15:53:42,1,4,3,2
2014-04-29 15:53:43,3,4,3,2
2014-04-29 15:53:44,1,3,3,3
2014-04-29 15:53:45,3,3,3,2
2014-04-29 15:53:46,3,0,4,2
2014-04-29 15:53:47,3,0,7,3
2014-04-29 15:53:48,3,0,7,3
2014-04-29 15:53:49,3,4,7,2
2014-04-29 15:53:50,4,4,7,2
2014-04-29 15:53:51,4,4,7,3
2014-04-29 15:53:52,3,7,7,2
2014-04-29 15:53:53,3,6,7,3
2014-04-29 15:53:54,3,4,4,2
2014-04-29 15:53:55,3,7,4,2
2014-04-29 15:53:56,3,7,0,2
2014-04-29 15:53:57,3,7,0,2
2014-04-29 15:53:58,3,7,0,2
2014-04-29 15:53:59,3,6,0,1
2014-04-29 15:54:00,3,6,0,2
2014-04-29 15:54:01,3,6,0,2
2014-04-29 15:54:02,3,7,0,2
2014-04-29 15:54:03,3,7,0,2
2014-04-29 15:54:04,3,6,0,0
2014-04-29 15:54:05,3,6,0,0
2014-04-29 15:54:06,8,6,0,2
2014-04-29 15:54:07,2,4,2,3
2014-04-29 15:54:08,0,3,2,1
2014-04-29 15:54:09,0,3,2,1
2014-04-29 15:54:10,0,3,2,1
2014-04-29 15:54:11,0,1,2,1
2014-04-29 15:54:12,0,3,2,1
2014-04-29 15:54:13,0,3,2,3
2014-04-29 15:54:14,0,3,2,3
2014-04-29 15:54:15,0,4,2,3
2014-04-29 15:54:16,0,2,2,3
2014-04-29 15:54:17,0,1,2,3
2014-04-29 15:54:18,0,1,2,3
2014-04-29 15:54:19,0,1,3,3
2014-04-29 15:54:20,0,1,1,3
2014-04-29 15:54:21,0,1,3,3
2014-04-29 15:54:22,0,1,3,1
2014-04-29 15:54:23,0,1,3,1
2014-04-29 15:54:24,0,2,2,1
2014-04-29 15:54:25,0,2,0,1
2014-04-29 15:54:26,0,2,0,1
2014-04-29 15:54:27,0,0,0,1
2014-04-29 15:54:28,0,2,0,1
2014-04-29 15:54:29,0,3,0,1
2014-04-29 15:54:30,0,3,0,1
2014-04-29 15:54:31,0,3,0,1
2014-04-29 15:54:32,0,3,0,1
2014-04-29 15:54:33,0,3,0,1
2014-04-29 15:54:34,0,2,0,1
2014-04-29 15:54:35,0,2,0,1
2014-04-29 15:54:36,0,2,0,1
2014-04-29 15:54:37,0,2,0,1
2014-04-29 15:54:38,0,2,0,3
2014-04-29 15:54:39,0,3,0,3
2014-04-29 15:54:40,0,3,0,3
2014-04-29 15:54:41,0,1,0,3
2014-04-29 15:54:42,0,1,0,3
2014-04-29 15:54:43,0,1,0,3
2014-04-29 15:54:44,0,2,0,8
2014-04-29 15:54:45,0,2,0,2
2014-04-29 15:54:46,0,2,0,2
2014-04-29 15:54:47,0,0,0,0
2014-04-29 15:54:48,0,0,0,0
2014-04-29 15:54:49,0,0,0,0
2014-04-29 15:54:50,0,0,0,0
2014-04-29 15:54:51,0,0,0,0
2014-04-29 15:54:52,0,0,0,0
2014-04-29 15:54:53,0,0,0,0
2014-04-29 15:54:54,0,0,0,0
2014-04-29 15:54:55,0,0,0,0
2014-04-29 15:54:56,0,0,0,0
2014-04-29 15:54:57,0,0,0,0
2014-04-29 15:54:58,0,0,0,0
2014-04-29 15:54:59,0,0,0,0
2014-04-29 15:55:00,0,0,0,0
2014-04-29 15:55:01,0,0,0,0
2014-04-29 15:55:02,0,0,0,0
2014-04-29 15:55:03,0,0,0,0
2014-04-29 15:55:04,0,0,0,0
2014-04-29 15:55:05,0,0,0,0
2014-04-29 15:55:06,0,0,0,0
2014-04-29 15:55:07,0,0,0,0
2014-04-29 15:55:08,0,0,0,0
2014-04-29 15:55:09,0,0,0,0
2014-04-29 15:55:10,0,0,0,0
2014-04-29 15:55:11,0,0,0,0
2014-04-29 15:55:12,8,0,0,0
2014-04-29 15:55:13,4,0,0,0
2014-04-29 15:55:14,4,0,0,0
2014-04-29 15:55:15,4,0,0,0
2014-04-29 15:55:16,4,0,0,0
2014-04-29 15:55:17,4,0,0,0
2014-04-29 15:55:18,4,0,0,0
2014-04-29 15:55:19,0,0,0,0
2014-04-29 15:55:20,0,0,0,0
2014-04-29 15:55:21,0,0,0,0
2014-04-29 15:55:22,0,0,0,0
2014-04-29 15:55:23,0,0,0,0
2014-04-29 15:55:24,0,0,0,0
2014-04-29 15:55:25,0,0,2,0
2014-04-29 15:55:26,0,0,2,0
2014-04-29 15:55:27,0,0,2,0
2014-04-29 15:55:28,0,0,3,0
2014-04-29 15:55:29,0,0,8,0
2014-04-29 15:55:30,0,0,4,0
2014-04-29 15:55:31,0,0,4,0
2014-04-29 15:55:32,0,0,4,0
2014-04-29 15:55:33,0,0,4,0
2014-04-29 15:55:34,0,0,4,0
2014-04-29 15:55:35,0,0,2,0
2014-04-29 15:55:36,0,0,0,0
2014-04-29 15:55:37,0,0,1,0
2014-04-29 15:55:38,0,0,2,0
2014-04-29 15:55:39,0,0,2,0
2014-04-29 15:55:40,0,0,2,0
2014-04-29 15:55:41,0,0,2,0
2014-04-29 15:55:42,0,0,2,0
2014-04-29 15:55:43,0,0,2,0
2014-04-29 15:55:44,0,0,2,0
2014-04-29 15:55:45,0,0,2,0
2014-04-29 15:55:46,0,0,2,0
2014-04-29 15:55:47,0,0,2,0
2014-04-29 15:55:48,0,0,2,0
2014-04-29 15:55:49,0,0,2,0
2014-04-29 15:55:50,0,0,2,0
