time,christina,yvonne
2014-04-28 16:46:15,0,0
2014-04-28 16:46:16,0,0
2014-04-28 16:46:17,0,0
2014-04-28 16:46:18,0,0
2014-04-28 16:46:19,0,0
2014-04-28 16:46:20,4,0
2014-04-28 16:46:21,7,0
2014-04-28 16:46:22,7,0
2014-04-28 16:46:23,4,0
2014-04-28 16:46:24,4,0
2014-04-28 16:46:25,4,0
2014-04-28 16:46:26,4,0
2014-04-28 16:46:27,4,0
2014-04-28 16:46:28,4,0
2014-04-28 16:46:29,4,0
2014-04-28 16:46:30,4,0
2014-04-28 16:46:31,4,0
2014-04-28 16:46:32,4,0
2014-04-28 16:46:33,4,0
2014-04-28 16:46:34,4,0
2014-04-28 16:46:35,0,0
2014-04-28 16:46:36,0,0
2014-04-28 16:46:37,0,2
2014-04-28 16:46:38,0,2
2014-04-28 16:46:39,0,2
2014-04-28 16:46:40,0,2
2014-04-28 16:46:41,0,2
2014-04-28 16:46:42,0,0
2014-04-28 16:46:43,0,0
2014-04-28 16:46:44,0,0
2014-04-28 16:46:45,0,0
2014-04-28 16:46:46,0,0
2014-04-28 16:46:47,0,0
2014-04-28 16:46:48,0,0
2014-04-28 16:46:49,0,0
2014-04-28 16:46:50,0,0
2014-04-28 16:46:51,0,0
2014-04-28 16:46:52,0,2
2014-04-28 16:46:53,0,1
2014-04-28 16:46:54,0,1
2014-04-28 16:46:55,0,1
2014-04-28 16:46:56,0,1
2014-04-28 16:46:57,0,1
2014-04-28 16:46:58,0,1
2014-04-28 16:46:59,0,1
2014-04-28 16:47:00,0,1
2014-04-28 16:47:01,0,1
2014-04-28 16:47:02,0,1
2014-04-28 16:47:03,0,1
2014-04-28 16:47:04,0,1
2014-04-28 16:47:05,0,1
2014-04-28 16:47:06,0,1
2014-04-28 16:47:07,0,1
2014-04-28 16:47:08,0,1
2014-04-28 16:47:09,0,1
2014-04-28 16:47:10,0,1
2014-04-28 16:47:11,0,1
2014-04-28 16:47:12,0,1
2014-04-28 16:47:13,0,2
2014-04-28 16:47:14,0,0
2014-04-28 16:47:15,0,0
2014-04-28 16:47:16,0,0
2014-04-28 16:47:17,0,0
2014-04-28 16:47:18,0,0
2014-04-28 16:47:19,0,0
2014-04-28 16:47:20,0,0
2014-04-28 16:47:21,0,0
2014-04-28 16:47:22,0,0
2014-04-28 16:47:23,0,0
2014-04-28 16:47:24,0,0
2014-04-28 16:47:25,0,0
2014-04-28 16:47:26,0,0
2014-04-28 16:47:27,0,0
2014-04-28 16:47:28,0,0
2014-04-28 16:47:29,0,0
2014-04-28 16:47:30,0,0
2014-04-28 16:47:31,0,0
2014-04-28 16:47:32,0,0
2014-04-28 16:47:33,0,0
2014-04-28 16:47:34,0,0
2014-04-28 16:47:35,0,0
2014-04-28 16:47:36,0,0
2014-04-28 16:47:37,0,0
2014-04-28 16:47:38,0,0
2014-04-28 16:47:39,0,0
2014-04-28 16:47:40,0,0
2014-04-28 16:47:41,0,0
2014-04-28 16:47:42,0,0
2014-04-28 16:47:43,2,2
2014-04-28 16:47:44,4,2
2014-04-28 16:47:45,4,2
2014-04-28 16:47:46,0,0
2014-04-28 16:47:47,0,0
2014-04-28 16:47:48,0,0
