time,jonathan,christina,yvonne
2014-07-19 16:26:48,0,0,0
2014-07-19 16:26:49,7,0,0
2014-07-19 16:26:50,5,7,0
2014-07-19 16:26:51,5,7,0
2014-07-19 16:26:52,5,7,0
2014-07-19 16:26:53,5,7,0
2014-07-19 16:26:54,5,7,3
2014-07-19 16:26:55,5,7,3
2014-07-19 16:26:56,2,7,3
2014-07-19 16:26:57,2,7,3
2014-07-19 16:26:58,5,5,3
2014-07-19 16:26:59,5,7,0
2014-07-19 16:27:00,5,7,2
2014-07-19 16:27:01,5,7,4
2014-07-19 16:27:02,5,8,4
2014-07-19 16:27:03,5,7,4
2014-07-19 16:27:04,5,7,8
2014-07-19 16:27:05,5,7,4
2014-07-19 16:27:06,5,7,4
2014-07-19 16:27:07,7,7,4
2014-07-19 16:27:08,7,7,4
2014-07-19 16:27:09,7,7,4
2014-07-19 16:27:10,7,7,4
2014-07-19 16:27:11,7,7,4
2014-07-19 16:27:12,7,7,4
2014-07-19 16:27:13,7,7,4
2014-07-19 16:27:14,7,7,4
2014-07-19 16:27:15,7,7,3
2014-07-19 16:27:16,7,4,4
2014-07-19 16:27:17,5,7,4
2014-07-19 16:27:18,8,4,4
2014-07-19 16:27:19,8,4,7
2014-07-19 16:27:20,8,4,7
2014-07-19 16:27:21,8,4,7
2014-07-19 16:27:22,4,4,7
2014-07-19 16:27:23,0,4,7
2014-07-19 16:27:24,0,4,7
2014-07-19 16:27:25,0,4,7
2014-07-19 16:27:26,0,7,7
2014-07-19 16:27:27,0,4,7
2014-07-19 16:27:28,2,7,7
2014-07-19 16:27:29,8,6,7
2014-07-19 16:27:30,8,7,7
2014-07-19 16:27:31,8,7,7
2014-07-19 16:27:32,5,7,6
2014-07-19 16:27:33,4,4,6
2014-07-19 16:27:34,2,7,6
2014-07-19 16:27:35,4,7,6
2014-07-19 16:27:36,4,2,6
2014-07-19 16:27:37,4,7,7
2014-07-19 16:27:38,3,7,7
2014-07-19 16:27:39,4,4,6
2014-07-19 16:27:40,4,4,6
2014-07-19 16:27:41,8,4,6
2014-07-19 16:27:42,8,4,7
2014-07-19 16:27:43,6,3,8
2014-07-19 16:27:44,7,1,6
2014-07-19 16:27:45,7,1,6
2014-07-19 16:27:46,7,1,6
2014-07-19 16:27:47,7,3,8
2014-07-19 16:27:48,7,3,6
2014-07-19 16:27:49,7,4,6
2014-07-19 16:27:50,7,4,6
2014-07-19 16:27:51,7,4,8
2014-07-19 16:27:52,7,4,6
2014-07-19 16:27:53,4,4,6
2014-07-19 16:27:54,7,4,6
2014-07-19 16:27:55,7,4,6
2014-07-19 16:27:56,7,4,6
2014-07-19 16:27:57,7,4,6
2014-07-19 16:27:58,4,4,6
2014-07-19 16:27:59,4,4,6
2014-07-19 16:28:00,4,7,6
2014-07-19 16:28:01,4,6,6
2014-07-19 16:28:02,7,6,6
2014-07-19 16:28:03,7,6,6
2014-07-19 16:28:04,7,6,6
2014-07-19 16:28:05,4,6,6
2014-07-19 16:28:06,4,6,6
2014-07-19 16:28:07,7,6,6
2014-07-19 16:28:08,7,6,6
2014-07-19 16:28:09,8,4,6
2014-07-19 16:28:10,7,4,6
2014-07-19 16:28:11,4,4,6
2014-07-19 16:28:12,4,4,6
2014-07-19 16:28:13,8,4,6
2014-07-19 16:28:14,4,4,6
2014-07-19 16:28:15,7,4,6
2014-07-19 16:28:16,4,4,6
2014-07-19 16:28:17,4,4,6
2014-07-19 16:28:18,4,4,6
2014-07-19 16:28:19,4,4,4
2014-07-19 16:28:20,7,4,4
2014-07-19 16:28:21,7,4,4
2014-07-19 16:28:22,8,4,6
2014-07-19 16:28:23,2,2,2
2014-07-19 16:28:24,2,2,2
2014-07-19 16:28:25,2,2,2
2014-07-19 16:28:26,2,2,4
2014-07-19 16:28:27,2,2,4
2014-07-19 16:28:28,2,2,4
2014-07-19 16:28:29,2,2,4
2014-07-19 16:28:30,2,2,4
2014-07-19 16:28:31,2,2,2
2014-07-19 16:28:32,2,2,2
2014-07-19 16:28:33,2,2,2
2014-07-19 16:28:34,2,2,2
2014-07-19 16:28:35,2,2,0
2014-07-19 16:28:36,2,2,2
2014-07-19 16:28:37,2,2,8
2014-07-19 16:28:38,2,2,8
2014-07-19 16:28:39,2,2,4
2014-07-19 16:28:40,2,2,4
2014-07-19 16:28:41,2,2,4
2014-07-19 16:28:42,2,2,2
2014-07-19 16:28:43,2,2,2
2014-07-19 16:28:44,2,0,2
2014-07-19 16:28:45,0,0,2
2014-07-19 16:28:46,0,1,2
2014-07-19 16:28:47,2,1,4
2014-07-19 16:28:48,2,1,4
2014-07-19 16:28:49,2,1,3
2014-07-19 16:28:50,2,1,3
2014-07-19 16:28:51,2,0,4
2014-07-19 16:28:52,2,0,4
2014-07-19 16:28:53,2,0,4
2014-07-19 16:28:54,2,0,4
2014-07-19 16:28:55,2,0,3
2014-07-19 16:28:56,2,0,3
2014-07-19 16:28:57,2,0,3
2014-07-19 16:28:58,2,0,4
2014-07-19 16:28:59,2,0,4
2014-07-19 16:29:00,2,0,2
2014-07-19 16:29:01,2,0,8
2014-07-19 16:29:02,2,0,3
2014-07-19 16:29:03,2,0,3
2014-07-19 16:29:04,2,2,3
2014-07-19 16:29:05,2,2,3
2014-07-19 16:29:06,2,2,3
2014-07-19 16:29:07,0,2,4
2014-07-19 16:29:08,2,2,2
2014-07-19 16:29:09,2,2,0
2014-07-19 16:29:10,2,2,0
2014-07-19 16:29:11,2,2,8
2014-07-19 16:29:12,2,2,3
2014-07-19 16:29:13,8,2,3
2014-07-19 16:29:14,8,2,3
2014-07-19 16:29:15,7,2,3
2014-07-19 16:29:16,7,2,3
2014-07-19 16:29:17,7,3,3
2014-07-19 16:29:18,7,3,4
2014-07-19 16:29:19,7,3,3
2014-07-19 16:29:20,7,3,3
2014-07-19 16:29:21,7,4,3
2014-07-19 16:29:22,7,4,3
