time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:28:23,6,7,8,8
2015-05-07 18:28:24,6,7,8,8
2015-05-07 18:28:25,6,7,8,7
2015-05-07 18:28:26,6,7,8,6
2015-05-07 18:28:27,2,7,7,2
2015-05-07 18:28:28,0,5,7,0
2015-05-07 18:28:29,0,5,7,0
2015-05-07 18:28:30,0,5,7,0
2015-05-07 18:28:31,2,5,7,0
2015-05-07 18:28:32,2,5,7,2
2015-05-07 18:28:33,2,5,7,2
2015-05-07 18:28:34,2,5,7,2
2015-05-07 18:28:35,2,5,7,2
2015-05-07 18:28:36,2,5,7,2
2015-05-07 18:28:37,2,5,7,0
2015-05-07 18:28:38,8,7,7,2
2015-05-07 18:28:39,8,7,7,2
2015-05-07 18:28:40,8,7,7,2
2015-05-07 18:28:41,8,7,7,2
2015-05-07 18:28:42,6,7,7,2
2015-05-07 18:28:43,2,7,7,0
2015-05-07 18:28:44,5,7,7,0
2015-05-07 18:28:45,8,7,7,2
2015-05-07 18:28:46,8,7,8,2
2015-05-07 18:28:47,8,7,8,2
2015-05-07 18:28:48,8,7,8,2
2015-05-07 18:28:49,6,7,8,2
2015-05-07 18:28:50,3,5,8,0
2015-05-07 18:28:51,3,5,7,2
2015-05-07 18:28:52,3,5,7,2
2015-05-07 18:28:53,3,5,7,2
2015-05-07 18:28:54,3,8,7,2
2015-05-07 18:28:55,2,5,7,2
2015-05-07 18:28:56,2,5,8,2
2015-05-07 18:28:57,2,5,8,2
2015-05-07 18:28:58,3,5,8,2
2015-05-07 18:28:59,3,7,8,2
2015-05-07 18:29:00,1,7,8,2
2015-05-07 18:29:01,1,8,8,2
2015-05-07 18:29:02,3,7,8,2
2015-05-07 18:29:03,2,7,7,2
2015-05-07 18:29:04,2,5,8,2
2015-05-07 18:29:05,2,5,8,2
2015-05-07 18:29:06,2,5,8,2
2015-05-07 18:29:07,2,5,8,2
2015-05-07 18:29:08,2,7,8,2
2015-05-07 18:29:09,2,8,7,2
2015-05-07 18:29:10,5,8,8,2
2015-05-07 18:29:11,5,7,7,3
2015-05-07 18:29:12,3,8,8,3
2015-05-07 18:29:13,4,8,7,3
2015-05-07 18:29:14,4,8,8,3
2015-05-07 18:29:15,4,8,7,3
2015-05-07 18:29:16,4,8,7,3
2015-05-07 18:29:17,4,7,7,3
2015-05-07 18:29:18,8,7,8,3
2015-05-07 18:29:19,8,8,8,3
2015-05-07 18:29:20,8,7,8,3
2015-05-07 18:29:21,4,7,8,3
2015-05-07 18:29:22,8,7,8,3
2015-05-07 18:29:23,3,7,8,3
2015-05-07 18:29:24,8,7,8,3
2015-05-07 18:29:25,8,7,8,3
2015-05-07 18:29:26,4,7,8,3
2015-05-07 18:29:27,6,7,7,3
2015-05-07 18:29:28,6,8,7,3
2015-05-07 18:29:29,6,8,8,3
2015-05-07 18:29:30,7,7,7,3
2015-05-07 18:29:31,7,7,8,3
2015-05-07 18:29:32,2,7,7,3
2015-05-07 18:29:33,4,7,8,3
2015-05-07 18:29:34,4,7,7,3
2015-05-07 18:29:35,7,7,7,3
2015-05-07 18:29:36,4,7,7,3
2015-05-07 18:29:37,8,7,8,3
2015-05-07 18:29:38,2,7,8,3
2015-05-07 18:29:39,2,7,8,3
2015-05-07 18:29:40,2,7,8,3
2015-05-07 18:29:41,2,7,8,3
2015-05-07 18:29:42,2,7,8,3
2015-05-07 18:29:43,2,5,8,3
2015-05-07 18:29:44,2,5,8,2
2015-05-07 18:29:45,2,5,7,2
2015-05-07 18:29:46,2,5,7,2
2015-05-07 18:29:47,2,5,7,2
2015-05-07 18:29:48,2,5,7,2
2015-05-07 18:29:49,2,2,7,2
2015-05-07 18:29:50,2,2,7,2
2015-05-07 18:29:51,2,0,7,2
2015-05-07 18:29:52,2,0,7,2
2015-05-07 18:29:53,5,0,7,2
2015-05-07 18:29:54,5,0,7,2
2015-05-07 18:29:55,5,0,4,2
2015-05-07 18:29:56,5,0,4,2
2015-05-07 18:29:57,5,0,7,2
2015-05-07 18:29:58,2,6,7,2
2015-05-07 18:29:59,2,6,7,2
2015-05-07 18:30:00,2,6,7,2
2015-05-07 18:30:01,2,6,7,2
2015-05-07 18:30:02,2,6,7,2
2015-05-07 18:30:03,2,2,7,2
2015-05-07 18:30:04,2,2,7,2
2015-05-07 18:30:05,2,2,7,2
2015-05-07 18:30:06,2,2,7,2
2015-05-07 18:30:07,2,2,7,2
2015-05-07 18:30:08,2,2,7,2
2015-05-07 18:30:09,2,2,7,2
2015-05-07 18:30:10,2,2,7,2
2015-05-07 18:30:11,2,2,7,2
2015-05-07 18:30:12,2,2,7,2
2015-05-07 18:30:13,2,2,7,2
2015-05-07 18:30:14,2,2,7,5
2015-05-07 18:30:15,2,2,7,5
2015-05-07 18:30:16,2,0,7,7
2015-05-07 18:30:17,2,1,7,5
2015-05-07 18:30:18,2,6,4,7
2015-05-07 18:30:19,2,7,8,7
2015-05-07 18:30:20,2,7,8,7
2015-05-07 18:30:21,2,7,2,7
2015-05-07 18:30:22,2,7,2,7
2015-05-07 18:30:23,2,7,0,7
2015-05-07 18:30:24,2,7,0,7
2015-05-07 18:30:25,2,7,0,7
2015-05-07 18:30:26,2,7,2,7
2015-05-07 18:30:27,2,7,2,7
2015-05-07 18:30:28,2,7,2,7
2015-05-07 18:30:29,2,7,2,7
2015-05-07 18:30:30,2,7,2,7
2015-05-07 18:30:31,2,7,2,7
2015-05-07 18:30:32,2,7,2,7
2015-05-07 18:30:33,2,7,2,7
2015-05-07 18:30:34,2,7,2,7
2015-05-07 18:30:35,2,7,2,7
2015-05-07 18:30:36,2,7,2,7
2015-05-07 18:30:37,2,7,2,4
2015-05-07 18:30:38,2,7,2,3
2015-05-07 18:30:39,2,7,2,3
2015-05-07 18:30:40,2,7,2,3
2015-05-07 18:30:41,2,8,0,3
2015-05-07 18:30:42,2,8,0,3
2015-05-07 18:30:43,2,8,0,3
2015-05-07 18:30:44,2,5,0,3
2015-05-07 18:30:45,2,8,0,3
