time,charles,jonathan,yvonne,christina
2013-08-03 17:13:32,7,2,0,2
2013-08-03 17:13:33,5,2,0,1
2013-08-03 17:13:34,5,2,0,3
2013-08-03 17:13:35,5,2,0,1
2013-08-03 17:13:36,5,3,2,3
2013-08-03 17:13:37,5,4,2,3
2013-08-03 17:13:38,5,4,2,3
2013-08-03 17:13:39,5,4,2,3
2013-08-03 17:13:40,5,4,2,2
2013-08-03 17:13:41,5,8,2,2
2013-08-03 17:13:42,5,2,2,2
2013-08-03 17:13:43,5,2,2,2
2013-08-03 17:13:44,5,2,2,2
2013-08-03 17:13:45,5,2,2,2
2013-08-03 17:13:46,5,2,2,2
2013-08-03 17:13:47,5,2,2,2
2013-08-03 17:13:48,5,2,2,2
2013-08-03 17:13:49,5,2,2,2
2013-08-03 17:13:50,5,2,2,2
2013-08-03 17:13:51,5,2,2,2
2013-08-03 17:13:52,5,2,2,2
2013-08-03 17:13:53,5,2,2,2
2013-08-03 17:13:54,5,2,2,2
2013-08-03 17:13:55,5,2,2,2
2013-08-03 17:13:56,5,2,2,7
2013-08-03 17:13:57,5,2,2,7
2013-08-03 17:13:58,5,2,2,7
2013-08-03 17:13:59,5,2,0,7
2013-08-03 17:14:00,7,2,0,7
2013-08-03 17:14:01,7,2,0,7
2013-08-03 17:14:02,4,2,0,7
2013-08-03 17:14:03,7,2,0,7
2013-08-03 17:14:04,7,2,0,5
2013-08-03 17:14:05,7,2,0,5
2013-08-03 17:14:06,5,2,0,5
2013-08-03 17:14:07,5,2,0,7
2013-08-03 17:14:08,5,2,0,6
2013-08-03 17:14:09,5,2,0,7
2013-08-03 17:14:10,5,2,0,7
2013-08-03 17:14:11,5,2,0,7
2013-08-03 17:14:12,7,2,2,7
2013-08-03 17:14:13,7,2,2,7
2013-08-03 17:14:14,7,2,2,7
2013-08-03 17:14:15,7,2,2,7
2013-08-03 17:14:16,7,2,3,7
2013-08-03 17:14:17,7,2,1,7
2013-08-03 17:14:18,7,3,3,7
2013-08-03 17:14:19,7,1,3,7
2013-08-03 17:14:20,7,3,3,7
2013-08-03 17:14:21,7,1,8,0
2013-08-03 17:14:22,7,1,5,0
2013-08-03 17:14:23,7,2,3,7
2013-08-03 17:14:24,7,2,5,7
2013-08-03 17:14:25,7,2,5,7
2013-08-03 17:14:26,7,2,5,7
2013-08-03 17:14:27,7,2,5,7
2013-08-03 17:14:28,7,2,5,7
2013-08-03 17:14:29,7,2,5,4
2013-08-03 17:14:30,7,2,2,2
2013-08-03 17:14:31,7,2,1,2
2013-08-03 17:14:32,7,2,3,2
2013-08-03 17:14:33,7,2,3,2
2013-08-03 17:14:34,7,2,3,2
2013-08-03 17:14:35,7,2,3,2
2013-08-03 17:14:36,7,2,3,2
2013-08-03 17:14:37,7,2,2,2
2013-08-03 17:14:38,7,2,3,2
2013-08-03 17:14:39,7,2,3,2
2013-08-03 17:14:40,7,2,3,2
2013-08-03 17:14:41,7,2,3,2
2013-08-03 17:14:42,7,2,3,2
2013-08-03 17:14:43,7,2,3,2
2013-08-03 17:14:44,7,2,3,2
2013-08-03 17:14:45,7,2,3,2
2013-08-03 17:14:46,7,2,3,1
2013-08-03 17:14:47,7,2,3,2
2013-08-03 17:14:48,7,2,3,2
2013-08-03 17:14:49,7,2,3,2
2013-08-03 17:14:50,7,2,3,2
2013-08-03 17:14:51,7,2,3,2
2013-08-03 17:14:52,7,2,3,2
2013-08-03 17:14:53,7,2,3,2
2013-08-03 17:14:54,7,2,3,2
2013-08-03 17:14:55,7,2,3,1
2013-08-03 17:14:56,7,1,3,2
2013-08-03 17:14:57,7,2,3,2
2013-08-03 17:14:58,7,2,5,2
2013-08-03 17:14:59,7,2,5,2
2013-08-03 17:15:00,7,2,5,2
2013-08-03 17:15:01,7,2,2,2
2013-08-03 17:15:02,7,2,3,2
2013-08-03 17:15:03,7,2,3,2
2013-08-03 17:15:04,7,2,3,2
2013-08-03 17:15:05,7,2,3,2
2013-08-03 17:15:06,7,2,3,2
2013-08-03 17:15:07,7,2,2,2
2013-08-03 17:15:08,7,2,2,2
2013-08-03 17:15:09,7,2,2,2
2013-08-03 17:15:10,7,2,3,2
2013-08-03 17:15:11,7,2,5,2
2013-08-03 17:15:12,7,2,5,2
2013-08-03 17:15:13,7,2,5,2
2013-08-03 17:15:14,7,2,5,2
2013-08-03 17:15:15,7,2,5,2
2013-08-03 17:15:16,7,2,5,2
2013-08-03 17:15:17,7,2,2,2
2013-08-03 17:15:18,7,2,2,0
2013-08-03 17:15:19,8,2,2,0
2013-08-03 17:15:20,8,2,2,2
2013-08-03 17:15:21,4,2,2,2
2013-08-03 17:15:22,4,2,2,2
2013-08-03 17:15:23,2,2,2,2
2013-08-03 17:15:24,2,2,2,2
2013-08-03 17:15:25,2,2,2,2
2013-08-03 17:15:26,2,2,2,2
2013-08-03 17:15:27,2,2,2,2
2013-08-03 17:15:28,2,2,2,2
2013-08-03 17:15:29,2,2,2,2
2013-08-03 17:15:30,2,2,2,2
2013-08-03 17:15:31,2,2,2,2
2013-08-03 17:15:32,2,2,2,2
2013-08-03 17:15:33,2,2,2,2
