time,jonathan,charles,christina,yvonne,95585C5C-C1C1-4612-9836-BFC68B0DC36F,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-29 16:15:41,0,4,0,0,0,0
2014-04-29 16:15:42,0,5,0,0,0,0
2014-04-29 16:15:43,0,5,0,0,0,0
2014-04-29 16:15:44,0,5,0,0,0,0
2014-04-29 16:15:45,0,4,0,0,0,0
2014-04-29 16:15:46,0,0,0,0,0,0
2014-04-29 16:15:47,0,0,0,0,0,0
2014-04-29 16:15:48,0,0,0,0,0,0
2014-04-29 16:15:49,0,0,0,0,0,0
2014-04-29 16:15:50,0,0,0,0,0,0
2014-04-29 16:15:51,0,0,0,0,0,0
2014-04-29 16:15:52,0,0,0,0,0,0
2014-04-29 16:15:53,0,0,0,0,0,0
2014-04-29 16:15:54,0,0,2,0,0,0
2014-04-29 16:15:55,0,0,2,0,0,0
2014-04-29 16:15:56,0,0,2,0,0,0
2014-04-29 16:15:57,0,0,3,0,0,0
2014-04-29 16:15:58,2,0,1,0,0,0
2014-04-29 16:15:59,1,0,1,0,0,0
2014-04-29 16:16:00,1,0,1,0,0,0
2014-04-29 16:16:01,1,0,1,0,0,0
2014-04-29 16:16:02,1,0,1,0,0,0
2014-04-29 16:16:03,3,0,1,0,0,0
2014-04-29 16:16:04,3,0,1,0,0,0
2014-04-29 16:16:05,3,0,1,0,0,0
2014-04-29 16:16:06,4,0,1,0,0,0
2014-04-29 16:16:07,4,0,1,0,0,0
2014-04-29 16:16:08,4,0,1,0,0,0
2014-04-29 16:16:09,3,0,1,0,0,0
2014-04-29 16:16:10,0,0,3,0,0,0
2014-04-29 16:16:11,0,0,3,0,0,0
2014-04-29 16:16:12,0,0,0,0,0,0
2014-04-29 16:16:13,0,0,0,0,0,0
2014-04-29 16:16:14,0,0,0,0,0,0
2014-04-29 16:16:15,0,3,0,0,0,0
2014-04-29 16:16:16,0,3,0,0,0,0
2014-04-29 16:16:17,0,3,0,0,0,0
2014-04-29 16:16:18,0,3,0,0,0,0
2014-04-29 16:16:19,0,3,0,0,0,0
2014-04-29 16:16:20,0,2,0,0,0,0
2014-04-29 16:16:21,0,3,0,0,0,0
2014-04-29 16:16:22,0,3,0,0,0,0
2014-04-29 16:16:23,0,3,0,0,0,0
2014-04-29 16:16:24,0,3,0,0,0,0
2014-04-29 16:16:25,0,3,0,0,0,0
2014-04-29 16:16:26,0,4,0,0,0,0
2014-04-29 16:16:27,0,4,0,0,0,0
2014-04-29 16:16:28,0,4,0,0,0,0
2014-04-29 16:16:29,0,4,0,0,0,0
2014-04-29 16:16:30,0,4,0,0,0,0
2014-04-29 16:16:31,0,4,0,0,0,0
2014-04-29 16:16:32,2,4,0,0,0,0
2014-04-29 16:16:33,2,4,0,0,0,0
2014-04-29 16:16:34,2,4,0,0,0,0
2014-04-29 16:16:35,2,0,0,0,0,0
2014-04-29 16:16:36,2,0,0,0,0,0
2014-04-29 16:16:37,2,0,0,0,0,0
2014-04-29 16:16:38,2,0,0,0,0,0
2014-04-29 16:16:39,2,0,0,0,0,0
2014-04-29 16:16:40,8,0,0,2,0,0
2014-04-29 16:16:41,8,0,0,2,0,0
2014-04-29 16:16:42,3,0,0,2,0,0
2014-04-29 16:16:43,3,0,0,2,0,0
2014-04-29 16:16:44,3,0,0,4,0,0
2014-04-29 16:16:45,2,0,0,4,0,0
2014-04-29 16:16:46,2,0,0,3,0,0
2014-04-29 16:16:47,2,0,0,3,0,0
2014-04-29 16:16:48,2,0,0,3,0,0
2014-04-29 16:16:49,2,0,0,3,0,0
2014-04-29 16:16:50,2,0,0,3,1,0
2014-04-29 16:16:51,2,0,0,2,2,0
2014-04-29 16:16:52,2,0,0,2,2,0
2014-04-29 16:16:53,2,0,0,3,2,0
2014-04-29 16:16:54,2,0,0,3,2,0
2014-04-29 16:16:55,2,0,0,2,2,0
2014-04-29 16:16:56,2,0,0,2,2,0
2014-04-29 16:16:57,2,0,0,3,2,0
2014-04-29 16:16:58,2,0,0,1,3,0
2014-04-29 16:16:59,2,0,0,1,4,0
2014-04-29 16:17:00,0,0,0,1,4,0
2014-04-29 16:17:01,2,0,0,1,4,0
2014-04-29 16:17:02,2,0,0,1,4,0
2014-04-29 16:17:03,2,0,0,1,4,0
2014-04-29 16:17:04,2,0,0,2,4,0
2014-04-29 16:17:05,2,0,0,2,4,0
2014-04-29 16:17:06,3,0,0,2,0,0
2014-04-29 16:17:07,3,0,0,0,0,0
2014-04-29 16:17:08,2,0,0,0,0,0
2014-04-29 16:17:09,2,0,0,0,0,0
2014-04-29 16:17:10,2,0,0,0,0,0
2014-04-29 16:17:11,2,0,0,0,0,0
2014-04-29 16:17:12,2,0,0,0,0,0
2014-04-29 16:17:13,2,0,0,0,0,0
2014-04-29 16:17:14,2,0,0,0,0,0
2014-04-29 16:17:15,2,0,0,0,0,0
2014-04-29 16:17:16,2,0,0,0,0,0
2014-04-29 16:17:17,2,0,0,0,0,0
2014-04-29 16:17:18,2,0,0,0,2,0
2014-04-29 16:17:19,2,0,0,0,3,0
2014-04-29 16:17:20,0,0,0,0,3,0
2014-04-29 16:17:21,2,0,0,0,3,0
2014-04-29 16:17:22,2,0,0,0,3,0
2014-04-29 16:17:23,2,0,0,0,3,0
2014-04-29 16:17:24,2,0,0,0,4,0
2014-04-29 16:17:25,1,0,0,0,6,0
2014-04-29 16:17:26,1,0,0,0,6,0
2014-04-29 16:17:27,1,0,0,4,4,0
2014-04-29 16:17:28,3,0,0,5,4,0
2014-04-29 16:17:29,3,0,0,7,4,0
2014-04-29 16:17:30,4,0,0,7,0,0
2014-04-29 16:17:31,4,0,0,7,0,0
2014-04-29 16:17:32,4,0,0,7,0,0
