time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-22 14:46:21,0,0
2015-06-22 14:46:22,4,0
2015-06-22 14:46:23,4,2
2015-06-22 14:46:24,7,4
2015-06-22 14:46:25,7,4
2015-06-22 14:46:26,8,4
2015-06-22 14:46:27,8,4
2015-06-22 14:46:28,8,7
2015-06-22 14:46:29,8,4
2015-06-22 14:46:30,7,4
2015-06-22 14:46:31,7,4
2015-06-22 14:46:32,7,4
2015-06-22 14:46:33,4,4
2015-06-22 14:46:34,4,4
2015-06-22 14:46:35,8,3
2015-06-22 14:46:36,8,2
2015-06-22 14:46:37,8,4
2015-06-22 14:46:38,4,4
2015-06-22 14:46:39,7,4
2015-06-22 14:46:40,7,4
2015-06-22 14:46:41,4,7
2015-06-22 14:46:42,4,7
2015-06-22 14:46:43,4,4
2015-06-22 14:46:44,4,4
2015-06-22 14:46:45,4,4
2015-06-22 14:46:46,4,4
2015-06-22 14:46:47,3,4
2015-06-22 14:46:48,4,4
2015-06-22 14:46:49,4,4
2015-06-22 14:46:50,8,4
2015-06-22 14:46:51,8,4
2015-06-22 14:46:52,8,4
2015-06-22 14:46:53,8,4
2015-06-22 14:46:54,8,4
2015-06-22 14:46:55,8,4
2015-06-22 14:46:56,4,4
2015-06-22 14:46:57,4,4
2015-06-22 14:46:58,4,4
2015-06-22 14:46:59,4,4
2015-06-22 14:47:00,4,4
2015-06-22 14:47:01,4,7
2015-06-22 14:47:02,8,7
2015-06-22 14:47:03,8,7
2015-06-22 14:47:04,2,7
2015-06-22 14:47:05,2,7
2015-06-22 14:47:06,3,4
2015-06-22 14:47:07,1,4
2015-06-22 14:47:08,1,4
2015-06-22 14:47:09,2,4
2015-06-22 14:47:10,4,4
2015-06-22 14:47:11,7,4
2015-06-22 14:47:12,7,4
2015-06-22 14:47:13,7,4
2015-06-22 14:47:14,7,7
2015-06-22 14:47:15,4,7
2015-06-22 14:47:16,4,7
2015-06-22 14:47:17,4,7
2015-06-22 14:47:18,4,4
2015-06-22 14:47:19,4,8
2015-06-22 14:47:20,4,8
2015-06-22 14:47:21,4,8
2015-06-22 14:47:22,4,8
2015-06-22 14:47:23,4,3
2015-06-22 14:47:24,4,3
2015-06-22 14:47:25,4,2
2015-06-22 14:47:26,4,2
2015-06-22 14:47:27,4,2
2015-06-22 14:47:28,4,2
2015-06-22 14:47:29,4,3
2015-06-22 14:47:30,4,3
2015-06-22 14:47:31,8,4
2015-06-22 14:47:32,8,4
2015-06-22 14:47:33,8,4
2015-06-22 14:47:34,4,4
2015-06-22 14:47:35,8,4
2015-06-22 14:47:36,0,4
2015-06-22 14:47:37,0,4
2015-06-22 14:47:38,0,2
2015-06-22 14:47:39,0,2
2015-06-22 14:47:40,0,2
