time,christina,charles,jonathan,yvonne
2014-08-24 15:17:53,4,2,2,2
2014-08-24 15:17:54,4,2,2,2
2014-08-24 15:17:55,7,2,2,2
2014-08-24 15:17:56,7,2,2,2
2014-08-24 15:17:57,7,2,2,2
2014-08-24 15:17:58,7,2,2,2
2014-08-24 15:17:59,7,1,2,2
2014-08-24 15:18:00,7,1,2,2
2014-08-24 15:18:01,7,1,2,2
2014-08-24 15:18:02,7,1,2,2
2014-08-24 15:18:03,7,1,8,2
2014-08-24 15:18:04,7,1,8,2
2014-08-24 15:18:05,7,1,8,2
2014-08-24 15:18:06,4,1,8,3
2014-08-24 15:18:07,3,1,8,3
2014-08-24 15:18:08,3,1,8,3
2014-08-24 15:18:09,2,1,8,3
2014-08-24 15:18:10,2,1,2,3
2014-08-24 15:18:11,2,1,2,1
2014-08-24 15:18:12,2,1,2,3
2014-08-24 15:18:13,2,1,2,3
2014-08-24 15:18:14,2,1,2,3
2014-08-24 15:18:15,2,1,2,3
2014-08-24 15:18:16,0,1,2,3
2014-08-24 15:18:17,0,1,3,1
2014-08-24 15:18:18,0,1,3,1
2014-08-24 15:18:19,0,1,3,2
2014-08-24 15:18:20,0,1,3,1
2014-08-24 15:18:21,0,1,3,1
2014-08-24 15:18:22,0,1,2,1
2014-08-24 15:18:23,0,1,2,1
2014-08-24 15:18:24,0,1,2,1
2014-08-24 15:18:25,0,1,2,1
2014-08-24 15:18:26,0,1,2,1
2014-08-24 15:18:27,0,1,2,3
2014-08-24 15:18:28,0,1,2,1
2014-08-24 15:18:29,0,1,2,1
2014-08-24 15:18:30,0,1,2,1
2014-08-24 15:18:31,0,1,2,1
2014-08-24 15:18:32,0,1,2,1
2014-08-24 15:18:33,0,1,2,1
2014-08-24 15:18:34,4,1,2,1
2014-08-24 15:18:35,4,1,3,1
2014-08-24 15:18:36,4,1,3,1
2014-08-24 15:18:37,4,1,1,1
2014-08-24 15:18:38,4,1,1,1
2014-08-24 15:18:39,4,1,1,1
2014-08-24 15:18:40,4,1,1,1
2014-08-24 15:18:41,0,1,1,1
2014-08-24 15:18:42,0,1,1,1
2014-08-24 15:18:43,0,1,3,1
2014-08-24 15:18:44,2,1,3,1
2014-08-24 15:18:45,2,1,3,1
2014-08-24 15:18:46,2,1,1,1
2014-08-24 15:18:47,2,1,1,1
