time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:23:10,1,7,8,1
2015-05-01 18:23:11,1,7,8,3
2015-05-01 18:23:12,3,7,8,3
2015-05-01 18:23:13,3,7,7,3
2015-05-01 18:23:14,3,7,7,4
2015-05-01 18:23:15,3,7,7,4
2015-05-01 18:23:16,3,7,7,4
2015-05-01 18:23:17,4,7,7,4
2015-05-01 18:23:18,8,7,4,4
2015-05-01 18:23:19,7,7,4,4
2015-05-01 18:23:20,7,7,4,4
2015-05-01 18:23:21,7,7,7,4
2015-05-01 18:23:22,7,7,4,7
2015-05-01 18:23:23,7,7,4,7
2015-05-01 18:23:24,6,7,4,7
2015-05-01 18:23:25,6,7,4,7
2015-05-01 18:23:26,8,7,4,7
2015-05-01 18:23:27,8,7,7,8
2015-05-01 18:23:28,8,7,7,8
2015-05-01 18:23:29,8,7,7,7
2015-05-01 18:23:30,8,7,7,7
2015-05-01 18:23:31,8,7,7,8
2015-05-01 18:23:32,7,7,4,7
2015-05-01 18:23:33,3,7,4,7
2015-05-01 18:23:34,3,8,6,7
2015-05-01 18:23:35,7,8,7,7
2015-05-01 18:23:36,7,8,7,7
2015-05-01 18:23:37,7,3,7,7
2015-05-01 18:23:38,6,2,6,7
2015-05-01 18:23:39,6,2,6,6
2015-05-01 18:23:40,6,2,6,6
2015-05-01 18:23:41,6,2,7,6
2015-05-01 18:23:42,6,2,7,4
2015-05-01 18:23:43,6,2,8,4
2015-05-01 18:23:44,6,2,8,4
2015-05-01 18:23:45,6,2,8,4
2015-05-01 18:23:46,8,2,8,4
2015-05-01 18:23:47,8,2,8,4
2015-05-01 18:23:48,8,2,8,8
2015-05-01 18:23:49,8,2,8,3
2015-05-01 18:23:50,8,2,8,4
2015-05-01 18:23:51,3,2,8,4
2015-05-01 18:23:52,8,2,8,4
2015-05-01 18:23:53,8,2,8,4
2015-05-01 18:23:54,8,2,8,6
2015-05-01 18:23:55,8,2,8,6
2015-05-01 18:23:56,8,2,6,6
2015-05-01 18:23:57,3,2,7,6
2015-05-01 18:23:58,3,2,4,6
2015-05-01 18:23:59,3,2,4,6
2015-05-01 18:24:00,3,2,4,6
2015-05-01 18:24:01,7,2,5,4
2015-05-01 18:24:02,3,2,3,6
2015-05-01 18:24:03,3,2,4,6
2015-05-01 18:24:04,8,2,3,6
2015-05-01 18:24:05,8,4,3,6
