time,christina,yvonne,jonathan,charles
2014-04-28 17:03:57,0,0,0,2
2014-04-28 17:03:58,0,0,0,0
2014-04-28 17:03:59,0,0,0,0
2014-04-28 17:04:00,0,0,0,0
2014-04-28 17:04:01,0,0,0,0
2014-04-28 17:04:02,0,0,0,0
2014-04-28 17:04:03,0,0,0,0
2014-04-28 17:04:04,0,0,0,1
2014-04-28 17:04:05,0,0,0,1
2014-04-28 17:04:06,0,0,0,1
2014-04-28 17:04:07,3,2,0,1
2014-04-28 17:04:08,4,8,0,1
2014-04-28 17:04:09,8,4,0,0
2014-04-28 17:04:10,8,8,2,0
2014-04-28 17:04:11,3,8,2,0
2014-04-28 17:04:12,3,7,2,0
2014-04-28 17:04:13,3,7,5,0
2014-04-28 17:04:14,3,4,8,1
2014-04-28 17:04:15,3,4,8,1
2014-04-28 17:04:16,4,4,4,1
2014-04-28 17:04:17,4,7,3,1
2014-04-28 17:04:18,7,4,3,1
2014-04-28 17:04:19,7,4,3,8
2014-04-28 17:04:20,7,4,4,4
2014-04-28 17:04:21,7,4,0,8
2014-04-28 17:04:22,7,3,0,8
2014-04-28 17:04:23,4,4,0,8
2014-04-28 17:04:24,2,4,0,8
2014-04-28 17:04:25,4,4,0,8
2014-04-28 17:04:26,4,4,0,8
2014-04-28 17:04:27,4,6,0,8
2014-04-28 17:04:28,4,6,0,4
2014-04-28 17:04:29,4,6,0,4
2014-04-28 17:04:30,4,6,0,4
2014-04-28 17:04:31,3,7,0,4
2014-04-28 17:04:32,4,4,0,4
2014-04-28 17:04:33,4,4,0,8
2014-04-28 17:04:34,4,4,0,4
2014-04-28 17:04:35,4,4,0,4
2014-04-28 17:04:36,4,3,0,4
2014-04-28 17:04:37,3,0,0,4
2014-04-28 17:04:38,3,0,0,3
2014-04-28 17:04:39,3,0,0,3
2014-04-28 17:04:40,3,0,0,3
2014-04-28 17:04:41,0,0,0,2
2014-04-28 17:04:42,0,0,0,2
2014-04-28 17:04:43,0,0,0,2
2014-04-28 17:04:44,0,0,0,3
2014-04-28 17:04:45,0,0,0,3
2014-04-28 17:04:46,0,0,0,3
2014-04-28 17:04:47,0,0,0,3
2014-04-28 17:04:48,0,0,0,4
