time,yvonne,charles,charles_ipadair
2014-05-05 21:36:58,2,2,2
2014-05-05 21:36:59,2,2,2
2014-05-05 21:37:00,2,2,2
2014-05-05 21:37:01,3,2,2
2014-05-05 21:37:02,3,3,2
2014-05-05 21:37:03,3,3,2
2014-05-05 21:37:04,3,3,2
2014-05-05 21:37:05,3,3,2
2014-05-05 21:37:06,2,3,2
2014-05-05 21:37:07,2,3,2
2014-05-05 21:37:08,2,3,2
2014-05-05 21:37:09,2,8,2
2014-05-05 21:37:10,2,8,2
2014-05-05 21:37:11,2,8,2
2014-05-05 21:37:12,2,3,2
2014-05-05 21:37:13,2,3,2
2014-05-05 21:37:14,2,3,2
2014-05-05 21:37:15,2,3,2
2014-05-05 21:37:16,4,3,2
2014-05-05 21:37:17,4,8,2
2014-05-05 21:37:18,4,3,2
2014-05-05 21:37:19,7,8,2
2014-05-05 21:37:20,7,3,2
2014-05-05 21:37:21,4,8,2
2014-05-05 21:37:22,4,8,2
2014-05-05 21:37:23,4,8,2
2014-05-05 21:37:24,4,8,2
2014-05-05 21:37:25,4,2,4
2014-05-05 21:37:26,7,2,4
2014-05-05 21:37:27,7,1,4
2014-05-05 21:37:28,7,1,4
2014-05-05 21:37:29,8,1,4
2014-05-05 21:37:30,7,1,4
2014-05-05 21:37:31,7,1,4
2014-05-05 21:37:32,4,3,4
2014-05-05 21:37:33,4,3,4
2014-05-05 21:37:34,4,1,4
2014-05-05 21:37:35,2,1,4
2014-05-05 21:37:36,2,1,4
2014-05-05 21:37:37,2,2,4
2014-05-05 21:37:38,2,4,4
2014-05-05 21:37:39,2,4,4
2014-05-05 21:37:40,2,4,7
2014-05-05 21:37:41,2,4,7
2014-05-05 21:37:42,2,3,8
2014-05-05 21:37:43,2,1,6
2014-05-05 21:37:44,1,1,8
2014-05-05 21:37:45,1,1,7
2014-05-05 21:37:46,1,1,7
2014-05-05 21:37:47,1,1,4
2014-05-05 21:37:48,1,1,4
2014-05-05 21:37:49,1,0,4
2014-05-05 21:37:50,1,0,4
2014-05-05 21:37:51,1,0,4
2014-05-05 21:37:52,1,0,4
2014-05-05 21:37:53,1,2,6
2014-05-05 21:37:54,1,2,6
2014-05-05 21:37:55,1,2,7
2014-05-05 21:37:56,1,2,4
2014-05-05 21:37:57,1,3,4
2014-05-05 21:37:58,1,3,4
2014-05-05 21:37:59,1,3,4
2014-05-05 21:38:00,1,3,2
2014-05-05 21:38:01,3,3,2
2014-05-05 21:38:02,3,3,2
2014-05-05 21:38:03,3,3,2
2014-05-05 21:38:04,3,2,2
2014-05-05 21:38:05,2,0,2
2014-05-05 21:38:06,2,2,2
2014-05-05 21:38:07,2,1,2
2014-05-05 21:38:08,2,1,3
2014-05-05 21:38:09,1,1,3
2014-05-05 21:38:10,3,1,3
2014-05-05 21:38:11,3,1,3
2014-05-05 21:38:12,3,1,3
2014-05-05 21:38:13,3,1,3
2014-05-05 21:38:14,3,1,3
2014-05-05 21:38:15,0,1,3
2014-05-05 21:38:16,4,2,3
2014-05-05 21:38:17,4,2,2
2014-05-05 21:38:18,7,0,2
2014-05-05 21:38:19,7,0,2
2014-05-05 21:38:20,7,0,2
2014-05-05 21:38:21,7,2,2
