time,christina,jonathan,charles,yvonne
2014-08-24 15:35:27,0,1,7,1
2014-08-24 15:35:28,0,1,7,1
2014-08-24 15:35:29,0,1,7,1
2014-08-24 15:35:30,0,1,7,1
2014-08-24 15:35:31,0,1,7,1
2014-08-24 15:35:32,0,1,7,1
2014-08-24 15:35:33,0,1,7,1
2014-08-24 15:35:34,2,1,7,1
2014-08-24 15:35:35,2,1,7,1
2014-08-24 15:35:36,2,1,7,1
2014-08-24 15:35:37,4,1,7,1
2014-08-24 15:35:38,3,1,8,1
2014-08-24 15:35:39,3,1,7,1
2014-08-24 15:35:40,3,1,8,1
2014-08-24 15:35:41,3,1,7,1
2014-08-24 15:35:42,3,2,7,1
2014-08-24 15:35:43,3,2,8,1
2014-08-24 15:35:44,3,2,8,1
2014-08-24 15:35:45,3,2,7,1
2014-08-24 15:35:46,3,2,0,1
2014-08-24 15:35:47,3,2,2,1
2014-08-24 15:35:48,3,2,2,1
2014-08-24 15:35:49,3,2,2,1
2014-08-24 15:35:50,3,2,1,1
2014-08-24 15:35:51,3,2,1,1
2014-08-24 15:35:52,3,2,1,1
2014-08-24 15:35:53,3,2,1,1
2014-08-24 15:35:54,3,2,1,1
2014-08-24 15:35:55,3,2,1,1
2014-08-24 15:35:56,3,8,1,1
2014-08-24 15:35:57,3,8,1,1
2014-08-24 15:35:58,3,8,1,1
2014-08-24 15:35:59,3,8,1,1
2014-08-24 15:36:00,3,8,1,1
2014-08-24 15:36:01,3,8,1,1
2014-08-24 15:36:02,3,8,1,1
2014-08-24 15:36:03,3,8,1,1
2014-08-24 15:36:04,3,8,1,1
2014-08-24 15:36:05,3,8,1,1
2014-08-24 15:36:06,3,8,1,1
2014-08-24 15:36:07,3,8,1,1
2014-08-24 15:36:08,3,8,1,1
2014-08-24 15:36:09,3,8,1,1
2014-08-24 15:36:10,3,8,1,1
2014-08-24 15:36:11,3,8,1,1
2014-08-24 15:36:12,3,8,1,1
2014-08-24 15:36:13,3,8,1,1
2014-08-24 15:36:14,1,8,1,1
2014-08-24 15:36:15,3,8,1,1
2014-08-24 15:36:16,3,8,1,1
2014-08-24 15:36:17,3,8,1,1
2014-08-24 15:36:18,2,8,1,1
2014-08-24 15:36:19,2,8,1,1
2014-08-24 15:36:20,2,8,1,1
2014-08-24 15:36:21,0,3,1,1
2014-08-24 15:36:22,0,3,1,1
2014-08-24 15:36:23,0,3,1,1
2014-08-24 15:36:24,0,3,1,1
2014-08-24 15:36:25,0,3,1,1
2014-08-24 15:36:26,0,3,1,1
2014-08-24 15:36:27,0,3,1,1
2014-08-24 15:36:28,2,3,1,1
2014-08-24 15:36:29,8,3,1,1
2014-08-24 15:36:30,8,3,1,1
2014-08-24 15:36:31,4,3,1,1
2014-08-24 15:36:32,3,8,1,1
2014-08-24 15:36:33,3,8,1,1
2014-08-24 15:36:34,2,3,1,1
2014-08-24 15:36:35,2,8,1,1
2014-08-24 15:36:36,2,8,1,1
2014-08-24 15:36:37,2,3,1,3
2014-08-24 15:36:38,2,3,1,3
2014-08-24 15:36:39,2,8,1,3
2014-08-24 15:36:40,2,3,1,3
2014-08-24 15:36:41,7,3,3,3
2014-08-24 15:36:42,3,3,3,3
2014-08-24 15:36:43,3,4,3,3
2014-08-24 15:36:44,3,3,3,3
2014-08-24 15:36:45,3,2,3,1
2014-08-24 15:36:46,2,2,2,1
2014-08-24 15:36:47,2,3,2,5
2014-08-24 15:36:48,2,2,3,2
