time,christina,charles,jonathan
2014-08-14 18:41:12,0,0,0
2014-08-14 18:41:13,2,0,0
2014-08-14 18:41:14,2,0,0
2014-08-14 18:41:15,2,0,0
2014-08-14 18:41:16,2,0,0
2014-08-14 18:41:17,2,0,0
2014-08-14 18:41:18,0,0,0
2014-08-14 18:41:19,0,0,0
2014-08-14 18:41:20,0,0,0
2014-08-14 18:41:21,0,0,0
2014-08-14 18:41:22,0,0,0
2014-08-14 18:41:23,0,0,0
2014-08-14 18:41:24,0,0,0
2014-08-14 18:41:25,0,0,0
2014-08-14 18:41:26,0,0,0
2014-08-14 18:41:27,0,0,0
2014-08-14 18:41:28,0,0,0
2014-08-14 18:41:29,0,0,0
2014-08-14 18:41:30,0,2,0
2014-08-14 18:41:31,0,2,0
2014-08-14 18:41:32,0,2,0
2014-08-14 18:41:33,2,2,0
2014-08-14 18:41:34,2,2,0
2014-08-14 18:41:35,2,2,0
2014-08-14 18:41:36,2,2,0
2014-08-14 18:41:37,2,2,2
2014-08-14 18:41:38,2,2,2
2014-08-14 18:41:39,8,2,2
2014-08-14 18:41:40,8,2,2
2014-08-14 18:41:41,7,2,2
2014-08-14 18:41:42,7,2,2
2014-08-14 18:41:43,7,2,2
2014-08-14 18:41:44,7,2,2
2014-08-14 18:41:45,6,2,2
2014-08-14 18:41:46,4,2,2
2014-08-14 18:41:47,4,2,2
2014-08-14 18:41:48,4,2,2
2014-08-14 18:41:49,2,2,2
2014-08-14 18:41:50,2,2,2
2014-08-14 18:41:51,2,2,2
2014-08-14 18:41:52,2,2,2
2014-08-14 18:41:53,2,2,2
2014-08-14 18:41:54,2,2,2
2014-08-14 18:41:55,2,2,2
2014-08-14 18:41:56,2,2,2
2014-08-14 18:41:57,2,2,2
2014-08-14 18:41:58,2,2,2
2014-08-14 18:41:59,2,2,2
2014-08-14 18:42:00,2,2,2
2014-08-14 18:42:01,2,2,2
2014-08-14 18:42:02,2,2,2
2014-08-14 18:42:03,3,2,2
2014-08-14 18:42:04,3,2,2
2014-08-14 18:42:05,3,2,2
2014-08-14 18:42:06,3,2,2
2014-08-14 18:42:07,2,2,2
2014-08-14 18:42:08,2,2,2
2014-08-14 18:42:09,2,2,2
2014-08-14 18:42:10,2,2,2
2014-08-14 18:42:11,3,2,2
2014-08-14 18:42:12,4,2,2
2014-08-14 18:42:13,4,2,2
2014-08-14 18:42:14,4,2,2
2014-08-14 18:42:15,6,2,2
2014-08-14 18:42:16,6,2,2
2014-08-14 18:42:17,6,2,2
2014-08-14 18:42:18,4,2,2
2014-08-14 18:42:19,4,8,2
2014-08-14 18:42:20,4,4,8
2014-08-14 18:42:21,4,4,8
2014-08-14 18:42:22,4,7,3
2014-08-14 18:42:23,4,6,2
2014-08-14 18:42:24,4,6,8
