time,jonathan,yvonne,charles,christina
2014-04-28 18:47:27,0,0,0,2
2014-04-28 18:47:28,0,0,0,2
2014-04-28 18:47:29,0,0,0,2
2014-04-28 18:47:30,0,0,0,2
2014-04-28 18:47:31,0,0,0,2
2014-04-28 18:47:32,0,0,0,2
2014-04-28 18:47:33,2,0,0,2
2014-04-28 18:47:34,1,0,0,3
2014-04-28 18:47:35,1,0,0,3
2014-04-28 18:47:36,1,0,0,3
2014-04-28 18:47:37,1,0,0,3
2014-04-28 18:47:38,2,0,0,4
2014-04-28 18:47:39,0,0,0,7
2014-04-28 18:47:40,0,0,0,4
2014-04-28 18:47:41,0,0,0,4
2014-04-28 18:47:42,0,0,0,7
2014-04-28 18:47:43,0,0,0,3
2014-04-28 18:47:44,0,0,0,3
2014-04-28 18:47:45,0,0,0,4
2014-04-28 18:47:46,0,0,0,4
2014-04-28 18:47:47,0,0,0,8
2014-04-28 18:47:48,0,0,0,4
2014-04-28 18:47:49,0,0,0,4
2014-04-28 18:47:50,0,0,0,0
2014-04-28 18:47:51,0,0,0,0
2014-04-28 18:47:52,0,0,0,0
2014-04-28 18:47:53,0,0,0,2
2014-04-28 18:47:54,0,0,0,2
2014-04-28 18:47:55,0,0,0,4
2014-04-28 18:47:56,0,0,0,7
2014-04-28 18:47:57,0,0,0,7
2014-04-28 18:47:58,0,0,0,7
2014-04-28 18:47:59,0,0,0,7
2014-04-28 18:48:00,0,0,0,7
2014-04-28 18:48:01,0,0,0,7
2014-04-28 18:48:02,0,0,0,8
2014-04-28 18:48:03,0,0,0,8
2014-04-28 18:48:04,0,0,0,8
2014-04-28 18:48:05,0,0,0,2
2014-04-28 18:48:06,0,0,0,4
2014-04-28 18:48:07,0,0,0,8
2014-04-28 18:48:08,0,0,0,8
2014-04-28 18:48:09,0,0,0,8
2014-04-28 18:48:10,0,0,0,6
2014-04-28 18:48:11,0,0,0,5
2014-04-28 18:48:12,0,0,0,5
2014-04-28 18:48:13,0,0,0,3
2014-04-28 18:48:14,0,0,0,1
2014-04-28 18:48:15,0,0,0,5
2014-04-28 18:48:16,0,0,0,5
2014-04-28 18:48:17,0,0,0,2
2014-04-28 18:48:18,0,0,0,2
2014-04-28 18:48:19,0,0,0,1
2014-04-28 18:48:20,0,0,0,1
2014-04-28 18:48:21,0,0,0,1
2014-04-28 18:48:22,0,0,0,1
2014-04-28 18:48:23,0,0,0,1
2014-04-28 18:48:24,0,0,0,1
2014-04-28 18:48:25,0,0,0,1
2014-04-28 18:48:26,0,0,0,1
2014-04-28 18:48:27,0,0,0,2
2014-04-28 18:48:28,0,0,0,2
2014-04-28 18:48:29,0,0,0,2
2014-04-28 18:48:30,0,0,0,2
2014-04-28 18:48:31,0,0,0,0
2014-04-28 18:48:32,0,0,0,0
2014-04-28 18:48:33,0,0,0,0
2014-04-28 18:48:34,0,0,0,0
2014-04-28 18:48:35,0,0,0,0
2014-04-28 18:48:36,0,0,0,0
2014-04-28 18:48:37,0,0,0,0
2014-04-28 18:48:38,0,0,0,0
2014-04-28 18:48:39,0,0,0,0
2014-04-28 18:48:40,0,0,0,0
2014-04-28 18:48:41,0,0,0,0
2014-04-28 18:48:42,0,0,0,0
2014-04-28 18:48:43,0,0,0,0
2014-04-28 18:48:44,0,0,0,0
2014-04-28 18:48:45,0,0,0,0
2014-04-28 18:48:46,0,0,0,0
2014-04-28 18:48:47,0,0,0,0
2014-04-28 18:48:48,0,0,0,0
2014-04-28 18:48:49,0,0,0,0
2014-04-28 18:48:50,0,0,0,0
2014-04-28 18:48:51,0,0,8,0
2014-04-28 18:48:52,4,0,8,0
2014-04-28 18:48:53,4,0,3,0
2014-04-28 18:48:54,4,0,3,0
2014-04-28 18:48:55,4,0,3,0
2014-04-28 18:48:56,4,0,3,3
2014-04-28 18:48:57,4,0,3,3
2014-04-28 18:48:58,4,0,4,4
2014-04-28 18:48:59,0,0,4,4
2014-04-28 18:49:00,0,0,4,7
2014-04-28 18:49:01,0,0,0,7
2014-04-28 18:49:02,0,0,0,7
2014-04-28 18:49:03,0,0,0,7
2014-04-28 18:49:04,0,0,0,7
2014-04-28 18:49:05,0,0,0,7
