time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-04-29 18:27:40,8,4,1,2
2015-04-29 18:27:41,8,4,1,2
2015-04-29 18:27:42,8,0,1,0
2015-04-29 18:27:43,8,0,1,0
2015-04-29 18:27:44,8,0,3,0
2015-04-29 18:27:45,8,0,3,0
2015-04-29 18:27:46,8,0,3,0
2015-04-29 18:27:47,8,0,4,0
2015-04-29 18:27:48,7,0,4,0
2015-04-29 18:27:49,7,0,4,0
2015-04-29 18:27:50,7,0,4,0
2015-04-29 18:27:51,7,0,2,0
2015-04-29 18:27:52,2,0,2,0
2015-04-29 18:27:53,0,0,2,0
2015-04-29 18:27:54,0,0,2,0
2015-04-29 18:27:55,0,0,2,1
2015-04-29 18:27:56,0,0,2,1
2015-04-29 18:27:57,0,0,2,1
2015-04-29 18:27:58,0,0,2,1
2015-04-29 18:27:59,0,0,2,2
2015-04-29 18:28:00,0,2,2,2
2015-04-29 18:28:01,0,2,2,2
2015-04-29 18:28:02,0,2,2,2
2015-04-29 18:28:03,0,2,2,2
2015-04-29 18:28:04,0,2,2,0
2015-04-29 18:28:05,0,0,2,0
2015-04-29 18:28:06,2,0,3,0
2015-04-29 18:28:07,2,0,3,0
2015-04-29 18:28:08,2,0,3,2
2015-04-29 18:28:09,2,2,3,2
2015-04-29 18:28:10,2,2,3,2
2015-04-29 18:28:11,2,2,2,2
2015-04-29 18:28:12,2,2,2,2
2015-04-29 18:28:13,2,2,3,0
2015-04-29 18:28:14,2,2,3,0
2015-04-29 18:28:15,2,2,3,2
2015-04-29 18:28:16,2,2,1,2
2015-04-29 18:28:17,2,2,1,2
2015-04-29 18:28:18,2,2,1,2
2015-04-29 18:28:19,2,2,3,7
2015-04-29 18:28:20,2,2,3,7
2015-04-29 18:28:21,2,2,3,7
2015-04-29 18:28:22,2,2,3,7
2015-04-29 18:28:23,2,2,2,7
2015-04-29 18:28:24,2,2,2,7
2015-04-29 18:28:25,2,2,2,7
2015-04-29 18:28:26,2,2,1,7
2015-04-29 18:28:27,2,2,1,7
2015-04-29 18:28:28,2,2,1,7
2015-04-29 18:28:29,2,4,1,7
2015-04-29 18:28:30,4,4,1,7
2015-04-29 18:28:31,4,4,1,7
2015-04-29 18:28:32,4,4,1,7
2015-04-29 18:28:33,4,4,1,7
2015-04-29 18:28:34,4,2,1,7
2015-04-29 18:28:35,4,2,1,7
