time,7FC04E34-F3AE-4764-9432-DD032ED6C36B,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-03-20 13:48:33,0,0
2015-03-20 13:48:34,2,0
2015-03-20 13:48:35,2,2
2015-03-20 13:48:36,0,0
2015-03-20 13:48:37,0,0
2015-03-20 13:48:38,0,0
