time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 14:55:26,0,0
2015-06-22 14:55:27,0,2
2015-06-22 14:55:28,0,2
2015-06-22 14:55:29,0,2
2015-06-22 14:55:30,0,2
2015-06-22 14:55:31,0,2
2015-06-22 14:55:32,0,2
2015-06-22 14:55:33,0,3
2015-06-22 14:55:34,0,2
2015-06-22 14:55:35,0,2
2015-06-22 14:55:36,0,2
2015-06-22 14:55:37,0,2
2015-06-22 14:55:38,0,2
2015-06-22 14:55:39,0,2
2015-06-22 14:55:40,0,2
2015-06-22 14:55:41,0,0
2015-06-22 14:55:42,0,0
2015-06-22 14:55:43,0,0
2015-06-22 14:55:44,0,0
