time,christina,jonathan,yvonne
2014-07-19 13:58:19,0,0,0
2014-07-19 13:58:20,4,0,0
2014-07-19 13:58:21,4,0,0
2014-07-19 13:58:22,4,2,0
2014-07-19 13:58:23,6,6,0
2014-07-19 13:58:24,6,6,0
2014-07-19 13:58:25,7,6,8
2014-07-19 13:58:26,7,6,6
2014-07-19 13:58:27,7,6,6
2014-07-19 13:58:28,6,6,6
2014-07-19 13:58:29,6,6,6
2014-07-19 13:58:30,6,6,6
2014-07-19 13:58:31,6,5,6
2014-07-19 13:58:32,6,7,6
2014-07-19 13:58:33,7,6,7
2014-07-19 13:58:34,7,6,7
2014-07-19 13:58:35,7,7,7
2014-07-19 13:58:36,7,7,6
2014-07-19 13:58:37,7,6,8
2014-07-19 13:58:38,7,5,0
2014-07-19 13:58:39,7,2,5
2014-07-19 13:58:40,7,0,7
2014-07-19 13:58:41,7,0,7
2014-07-19 13:58:42,7,2,7
2014-07-19 13:58:43,7,8,7
2014-07-19 13:58:44,7,8,7
2014-07-19 13:58:45,7,8,7
2014-07-19 13:58:46,7,8,4
2014-07-19 13:58:47,7,6,7
2014-07-19 13:58:48,4,6,4
2014-07-19 13:58:49,4,6,4
2014-07-19 13:58:50,4,2,7
2014-07-19 13:58:51,4,4,7
2014-07-19 13:58:52,4,4,4
2014-07-19 13:58:53,4,8,4
2014-07-19 13:58:54,4,8,6
2014-07-19 13:58:55,4,5,7
2014-07-19 13:58:56,4,5,7
2014-07-19 13:58:57,3,7,7
2014-07-19 13:58:58,3,7,7
2014-07-19 13:58:59,3,7,7
2014-07-19 13:59:00,3,7,4
2014-07-19 13:59:01,3,5,4
2014-07-19 13:59:02,3,7,0
2014-07-19 13:59:03,4,7,4
2014-07-19 13:59:04,4,7,4
2014-07-19 13:59:05,4,7,7
2014-07-19 13:59:06,4,7,7
2014-07-19 13:59:07,4,7,7
2014-07-19 13:59:08,3,8,7
2014-07-19 13:59:09,3,8,7
2014-07-19 13:59:10,1,8,7
2014-07-19 13:59:11,1,8,4
2014-07-19 13:59:12,1,8,4
2014-07-19 13:59:13,1,7,4
2014-07-19 13:59:14,1,5,4
2014-07-19 13:59:15,1,3,4
2014-07-19 13:59:16,1,3,4
2014-07-19 13:59:17,1,3,4
2014-07-19 13:59:18,1,3,4
2014-07-19 13:59:19,1,3,4
2014-07-19 13:59:20,1,5,2
2014-07-19 13:59:21,1,7,0
2014-07-19 13:59:22,1,3,0
2014-07-19 13:59:23,1,3,4
2014-07-19 13:59:24,1,8,4
2014-07-19 13:59:25,1,8,7
2014-07-19 13:59:26,1,7,7
2014-07-19 13:59:27,1,7,7
2014-07-19 13:59:28,1,4,7
2014-07-19 13:59:29,1,4,7
2014-07-19 13:59:30,1,3,7
2014-07-19 13:59:31,3,3,7
2014-07-19 13:59:32,4,3,7
2014-07-19 13:59:33,7,3,7
2014-07-19 13:59:34,6,7,7
2014-07-19 13:59:35,7,7,7
2014-07-19 13:59:36,7,8,7
2014-07-19 13:59:37,7,8,7
2014-07-19 13:59:38,8,8,8
2014-07-19 13:59:39,7,5,6
2014-07-19 13:59:40,7,5,6
2014-07-19 13:59:41,7,3,6
2014-07-19 13:59:42,6,5,8
2014-07-19 13:59:43,6,3,7
2014-07-19 13:59:44,6,3,7
2014-07-19 13:59:45,7,8,7
2014-07-19 13:59:46,7,8,7
2014-07-19 13:59:47,7,3,7
2014-07-19 13:59:48,7,3,7
2014-07-19 13:59:49,7,3,7
2014-07-19 13:59:50,4,1,7
2014-07-19 13:59:51,6,1,7
2014-07-19 13:59:52,6,3,7
2014-07-19 13:59:53,6,3,7
2014-07-19 13:59:54,7,3,7
2014-07-19 13:59:55,7,3,7
2014-07-19 13:59:56,3,3,7
2014-07-19 13:59:57,1,1,7
2014-07-19 13:59:58,1,1,7
2014-07-19 13:59:59,1,1,7
2014-07-19 14:00:00,1,1,7
2014-07-19 14:00:01,1,3,7
2014-07-19 14:00:02,1,3,7
2014-07-19 14:00:03,1,3,7
2014-07-19 14:00:04,3,3,7
2014-07-19 14:00:05,3,8,7
2014-07-19 14:00:06,3,8,7
2014-07-19 14:00:07,3,8,7
2014-07-19 14:00:08,3,8,7
2014-07-19 14:00:09,1,8,8
2014-07-19 14:00:10,1,8,7
2014-07-19 14:00:11,1,8,7
2014-07-19 14:00:12,1,8,7
2014-07-19 14:00:13,1,8,7
2014-07-19 14:00:14,3,7,4
2014-07-19 14:00:15,1,7,2
2014-07-19 14:00:16,1,7,0
2014-07-19 14:00:17,1,7,0
2014-07-19 14:00:18,1,5,0
2014-07-19 14:00:19,1,8,0
2014-07-19 14:00:20,1,8,0
2014-07-19 14:00:21,1,8,0
2014-07-19 14:00:22,1,7,0
2014-07-19 14:00:23,1,7,0
2014-07-19 14:00:24,1,7,0
2014-07-19 14:00:25,1,7,0
2014-07-19 14:00:26,1,7,0
2014-07-19 14:00:27,1,7,2
2014-07-19 14:00:28,1,7,0
2014-07-19 14:00:29,1,8,2
