time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,yvonne
2015-04-24 15:56:19,2,3,4,3
2015-04-24 15:56:20,2,3,8,3
2015-04-24 15:56:21,2,2,8,3
2015-04-24 15:56:22,2,3,2,1
2015-04-24 15:56:23,2,3,2,2
2015-04-24 15:56:24,2,3,2,2
2015-04-24 15:56:25,2,4,2,2
2015-04-24 15:56:26,2,4,2,1
2015-04-24 15:56:27,2,4,2,1
2015-04-24 15:56:28,2,4,2,1
2015-04-24 15:56:29,2,4,2,1
2015-04-24 15:56:30,2,2,2,1
2015-04-24 15:56:31,2,1,2,1
2015-04-24 15:56:32,2,1,2,1
2015-04-24 15:56:33,2,1,2,1
2015-04-24 15:56:34,2,3,2,1
2015-04-24 15:56:35,2,3,8,1
2015-04-24 15:56:36,2,3,8,1
2015-04-24 15:56:37,2,3,8,1
2015-04-24 15:56:38,2,3,3,1
2015-04-24 15:56:39,2,3,3,1
2015-04-24 15:56:40,2,3,1,1
2015-04-24 15:56:41,2,3,1,1
2015-04-24 15:56:42,2,3,1,1
2015-04-24 15:56:43,2,3,1,1
2015-04-24 15:56:44,2,3,1,1
2015-04-24 15:56:45,2,7,1,1
2015-04-24 15:56:46,2,8,1,1
2015-04-24 15:56:47,2,7,1,1
2015-04-24 15:56:48,2,7,1,1
2015-04-24 15:56:49,1,7,1,1
2015-04-24 15:56:50,1,7,1,1
2015-04-24 15:56:51,1,4,1,1
2015-04-24 15:56:52,1,8,1,1
2015-04-24 15:56:53,1,8,1,1
2015-04-24 15:56:54,1,8,2,3
2015-04-24 15:56:55,1,8,2,8
2015-04-24 15:56:56,1,8,2,7
2015-04-24 15:56:57,1,8,2,7
2015-04-24 15:56:58,1,8,2,7
2015-04-24 15:56:59,1,8,2,7
2015-04-24 15:57:00,1,8,2,7
2015-04-24 15:57:01,1,1,2,7
2015-04-24 15:57:02,1,1,2,5
2015-04-24 15:57:03,1,1,2,5
2015-04-24 15:57:04,1,1,2,4
2015-04-24 15:57:05,1,1,3,4
2015-04-24 15:57:06,1,1,3,4
2015-04-24 15:57:07,1,1,3,7
2015-04-24 15:57:08,1,1,3,7
2015-04-24 15:57:09,1,1,1,7
2015-04-24 15:57:10,1,1,1,7
2015-04-24 15:57:11,1,1,1,7
2015-04-24 15:57:12,1,1,2,7
2015-04-24 15:57:13,1,1,1,7
2015-04-24 15:57:14,1,3,1,6
2015-04-24 15:57:15,1,3,1,6
2015-04-24 15:57:16,1,8,3,7
2015-04-24 15:57:17,1,8,3,7
2015-04-24 15:57:18,1,8,3,8
2015-04-24 15:57:19,1,8,3,8
2015-04-24 15:57:20,1,8,5,8
2015-04-24 15:57:21,1,8,5,8
2015-04-24 15:57:22,1,8,5,8
2015-04-24 15:57:23,1,7,7,8
2015-04-24 15:57:24,1,4,5,8
2015-04-24 15:57:25,1,4,5,8
2015-04-24 15:57:26,1,4,5,8
2015-04-24 15:57:27,1,4,3,8
2015-04-24 15:57:28,1,4,3,8
2015-04-24 15:57:29,1,4,3,8
2015-04-24 15:57:30,1,7,8,8
2015-04-24 15:57:31,1,8,8,8
2015-04-24 15:57:32,1,8,8,8
2015-04-24 15:57:33,1,3,8,8
2015-04-24 15:57:34,1,3,8,8
2015-04-24 15:57:35,1,1,8,8
2015-04-24 15:57:36,1,1,8,8
2015-04-24 15:57:37,1,1,8,8
2015-04-24 15:57:38,1,1,3,8
2015-04-24 15:57:39,1,1,3,8
2015-04-24 15:57:40,1,1,1,4
2015-04-24 15:57:41,1,1,1,7
2015-04-24 15:57:42,1,1,1,3
2015-04-24 15:57:43,1,1,1,8
2015-04-24 15:57:44,1,1,1,8
2015-04-24 15:57:45,1,1,1,8
2015-04-24 15:57:46,1,1,1,8
2015-04-24 15:57:47,1,1,1,1
2015-04-24 15:57:48,1,1,1,1
2015-04-24 15:57:49,1,1,1,1
2015-04-24 15:57:50,1,3,1,3
2015-04-24 15:57:51,1,3,1,2
2015-04-24 15:57:52,1,3,1,2
2015-04-24 15:57:53,1,7,1,2
2015-04-24 15:57:54,1,7,1,2
2015-04-24 15:57:55,1,7,1,2
2015-04-24 15:57:56,1,7,1,2
2015-04-24 15:57:57,1,8,2,2
2015-04-24 15:57:58,1,8,2,2
2015-04-24 15:57:59,1,8,2,2
2015-04-24 15:58:00,1,8,2,2
2015-04-24 15:58:01,0,0,0,2
2015-04-24 15:58:02,0,0,0,2
2015-04-24 15:58:03,0,0,0,2
2015-04-24 15:58:04,0,0,0,2
2015-04-24 15:58:05,0,0,0,2
2015-04-24 15:58:06,0,0,0,2
2015-04-24 15:58:07,0,0,0,2
2015-04-24 15:58:08,0,0,0,2
2015-04-24 15:58:09,0,0,0,0
2015-04-24 15:58:10,0,0,0,0
2015-04-24 15:58:11,0,0,0,0
2015-04-24 15:58:12,0,0,0,0
2015-04-24 15:58:13,0,0,0,0
2015-04-24 15:58:14,0,0,0,0
2015-04-24 15:58:15,0,0,0,0
2015-04-24 15:58:16,0,0,0,0
2015-04-24 15:58:17,0,0,0,0
2015-04-24 15:58:18,0,0,0,0
2015-04-24 15:58:19,0,0,0,0
2015-04-24 15:58:20,0,0,0,0
2015-04-24 15:58:21,0,0,0,0
2015-04-24 15:58:22,0,0,0,0
2015-04-24 15:58:23,0,0,0,0
2015-04-24 15:58:24,0,0,0,0
2015-04-24 15:58:25,0,0,0,0
2015-04-24 15:58:26,0,0,0,0
