time,jonathan,christina,charles
2014-08-23 16:47:50,0,0,0
2014-08-23 16:47:51,2,0,0
2014-08-23 16:47:52,2,0,0
2014-08-23 16:47:53,2,0,0
2014-08-23 16:47:54,2,0,0
2014-08-23 16:47:55,2,0,0
2014-08-23 16:47:56,2,0,0
2014-08-23 16:47:57,2,2,0
2014-08-23 16:47:58,2,2,0
2014-08-23 16:47:59,2,2,0
2014-08-23 16:48:00,2,2,0
2014-08-23 16:48:01,2,2,0
2014-08-23 16:48:02,2,2,0
2014-08-23 16:48:03,2,2,0
2014-08-23 16:48:04,2,2,0
2014-08-23 16:48:05,0,0,0
2014-08-23 16:48:06,0,0,0
2014-08-23 16:48:07,0,0,0
2014-08-23 16:48:08,0,0,0
2014-08-23 16:48:09,0,0,0
2014-08-23 16:48:10,0,0,2
2014-08-23 16:48:11,0,0,2
2014-08-23 16:48:12,0,0,2
2014-08-23 16:48:13,0,0,2
2014-08-23 16:48:14,0,0,2
2014-08-23 16:48:15,0,0,2
2014-08-23 16:48:16,0,0,2
2014-08-23 16:48:17,0,0,2
2014-08-23 16:48:18,0,0,0
2014-08-23 16:48:19,0,0,2
2014-08-23 16:48:20,0,0,2
2014-08-23 16:48:21,0,0,1
2014-08-23 16:48:22,0,0,3
2014-08-23 16:48:23,0,0,1
2014-08-23 16:48:24,2,2,3
2014-08-23 16:48:25,2,2,3
2014-08-23 16:48:26,2,2,2
2014-08-23 16:48:27,2,2,2
2014-08-23 16:48:28,2,2,2
2014-08-23 16:48:29,2,2,0
2014-08-23 16:48:30,2,2,2
2014-08-23 16:48:31,2,2,2
2014-08-23 16:48:32,2,2,1
2014-08-23 16:48:33,2,2,1
2014-08-23 16:48:34,2,2,1
2014-08-23 16:48:35,2,2,3
2014-08-23 16:48:36,2,2,3
2014-08-23 16:48:37,2,2,3
2014-08-23 16:48:38,2,2,3
2014-08-23 16:48:39,2,2,2
2014-08-23 16:48:40,2,2,2
2014-08-23 16:48:41,2,2,2
2014-08-23 16:48:42,2,2,2
2014-08-23 16:48:43,2,2,2
2014-08-23 16:48:44,2,0,0
2014-08-23 16:48:45,2,2,2
2014-08-23 16:48:46,2,2,2
2014-08-23 16:48:47,2,2,2
2014-08-23 16:48:48,2,2,2
2014-08-23 16:48:49,2,2,2
2014-08-23 16:48:50,2,2,2
2014-08-23 16:48:51,2,2,2
2014-08-23 16:48:52,2,2,2
2014-08-23 16:48:53,2,2,1
2014-08-23 16:48:54,2,2,1
2014-08-23 16:48:55,2,2,1
2014-08-23 16:48:56,2,2,1
2014-08-23 16:48:57,2,2,3
2014-08-23 16:48:58,2,2,1
2014-08-23 16:48:59,2,2,1
2014-08-23 16:49:00,2,2,2
2014-08-23 16:49:01,2,2,2
2014-08-23 16:49:02,2,2,1
2014-08-23 16:49:03,2,2,1
2014-08-23 16:49:04,2,2,2
2014-08-23 16:49:05,2,1,2
2014-08-23 16:49:06,2,1,2
2014-08-23 16:49:07,2,3,2
2014-08-23 16:49:08,2,3,2
2014-08-23 16:49:09,2,3,2
2014-08-23 16:49:10,2,2,2
2014-08-23 16:49:11,2,2,2
2014-08-23 16:49:12,2,2,0
2014-08-23 16:49:13,2,2,2
2014-08-23 16:49:14,2,3,2
2014-08-23 16:49:15,2,2,2
2014-08-23 16:49:16,2,2,3
2014-08-23 16:49:17,2,2,1
2014-08-23 16:49:18,2,2,2
2014-08-23 16:49:19,2,2,2
2014-08-23 16:49:20,2,2,2
2014-08-23 16:49:21,2,0,2
2014-08-23 16:49:22,0,0,2
2014-08-23 16:49:23,0,0,0
2014-08-23 16:49:24,0,0,0
2014-08-23 16:49:25,0,0,0
2014-08-23 16:49:26,0,0,0
2014-08-23 16:49:27,0,0,2
2014-08-23 16:49:28,0,0,2
2014-08-23 16:49:29,0,0,2
2014-08-23 16:49:30,0,0,2
2014-08-23 16:49:31,0,0,2
2014-08-23 16:49:32,0,0,2
2014-08-23 16:49:33,0,0,2
2014-08-23 16:49:34,0,0,2
2014-08-23 16:49:35,0,0,2
2014-08-23 16:49:36,0,0,2
2014-08-23 16:49:37,0,0,2
2014-08-23 16:49:38,0,0,2
2014-08-23 16:49:39,0,0,2
2014-08-23 16:49:40,0,0,2
2014-08-23 16:49:41,2,0,0
2014-08-23 16:49:42,2,0,0
2014-08-23 16:49:43,2,0,0
2014-08-23 16:49:44,2,0,0
2014-08-23 16:49:45,2,0,0
2014-08-23 16:49:46,2,0,0
2014-08-23 16:49:47,2,2,0
2014-08-23 16:49:48,2,2,2
2014-08-23 16:49:49,2,2,2
2014-08-23 16:49:50,2,2,2
2014-08-23 16:49:51,2,2,2
2014-08-23 16:49:52,2,2,2
2014-08-23 16:49:53,2,2,2
2014-08-23 16:49:54,0,0,0
2014-08-23 16:49:55,0,0,0
2014-08-23 16:49:56,0,0,2
2014-08-23 16:49:57,0,0,2
2014-08-23 16:49:58,0,0,2
2014-08-23 16:49:59,0,0,1
2014-08-23 16:50:00,0,0,3
2014-08-23 16:50:01,0,0,3
2014-08-23 16:50:02,2,2,3
2014-08-23 16:50:03,2,2,2
2014-08-23 16:50:04,2,2,2
2014-08-23 16:50:05,2,2,2
2014-08-23 16:50:06,2,2,2
2014-08-23 16:50:07,2,2,0
2014-08-23 16:50:08,2,2,0
2014-08-23 16:50:09,2,2,2
2014-08-23 16:50:10,2,2,2
2014-08-23 16:50:11,2,2,2
2014-08-23 16:50:12,2,2,1
2014-08-23 16:50:13,2,2,3
2014-08-23 16:50:14,2,2,3
2014-08-23 16:50:15,2,2,1
2014-08-23 16:50:16,2,2,2
2014-08-23 16:50:17,2,2,2
2014-08-23 16:50:18,2,2,2
2014-08-23 16:50:19,2,2,2
2014-08-23 16:50:20,2,2,2
2014-08-23 16:50:21,2,2,2
2014-08-23 16:50:22,2,2,2
2014-08-23 16:50:23,2,2,2
2014-08-23 16:50:24,2,2,0
2014-08-23 16:50:25,2,0,0
2014-08-23 16:50:26,2,0,0
2014-08-23 16:50:27,2,2,2
2014-08-23 16:50:28,2,2,2
2014-08-23 16:50:29,2,2,2
2014-08-23 16:50:30,2,2,2
2014-08-23 16:50:31,2,2,1
2014-08-23 16:50:32,2,2,2
2014-08-23 16:50:33,2,2,2
2014-08-23 16:50:34,2,2,2
2014-08-23 16:50:35,2,2,2
2014-08-23 16:50:36,2,2,2
2014-08-23 16:50:37,2,2,1
2014-08-23 16:50:38,2,2,1
2014-08-23 16:50:39,2,2,2
2014-08-23 16:50:40,2,2,2
2014-08-23 16:50:41,2,2,2
2014-08-23 16:50:42,2,2,2
2014-08-23 16:50:43,2,2,2
2014-08-23 16:50:44,2,2,2
2014-08-23 16:50:45,2,2,2
2014-08-23 16:50:46,2,2,2
2014-08-23 16:50:47,2,2,2
2014-08-23 16:50:48,2,2,2
2014-08-23 16:50:49,2,2,2
2014-08-23 16:50:50,2,2,2
2014-08-23 16:50:51,2,2,2
2014-08-23 16:50:52,2,2,2
2014-08-23 16:50:53,2,2,2
2014-08-23 16:50:54,2,2,2
2014-08-23 16:50:55,2,2,2
2014-08-23 16:50:56,2,2,0
2014-08-23 16:50:57,2,2,0
2014-08-23 16:50:58,2,3,2
2014-08-23 16:50:59,2,2,2
2014-08-23 16:51:00,2,2,1
2014-08-23 16:51:01,2,2,1
2014-08-23 16:51:02,2,2,1
2014-08-23 16:51:03,2,2,3
2014-08-23 16:51:04,2,2,2
2014-08-23 16:51:05,2,2,2
2014-08-23 16:51:06,2,2,2
2014-08-23 16:51:07,0,0,2
2014-08-23 16:51:08,0,0,0
2014-08-23 16:51:09,0,0,0
2014-08-23 16:51:10,0,0,0
2014-08-23 16:51:11,0,0,0
2014-08-23 16:51:12,0,0,0
2014-08-23 16:51:13,0,0,0
2014-08-23 16:51:14,0,0,0
2014-08-23 16:51:15,0,0,0
2014-08-23 16:51:16,0,0,0
2014-08-23 16:51:17,0,0,0
2014-08-23 16:51:18,0,0,0
2014-08-23 16:51:19,0,0,0
2014-08-23 16:51:20,0,0,0
2014-08-23 16:51:21,0,0,0
2014-08-23 16:51:22,0,2,0
2014-08-23 16:51:23,0,2,0
2014-08-23 16:51:24,0,2,0
2014-08-23 16:51:25,0,2,0
2014-08-23 16:51:26,0,2,0
2014-08-23 16:51:27,0,2,0
2014-08-23 16:51:28,0,0,0
2014-08-23 16:51:29,0,0,0
2014-08-23 16:51:30,0,0,0
2014-08-23 16:51:31,0,0,0
2014-08-23 16:51:32,0,2,0
2014-08-23 16:51:33,0,2,0
2014-08-23 16:51:34,0,2,0
2014-08-23 16:51:35,2,2,0
2014-08-23 16:51:36,2,2,0
2014-08-23 16:51:37,2,2,2
2014-08-23 16:51:38,2,2,1
2014-08-23 16:51:39,4,2,1
2014-08-23 16:51:40,4,2,3
2014-08-23 16:51:41,3,2,3
2014-08-23 16:51:42,3,4,3
2014-08-23 16:51:43,3,4,3
2014-08-23 16:51:44,1,4,3
2014-08-23 16:51:45,3,4,2
2014-08-23 16:51:46,3,4,2
2014-08-23 16:51:47,3,3,2
2014-08-23 16:51:48,3,3,2
2014-08-23 16:51:49,3,2,2
2014-08-23 16:51:50,2,2,2
2014-08-23 16:51:51,2,2,2
2014-08-23 16:51:52,2,2,2
2014-08-23 16:51:53,2,2,1
2014-08-23 16:51:54,2,0,0
2014-08-23 16:51:55,2,0,0
2014-08-23 16:51:56,8,0,0
2014-08-23 16:51:57,8,0,0
2014-08-23 16:51:58,8,2,0
2014-08-23 16:51:59,3,2,0
2014-08-23 16:52:00,3,2,0
2014-08-23 16:52:01,3,2,0
2014-08-23 16:52:02,2,2,0
2014-08-23 16:52:03,2,1,0
2014-08-23 16:52:04,1,3,0
2014-08-23 16:52:05,1,3,0
2014-08-23 16:52:06,1,3,0
2014-08-23 16:52:07,8,3,0
2014-08-23 16:52:08,8,8,0
2014-08-23 16:52:09,8,8,0
2014-08-23 16:52:10,8,4,0
2014-08-23 16:52:11,8,4,0
2014-08-23 16:52:12,8,2,0
2014-08-23 16:52:13,8,0,0
2014-08-23 16:52:14,2,0,0
2014-08-23 16:52:15,2,2,0
2014-08-23 16:52:16,2,4,0
2014-08-23 16:52:17,2,4,0
2014-08-23 16:52:18,2,4,0
2014-08-23 16:52:19,2,4,0
2014-08-23 16:52:20,0,7,0
2014-08-23 16:52:21,0,7,0
2014-08-23 16:52:22,0,7,0
2014-08-23 16:52:23,2,7,0
2014-08-23 16:52:24,2,7,3
2014-08-23 16:52:25,2,7,4
2014-08-23 16:52:26,7,7,4
2014-08-23 16:52:27,7,7,4
2014-08-23 16:52:28,7,7,4
2014-08-23 16:52:29,7,7,4
2014-08-23 16:52:30,7,7,4
2014-08-23 16:52:31,7,7,4
2014-08-23 16:52:32,7,7,4
2014-08-23 16:52:33,8,4,4
2014-08-23 16:52:34,8,4,4
2014-08-23 16:52:35,8,4,4
2014-08-23 16:52:36,8,4,4
2014-08-23 16:52:37,8,4,4
2014-08-23 16:52:38,8,4,4
2014-08-23 16:52:39,3,4,4
2014-08-23 16:52:40,3,0,4
2014-08-23 16:52:41,3,0,4
2014-08-23 16:52:42,3,0,2
2014-08-23 16:52:43,3,0,0
2014-08-23 16:52:44,3,0,0
2014-08-23 16:52:45,8,0,0
2014-08-23 16:52:46,8,0,0
2014-08-23 16:52:47,8,0,0
2014-08-23 16:52:48,8,0,0
