time,christina,jonathan,yvonne
2014-07-19 15:12:10,0,0,0
2014-07-19 15:12:11,2,0,0
2014-07-19 15:12:12,2,0,0
2014-07-19 15:12:13,2,0,0
2014-07-19 15:12:14,2,2,0
2014-07-19 15:12:15,2,5,0
2014-07-19 15:12:16,2,5,0
2014-07-19 15:12:17,2,7,0
2014-07-19 15:12:18,2,7,0
2014-07-19 15:12:19,2,7,0
2014-07-19 15:12:20,2,7,0
2014-07-19 15:12:21,2,7,0
2014-07-19 15:12:22,2,7,0
2014-07-19 15:12:23,2,5,0
2014-07-19 15:12:24,2,7,0
2014-07-19 15:12:25,2,7,0
2014-07-19 15:12:26,2,5,0
2014-07-19 15:12:27,2,7,0
2014-07-19 15:12:28,2,7,0
2014-07-19 15:12:29,2,7,0
2014-07-19 15:12:30,2,5,0
2014-07-19 15:12:31,2,7,0
2014-07-19 15:12:32,2,7,0
2014-07-19 15:12:33,2,7,0
2014-07-19 15:12:34,2,7,0
2014-07-19 15:12:35,2,7,0
2014-07-19 15:12:36,2,7,0
2014-07-19 15:12:37,2,7,0
2014-07-19 15:12:38,2,7,0
2014-07-19 15:12:39,2,7,0
2014-07-19 15:12:40,2,5,0
2014-07-19 15:12:41,2,5,0
2014-07-19 15:12:42,2,5,0
2014-07-19 15:12:43,2,2,0
2014-07-19 15:12:44,2,5,0
2014-07-19 15:12:45,2,5,0
2014-07-19 15:12:46,2,5,0
2014-07-19 15:12:47,0,5,0
2014-07-19 15:12:48,2,5,0
2014-07-19 15:12:49,2,5,0
2014-07-19 15:12:50,2,5,0
2014-07-19 15:12:51,2,5,0
2014-07-19 15:12:52,2,7,0
2014-07-19 15:12:53,0,5,0
2014-07-19 15:12:54,2,5,0
2014-07-19 15:12:55,5,5,0
2014-07-19 15:12:56,5,7,0
2014-07-19 15:12:57,5,5,0
2014-07-19 15:12:58,5,5,0
2014-07-19 15:12:59,5,7,0
2014-07-19 15:13:00,7,7,2
2014-07-19 15:13:01,7,7,2
2014-07-19 15:13:02,7,7,2
2014-07-19 15:13:03,7,5,2
2014-07-19 15:13:04,7,5,5
2014-07-19 15:13:05,7,5,7
2014-07-19 15:13:06,7,7,7
2014-07-19 15:13:07,7,7,4
2014-07-19 15:13:08,7,7,4
2014-07-19 15:13:09,7,7,8
2014-07-19 15:13:10,7,7,8
2014-07-19 15:13:11,7,7,8
2014-07-19 15:13:12,7,7,4
2014-07-19 15:13:13,7,7,6
2014-07-19 15:13:14,7,7,6
2014-07-19 15:13:15,7,5,8
2014-07-19 15:13:16,4,5,8
2014-07-19 15:13:17,4,5,7
2014-07-19 15:13:18,4,5,4
2014-07-19 15:13:19,4,5,4
2014-07-19 15:13:20,2,5,7
2014-07-19 15:13:21,2,5,7
2014-07-19 15:13:22,2,5,7
2014-07-19 15:13:23,2,7,7
2014-07-19 15:13:24,2,7,7
2014-07-19 15:13:25,2,6,7
2014-07-19 15:13:26,2,5,7
2014-07-19 15:13:27,2,6,7
2014-07-19 15:13:28,2,6,7
2014-07-19 15:13:29,2,6,7
2014-07-19 15:13:30,2,6,7
2014-07-19 15:13:31,2,6,7
2014-07-19 15:13:32,2,6,7
2014-07-19 15:13:33,2,7,7
2014-07-19 15:13:34,2,7,6
2014-07-19 15:13:35,2,7,6
2014-07-19 15:13:36,2,7,6
2014-07-19 15:13:37,2,7,6
2014-07-19 15:13:38,2,7,6
2014-07-19 15:13:39,2,5,7
2014-07-19 15:13:40,2,5,7
2014-07-19 15:13:41,0,8,7
2014-07-19 15:13:42,6,7,7
2014-07-19 15:13:43,5,5,7
2014-07-19 15:13:44,5,7,7
2014-07-19 15:13:45,7,7,7
2014-07-19 15:13:46,7,7,7
2014-07-19 15:13:47,7,7,7
2014-07-19 15:13:48,7,7,7
2014-07-19 15:13:49,7,7,8
2014-07-19 15:13:50,7,7,7
2014-07-19 15:13:51,7,7,7
2014-07-19 15:13:52,7,2,7
2014-07-19 15:13:53,8,8,7
2014-07-19 15:13:54,7,7,7
2014-07-19 15:13:55,7,7,7
2014-07-19 15:13:56,6,7,7
2014-07-19 15:13:57,8,8,7
2014-07-19 15:13:58,7,7,7
2014-07-19 15:13:59,6,7,7
2014-07-19 15:14:00,7,7,7
2014-07-19 15:14:01,7,7,7
2014-07-19 15:14:02,4,7,7
2014-07-19 15:14:03,4,7,7
2014-07-19 15:14:04,4,7,7
2014-07-19 15:14:05,2,7,7
2014-07-19 15:14:06,2,7,7
2014-07-19 15:14:07,2,7,7
2014-07-19 15:14:08,4,6,7
2014-07-19 15:14:09,4,6,7
2014-07-19 15:14:10,4,6,7
2014-07-19 15:14:11,6,6,7
2014-07-19 15:14:12,6,6,7
2014-07-19 15:14:13,6,6,7
2014-07-19 15:14:14,4,6,7
2014-07-19 15:14:15,4,6,7
2014-07-19 15:14:16,4,6,4
2014-07-19 15:14:17,6,6,4
2014-07-19 15:14:18,6,4,7
2014-07-19 15:14:19,4,4,7
2014-07-19 15:14:20,3,4,7
2014-07-19 15:14:21,3,4,7
2014-07-19 15:14:22,1,4,7
2014-07-19 15:14:23,1,4,7
2014-07-19 15:14:24,1,4,7
2014-07-19 15:14:25,1,4,7
2014-07-19 15:14:26,1,6,7
2014-07-19 15:14:27,1,6,7
2014-07-19 15:14:28,1,6,7
2014-07-19 15:14:29,1,6,7
2014-07-19 15:14:30,3,6,7
2014-07-19 15:14:31,3,4,6
2014-07-19 15:14:32,3,4,6
2014-07-19 15:14:33,6,4,6
2014-07-19 15:14:34,4,4,6
2014-07-19 15:14:35,3,6,6
2014-07-19 15:14:36,3,6,6
2014-07-19 15:14:37,3,6,6
2014-07-19 15:14:38,1,7,6
2014-07-19 15:14:39,1,7,6
2014-07-19 15:14:40,1,6,6
2014-07-19 15:14:41,1,7,7
2014-07-19 15:14:42,1,7,7
2014-07-19 15:14:43,1,7,6
2014-07-19 15:14:44,1,7,6
2014-07-19 15:14:45,1,7,6
2014-07-19 15:14:46,1,7,6
2014-07-19 15:14:47,1,7,6
2014-07-19 15:14:48,1,3,6
2014-07-19 15:14:49,1,3,6
2014-07-19 15:14:50,1,3,7
2014-07-19 15:14:51,1,3,7
2014-07-19 15:14:52,1,3,3
2014-07-19 15:14:53,1,1,3
2014-07-19 15:14:54,3,1,3
2014-07-19 15:14:55,3,1,3
2014-07-19 15:14:56,3,1,3
2014-07-19 15:14:57,3,1,4
2014-07-19 15:14:58,3,1,4
2014-07-19 15:14:59,3,3,4
2014-07-19 15:15:00,3,3,4
2014-07-19 15:15:01,3,3,4
2014-07-19 15:15:02,3,3,4
2014-07-19 15:15:03,3,3,4
2014-07-19 15:15:04,3,3,4
2014-07-19 15:15:05,3,3,3
2014-07-19 15:15:06,3,3,3
2014-07-19 15:15:07,3,3,3
2014-07-19 15:15:08,3,7,3
2014-07-19 15:15:09,3,7,3
2014-07-19 15:15:10,3,7,3
2014-07-19 15:15:11,3,8,3
2014-07-19 15:15:12,3,7,3
2014-07-19 15:15:13,3,7,3
2014-07-19 15:15:14,3,7,3
2014-07-19 15:15:15,3,8,3
2014-07-19 15:15:16,3,7,4
2014-07-19 15:15:17,4,7,4
2014-07-19 15:15:18,4,7,4
2014-07-19 15:15:19,4,7,4
2014-07-19 15:15:20,4,7,4
2014-07-19 15:15:21,4,7,4
2014-07-19 15:15:22,4,7,4
2014-07-19 15:15:23,6,7,4
2014-07-19 15:15:24,6,7,4
2014-07-19 15:15:25,6,7,4
2014-07-19 15:15:26,7,5,4
2014-07-19 15:15:27,6,2,4
2014-07-19 15:15:28,7,8,0
2014-07-19 15:15:29,7,5,0
2014-07-19 15:15:30,7,5,0
2014-07-19 15:15:31,7,7,0
2014-07-19 15:15:32,8,7,0
2014-07-19 15:15:33,8,7,0
2014-07-19 15:15:34,8,7,0
2014-07-19 15:15:35,5,7,0
2014-07-19 15:15:36,5,7,0
2014-07-19 15:15:37,5,7,0
2014-07-19 15:15:38,5,7,0
2014-07-19 15:15:39,5,7,0
2014-07-19 15:15:40,5,7,0
2014-07-19 15:15:41,5,7,0
2014-07-19 15:15:42,5,7,0
2014-07-19 15:15:43,5,7,0
2014-07-19 15:15:44,5,7,0
2014-07-19 15:15:45,5,7,1
2014-07-19 15:15:46,8,7,1
2014-07-19 15:15:47,7,7,1
