time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-01 17:53:23,0,0,0,0
2015-05-01 17:53:24,6,0,0,0
2015-05-01 17:53:25,6,0,0,0
2015-05-01 17:53:26,2,6,0,0
2015-05-01 17:53:27,2,6,0,0
2015-05-01 17:53:28,2,6,2,7
2015-05-01 17:53:29,2,6,2,7
2015-05-01 17:53:30,2,6,2,7
2015-05-01 17:53:31,2,6,2,7
2015-05-01 17:53:32,2,6,2,7
2015-05-01 17:53:33,2,4,2,7
2015-05-01 17:53:34,2,4,2,7
2015-05-01 17:53:35,2,4,2,7
2015-05-01 17:53:36,2,4,2,7
2015-05-01 17:53:37,2,4,2,7
2015-05-01 17:53:38,8,7,2,0
2015-05-01 17:53:39,8,7,2,0
2015-05-01 17:53:40,8,7,2,0
2015-05-01 17:53:41,8,7,2,7
2015-05-01 17:53:42,8,7,2,6
2015-05-01 17:53:43,8,7,2,7
2015-05-01 17:53:44,8,7,2,7
2015-05-01 17:53:45,8,8,2,7
2015-05-01 17:53:46,8,8,2,8
2015-05-01 17:53:47,8,8,2,8
2015-05-01 17:53:48,8,8,2,8
2015-05-01 17:53:49,3,8,2,8
2015-05-01 17:53:50,8,7,6,8
2015-05-01 17:53:51,8,8,2,8
2015-05-01 17:53:52,8,7,2,8
2015-05-01 17:53:53,8,7,2,8
2015-05-01 17:53:54,8,7,2,8
2015-05-01 17:53:55,3,7,2,8
2015-05-01 17:53:56,3,7,2,8
2015-05-01 17:53:57,3,7,2,7
2015-05-01 17:53:58,3,7,2,7
2015-05-01 17:53:59,3,7,2,7
2015-05-01 17:54:00,2,7,2,5
2015-05-01 17:54:01,2,7,2,5
2015-05-01 17:54:02,2,7,2,0
2015-05-01 17:54:03,2,7,2,0
2015-05-01 17:54:04,2,4,2,2
2015-05-01 17:54:05,2,2,2,2
2015-05-01 17:54:06,2,2,2,2
2015-05-01 17:54:07,2,2,2,2
2015-05-01 17:54:08,2,2,2,2
2015-05-01 17:54:09,2,2,2,2
2015-05-01 17:54:10,2,2,2,2
2015-05-01 17:54:11,2,2,2,2
2015-05-01 17:54:12,2,2,2,2
2015-05-01 17:54:13,2,2,2,8
2015-05-01 17:54:14,2,2,2,7
2015-05-01 17:54:15,2,2,2,7
