time,christina,jonathan,charles
2014-08-11 20:30:48,0,0,0
2014-08-11 20:30:49,2,0,0
2014-08-11 20:30:50,2,2,0
2014-08-11 20:30:51,2,2,0
2014-08-11 20:30:52,2,2,0
2014-08-11 20:30:53,2,2,0
2014-08-11 20:30:54,2,1,0
2014-08-11 20:30:55,2,1,0
2014-08-11 20:30:56,2,1,0
2014-08-11 20:30:57,2,3,0
2014-08-11 20:30:58,2,1,0
2014-08-11 20:30:59,2,1,0
2014-08-11 20:31:00,2,1,0
2014-08-11 20:31:01,2,1,0
2014-08-11 20:31:02,2,1,2
2014-08-11 20:31:03,2,1,2
2014-08-11 20:31:04,2,1,2
2014-08-11 20:31:05,2,1,2
2014-08-11 20:31:06,2,1,2
2014-08-11 20:31:07,2,1,2
2014-08-11 20:31:08,2,3,2
2014-08-11 20:31:09,0,1,2
2014-08-11 20:31:10,0,1,2
2014-08-11 20:31:11,2,1,2
2014-08-11 20:31:12,2,1,2
2014-08-11 20:31:13,2,1,2
2014-08-11 20:31:14,2,1,2
2014-08-11 20:31:15,2,1,2
2014-08-11 20:31:16,2,1,2
2014-08-11 20:31:17,2,1,2
2014-08-11 20:31:18,2,1,2
2014-08-11 20:31:19,2,1,2
2014-08-11 20:31:20,2,1,2
2014-08-11 20:31:21,2,1,2
2014-08-11 20:31:22,2,1,2
2014-08-11 20:31:23,2,1,2
2014-08-11 20:31:24,2,1,2
2014-08-11 20:31:25,2,1,2
2014-08-11 20:31:26,2,1,2
2014-08-11 20:31:27,2,1,2
2014-08-11 20:31:28,2,1,2
2014-08-11 20:31:29,2,1,2
2014-08-11 20:31:30,2,1,2
2014-08-11 20:31:31,2,1,2
2014-08-11 20:31:32,0,1,2
2014-08-11 20:31:33,0,1,2
2014-08-11 20:31:34,2,1,2
2014-08-11 20:31:35,2,3,2
2014-08-11 20:31:36,2,1,2
2014-08-11 20:31:37,2,1,2
2014-08-11 20:31:38,2,1,2
2014-08-11 20:31:39,2,1,2
2014-08-11 20:31:40,2,1,2
2014-08-11 20:31:41,2,1,2
2014-08-11 20:31:42,2,1,2
2014-08-11 20:31:43,2,1,2
