time,christina,charles,jonathan,yvonne
2013-08-03 18:52:58,0,0,0,0
2013-08-03 18:52:59,2,0,0,0
2013-08-03 18:53:00,7,0,0,0
2013-08-03 18:53:01,4,0,0,0
2013-08-03 18:53:02,4,0,0,0
2013-08-03 18:53:03,4,0,0,0
2013-08-03 18:53:04,4,0,0,0
2013-08-03 18:53:05,4,0,0,0
2013-08-03 18:53:06,4,0,0,0
2013-08-03 18:53:07,0,3,0,0
2013-08-03 18:53:08,0,7,0,0
2013-08-03 18:53:09,0,7,0,0
2013-08-03 18:53:10,4,7,0,0
2013-08-03 18:53:11,4,7,0,0
2013-08-03 18:53:12,4,7,0,0
2013-08-03 18:53:13,4,7,0,0
2013-08-03 18:53:14,4,7,0,0
2013-08-03 18:53:15,4,7,0,0
2013-08-03 18:53:16,3,7,0,0
2013-08-03 18:53:17,4,7,0,0
2013-08-03 18:53:18,4,7,0,0
2013-08-03 18:53:19,4,7,0,0
2013-08-03 18:53:20,4,5,0,0
2013-08-03 18:53:21,4,5,0,0
2013-08-03 18:53:22,4,7,0,0
2013-08-03 18:53:23,2,7,0,0
2013-08-03 18:53:24,2,7,0,0
2013-08-03 18:53:25,2,7,0,0
2013-08-03 18:53:26,2,7,0,0
2013-08-03 18:53:27,0,7,0,0
2013-08-03 18:53:28,4,7,0,0
2013-08-03 18:53:29,4,7,0,0
2013-08-03 18:53:30,4,7,0,0
2013-08-03 18:53:31,4,7,0,0
2013-08-03 18:53:32,4,7,0,0
2013-08-03 18:53:33,4,7,0,0
2013-08-03 18:53:34,4,5,0,0
2013-08-03 18:53:35,4,7,0,0
2013-08-03 18:53:36,4,7,0,0
2013-08-03 18:53:37,4,7,0,0
2013-08-03 18:53:38,4,8,0,0
2013-08-03 18:53:39,4,8,0,0
2013-08-03 18:53:40,4,7,0,0
2013-08-03 18:53:41,4,7,0,0
2013-08-03 18:53:42,4,8,0,0
2013-08-03 18:53:43,3,7,0,0
2013-08-03 18:53:44,2,7,0,0
2013-08-03 18:53:45,3,5,0,0
2013-08-03 18:53:46,4,5,0,0
2013-08-03 18:53:47,4,4,0,0
2013-08-03 18:53:48,4,7,0,0
2013-08-03 18:53:49,4,7,0,0
2013-08-03 18:53:50,2,7,0,0
2013-08-03 18:53:51,2,8,0,0
2013-08-03 18:53:52,2,5,0,0
2013-08-03 18:53:53,2,5,0,0
2013-08-03 18:53:54,2,2,0,0
2013-08-03 18:53:55,2,2,0,0
2013-08-03 18:53:56,2,2,0,0
2013-08-03 18:53:57,2,2,0,0
2013-08-03 18:53:58,2,2,0,0
2013-08-03 18:53:59,2,2,0,0
2013-08-03 18:54:00,2,2,0,0
2013-08-03 18:54:01,2,2,0,0
2013-08-03 18:54:02,2,0,0,0
2013-08-03 18:54:03,0,0,0,0
2013-08-03 18:54:04,0,0,0,0
2013-08-03 18:54:05,2,2,0,0
2013-08-03 18:54:06,2,2,0,0
2013-08-03 18:54:07,2,2,0,0
2013-08-03 18:54:08,2,2,0,0
2013-08-03 18:54:09,2,4,0,0
2013-08-03 18:54:10,2,4,0,0
2013-08-03 18:54:11,4,4,0,0
2013-08-03 18:54:12,4,4,0,0
2013-08-03 18:54:13,4,4,0,0
2013-08-03 18:54:14,4,7,0,0
2013-08-03 18:54:15,4,7,0,0
2013-08-03 18:54:16,4,7,0,0
2013-08-03 18:54:17,4,7,0,0
2013-08-03 18:54:18,3,7,0,0
2013-08-03 18:54:19,0,7,0,0
2013-08-03 18:54:20,0,7,0,0
2013-08-03 18:54:21,0,7,0,0
2013-08-03 18:54:22,0,4,0,0
2013-08-03 18:54:23,0,7,0,0
2013-08-03 18:54:24,0,4,0,0
2013-08-03 18:54:25,0,4,0,0
2013-08-03 18:54:26,4,4,0,0
2013-08-03 18:54:27,4,4,0,0
2013-08-03 18:54:28,4,7,0,0
2013-08-03 18:54:29,7,4,0,0
2013-08-03 18:54:30,7,4,0,0
2013-08-03 18:54:31,4,4,0,0
2013-08-03 18:54:32,4,4,2,0
2013-08-03 18:54:33,4,4,7,0
2013-08-03 18:54:34,4,7,7,0
2013-08-03 18:54:35,4,7,7,0
2013-08-03 18:54:36,4,7,7,0
2013-08-03 18:54:37,4,8,7,0
2013-08-03 18:54:38,4,7,7,0
2013-08-03 18:54:39,4,7,7,0
2013-08-03 18:54:40,4,7,4,0
2013-08-03 18:54:41,4,7,4,0
2013-08-03 18:54:42,2,7,4,0
2013-08-03 18:54:43,2,7,0,0
2013-08-03 18:54:44,2,7,0,0
2013-08-03 18:54:45,2,7,0,0
2013-08-03 18:54:46,2,7,0,0
2013-08-03 18:54:47,2,7,0,0
2013-08-03 18:54:48,2,7,0,0
2013-08-03 18:54:49,2,7,0,0
2013-08-03 18:54:50,2,7,0,0
2013-08-03 18:54:51,2,8,0,0
2013-08-03 18:54:52,2,7,0,0
2013-08-03 18:54:53,2,7,0,0
2013-08-03 18:54:54,2,7,0,0
2013-08-03 18:54:55,2,8,0,0
2013-08-03 18:54:56,2,8,0,0
2013-08-03 18:54:57,2,8,0,0
2013-08-03 18:54:58,2,2,0,0
2013-08-03 18:54:59,2,2,0,0
2013-08-03 18:55:00,2,4,0,0
2013-08-03 18:55:01,2,8,4,0
2013-08-03 18:55:02,2,4,4,0
2013-08-03 18:55:03,2,4,4,0
2013-08-03 18:55:04,2,4,7,0
2013-08-03 18:55:05,2,7,7,0
2013-08-03 18:55:06,2,4,7,0
2013-08-03 18:55:07,2,4,7,0
2013-08-03 18:55:08,2,4,7,0
2013-08-03 18:55:09,2,7,6,0
2013-08-03 18:55:10,2,7,0,0
2013-08-03 18:55:11,2,7,0,0
2013-08-03 18:55:12,2,7,0,0
2013-08-03 18:55:13,2,7,0,0
2013-08-03 18:55:14,2,7,0,0
2013-08-03 18:55:15,2,4,0,0
2013-08-03 18:55:16,2,4,0,0
2013-08-03 18:55:17,2,4,0,0
2013-08-03 18:55:18,2,4,0,0
2013-08-03 18:55:19,2,2,0,0
2013-08-03 18:55:20,2,0,0,0
2013-08-03 18:55:21,2,0,0,0
2013-08-03 18:55:22,2,0,0,0
2013-08-03 18:55:23,2,0,0,0
2013-08-03 18:55:24,2,0,0,0
2013-08-03 18:55:25,2,0,0,0
2013-08-03 18:55:26,0,0,0,0
2013-08-03 18:55:27,0,0,0,0
2013-08-03 18:55:28,0,0,0,0
2013-08-03 18:55:29,0,0,0,0
2013-08-03 18:55:30,0,0,0,0
2013-08-03 18:55:31,0,0,0,0
2013-08-03 18:55:32,0,0,0,0
2013-08-03 18:55:33,0,2,0,0
2013-08-03 18:55:34,0,2,0,0
2013-08-03 18:55:35,0,2,0,0
2013-08-03 18:55:36,0,2,0,0
2013-08-03 18:55:37,0,2,0,0
2013-08-03 18:55:38,0,3,0,0
2013-08-03 18:55:39,0,7,0,0
2013-08-03 18:55:40,0,7,0,0
2013-08-03 18:55:41,0,7,0,0
2013-08-03 18:55:42,0,7,0,0
2013-08-03 18:55:43,0,7,0,0
2013-08-03 18:55:44,0,7,0,0
2013-08-03 18:55:45,0,7,0,0
2013-08-03 18:55:46,0,6,0,0
2013-08-03 18:55:47,0,7,0,0
2013-08-03 18:55:48,0,6,0,0
2013-08-03 18:55:49,0,7,2,0
2013-08-03 18:55:50,0,7,2,0
2013-08-03 18:55:51,0,5,2,0
2013-08-03 18:55:52,0,5,2,0
2013-08-03 18:55:53,0,5,2,0
2013-08-03 18:55:54,0,5,0,0
2013-08-03 18:55:55,0,5,0,0
2013-08-03 18:55:56,0,7,0,0
2013-08-03 18:55:57,0,7,0,0
2013-08-03 18:55:58,0,7,0,0
2013-08-03 18:55:59,0,7,0,0
2013-08-03 18:56:00,0,7,0,0
2013-08-03 18:56:01,0,7,0,0
2013-08-03 18:56:02,0,7,0,0
2013-08-03 18:56:03,0,7,0,0
2013-08-03 18:56:04,0,5,0,0
2013-08-03 18:56:05,0,5,0,0
2013-08-03 18:56:06,0,5,0,0
2013-08-03 18:56:07,0,5,0,0
2013-08-03 18:56:08,0,7,0,0
2013-08-03 18:56:09,0,7,0,0
2013-08-03 18:56:10,0,7,0,0
2013-08-03 18:56:11,0,7,0,0
2013-08-03 18:56:12,0,8,0,0
2013-08-03 18:56:13,0,8,0,0
2013-08-03 18:56:14,0,4,0,0
2013-08-03 18:56:15,0,5,0,0
2013-08-03 18:56:16,0,5,0,0
2013-08-03 18:56:17,4,5,0,0
2013-08-03 18:56:18,4,5,0,0
2013-08-03 18:56:19,4,5,0,0
2013-08-03 18:56:20,4,5,0,0
2013-08-03 18:56:21,4,5,0,0
2013-08-03 18:56:22,4,5,0,0
2013-08-03 18:56:23,4,5,0,0
2013-08-03 18:56:24,4,5,0,0
2013-08-03 18:56:25,4,5,0,0
2013-08-03 18:56:26,4,5,7,0
2013-08-03 18:56:27,4,5,5,0
2013-08-03 18:56:28,4,5,5,0
2013-08-03 18:56:29,4,7,5,0
2013-08-03 18:56:30,0,7,5,0
2013-08-03 18:56:31,0,7,5,0
2013-08-03 18:56:32,0,7,2,0
2013-08-03 18:56:33,0,7,0,0
2013-08-03 18:56:34,0,7,0,0
2013-08-03 18:56:35,0,7,0,0
2013-08-03 18:56:36,0,7,2,0
2013-08-03 18:56:37,0,7,4,0
2013-08-03 18:56:38,0,7,4,0
2013-08-03 18:56:39,0,7,4,0
2013-08-03 18:56:40,0,7,4,0
2013-08-03 18:56:41,0,5,4,0
2013-08-03 18:56:42,0,5,0,0
2013-08-03 18:56:43,0,5,0,0
2013-08-03 18:56:44,0,5,0,0
2013-08-03 18:56:45,0,5,0,0
2013-08-03 18:56:46,0,5,0,0
2013-08-03 18:56:47,2,5,0,0
