time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-07 18:11:26,0,0,0,0
2015-05-07 18:11:27,2,0,0,0
2015-05-07 18:11:28,2,0,0,0
2015-05-07 18:11:29,2,1,0,0
2015-05-07 18:11:30,2,1,0,0
2015-05-07 18:11:31,2,1,2,0
2015-05-07 18:11:32,2,1,2,0
2015-05-07 18:11:33,2,2,2,0
2015-05-07 18:11:34,2,2,2,0
2015-05-07 18:11:35,2,2,2,0
2015-05-07 18:11:36,2,2,6,0
2015-05-07 18:11:37,2,2,6,6
2015-05-07 18:11:38,2,2,6,6
2015-05-07 18:11:39,2,2,2,6
2015-05-07 18:11:40,2,2,2,2
2015-05-07 18:11:41,2,2,2,2
2015-05-07 18:11:42,2,2,2,2
2015-05-07 18:11:43,2,6,2,2
2015-05-07 18:11:44,2,6,2,6
2015-05-07 18:11:45,2,6,2,6
2015-05-07 18:11:46,2,6,2,6
2015-05-07 18:11:47,2,6,2,6
2015-05-07 18:11:48,2,2,6,4
2015-05-07 18:11:49,2,2,0,8
2015-05-07 18:11:50,2,2,0,8
2015-05-07 18:11:51,2,2,2,8
2015-05-07 18:11:52,2,2,2,8
2015-05-07 18:11:53,2,2,2,8
2015-05-07 18:11:54,2,2,2,0
2015-05-07 18:11:55,2,2,2,0
2015-05-07 18:11:56,2,6,2,8
2015-05-07 18:11:57,2,2,2,8
2015-05-07 18:11:58,2,2,2,8
2015-05-07 18:11:59,2,2,2,8
2015-05-07 18:12:00,2,2,2,8
2015-05-07 18:12:01,2,2,2,2
2015-05-07 18:12:02,2,2,2,2
2015-05-07 18:12:03,2,2,2,2
2015-05-07 18:12:04,2,2,2,2
2015-05-07 18:12:05,2,2,2,2
2015-05-07 18:12:06,2,2,2,0
2015-05-07 18:12:07,2,2,2,2
2015-05-07 18:12:08,2,2,2,2
2015-05-07 18:12:09,2,2,2,2
2015-05-07 18:12:10,2,2,5,2
2015-05-07 18:12:11,2,2,5,2
2015-05-07 18:12:12,2,2,7,6
2015-05-07 18:12:13,2,2,7,8
2015-05-07 18:12:14,2,2,7,7
2015-05-07 18:12:15,2,2,7,7
2015-05-07 18:12:16,5,2,7,7
2015-05-07 18:12:17,6,2,7,7
2015-05-07 18:12:18,6,2,7,7
2015-05-07 18:12:19,7,2,7,7
2015-05-07 18:12:20,7,2,7,7
2015-05-07 18:12:21,7,2,7,7
2015-05-07 18:12:22,7,2,7,7
2015-05-07 18:12:23,7,2,7,7
2015-05-07 18:12:24,7,2,7,7
2015-05-07 18:12:25,7,2,8,7
2015-05-07 18:12:26,5,3,7,7
2015-05-07 18:12:27,7,3,7,7
2015-05-07 18:12:28,5,5,7,7
2015-05-07 18:12:29,5,5,8,8
2015-05-07 18:12:30,5,7,7,8
2015-05-07 18:12:31,5,5,5,7
2015-05-07 18:12:32,7,5,7,7
2015-05-07 18:12:33,7,5,7,4
2015-05-07 18:12:34,7,5,7,4
2015-05-07 18:12:35,7,2,7,4
2015-05-07 18:12:36,4,2,7,4
2015-05-07 18:12:37,4,2,8,4
2015-05-07 18:12:38,4,2,8,4
2015-05-07 18:12:39,8,2,8,4
2015-05-07 18:12:40,2,2,8,4
2015-05-07 18:12:41,2,2,8,4
2015-05-07 18:12:42,2,2,8,4
2015-05-07 18:12:43,8,2,8,4
2015-05-07 18:12:44,8,2,8,4
2015-05-07 18:12:45,8,2,8,4
2015-05-07 18:12:46,8,2,7,4
2015-05-07 18:12:47,8,2,7,4
2015-05-07 18:12:48,2,2,7,4
