time,yvonne,christina,jonathan
2014-07-19 14:47:38,0,0,0
2014-07-19 14:47:39,2,0,0
2014-07-19 14:47:40,5,2,0
2014-07-19 14:47:41,5,2,0
2014-07-19 14:47:42,5,2,0
2014-07-19 14:47:43,5,2,0
2014-07-19 14:47:44,5,2,2
2014-07-19 14:47:45,5,2,2
2014-07-19 14:47:46,5,2,2
2014-07-19 14:47:47,5,2,2
2014-07-19 14:47:48,5,2,2
2014-07-19 14:47:49,2,2,2
2014-07-19 14:47:50,2,2,2
2014-07-19 14:47:51,2,2,2
2014-07-19 14:47:52,5,2,2
2014-07-19 14:47:53,5,2,2
2014-07-19 14:47:54,5,2,2
2014-07-19 14:47:55,5,2,2
2014-07-19 14:47:56,5,2,2
2014-07-19 14:47:57,5,2,2
2014-07-19 14:47:58,2,2,2
2014-07-19 14:47:59,5,2,2
2014-07-19 14:48:00,5,2,2
2014-07-19 14:48:01,5,2,2
2014-07-19 14:48:02,5,2,2
2014-07-19 14:48:03,5,2,2
2014-07-19 14:48:04,2,2,2
2014-07-19 14:48:05,2,0,2
2014-07-19 14:48:06,2,2,2
2014-07-19 14:48:07,2,8,2
2014-07-19 14:48:08,2,7,2
2014-07-19 14:48:09,2,7,2
2014-07-19 14:48:10,2,7,2
2014-07-19 14:48:11,2,7,2
2014-07-19 14:48:12,2,7,2
2014-07-19 14:48:13,2,7,2
2014-07-19 14:48:14,2,7,2
2014-07-19 14:48:15,5,6,2
2014-07-19 14:48:16,5,7,2
2014-07-19 14:48:17,5,7,2
2014-07-19 14:48:18,7,7,3
2014-07-19 14:48:19,5,4,2
2014-07-19 14:48:20,5,2,2
2014-07-19 14:48:21,5,2,2
2014-07-19 14:48:22,5,2,2
2014-07-19 14:48:23,5,2,4
2014-07-19 14:48:24,5,2,4
2014-07-19 14:48:25,5,2,4
2014-07-19 14:48:26,5,2,4
2014-07-19 14:48:27,5,2,3
2014-07-19 14:48:28,5,2,2
2014-07-19 14:48:29,5,2,2
2014-07-19 14:48:30,5,2,2
2014-07-19 14:48:31,5,2,2
2014-07-19 14:48:32,5,2,2
2014-07-19 14:48:33,5,2,2
2014-07-19 14:48:34,7,2,2
2014-07-19 14:48:35,7,2,2
2014-07-19 14:48:36,7,2,3
2014-07-19 14:48:37,7,2,3
2014-07-19 14:48:38,7,2,2
2014-07-19 14:48:39,5,2,2
2014-07-19 14:48:40,5,2,2
2014-07-19 14:48:41,5,5,2
2014-07-19 14:48:42,5,2,0
2014-07-19 14:48:43,5,2,0
2014-07-19 14:48:44,7,2,2
2014-07-19 14:48:45,7,5,2
2014-07-19 14:48:46,7,2,2
2014-07-19 14:48:47,7,2,2
2014-07-19 14:48:48,7,2,3
2014-07-19 14:48:49,5,2,3
2014-07-19 14:48:50,5,2,3
2014-07-19 14:48:51,5,2,3
2014-07-19 14:48:52,5,2,3
2014-07-19 14:48:53,5,2,3
2014-07-19 14:48:54,5,2,4
2014-07-19 14:48:55,5,2,4
2014-07-19 14:48:56,5,2,3
2014-07-19 14:48:57,5,2,5
2014-07-19 14:48:58,5,2,2
2014-07-19 14:48:59,5,2,2
2014-07-19 14:49:00,5,3,2
2014-07-19 14:49:01,7,8,1
2014-07-19 14:49:02,7,2,1
2014-07-19 14:49:03,7,8,1
2014-07-19 14:49:04,7,8,1
2014-07-19 14:49:05,7,2,3
2014-07-19 14:49:06,7,2,3
2014-07-19 14:49:07,7,2,3
2014-07-19 14:49:08,7,2,3
2014-07-19 14:49:09,7,2,3
2014-07-19 14:49:10,7,2,3
2014-07-19 14:49:11,7,2,4
2014-07-19 14:49:12,7,2,3
2014-07-19 14:49:13,7,2,3
2014-07-19 14:49:14,7,2,3
2014-07-19 14:49:15,7,2,3
2014-07-19 14:49:16,7,2,3
2014-07-19 14:49:17,7,2,3
2014-07-19 14:49:18,7,2,3
2014-07-19 14:49:19,7,2,3
2014-07-19 14:49:20,7,2,3
2014-07-19 14:49:21,7,2,3
2014-07-19 14:49:22,7,2,3
2014-07-19 14:49:23,7,2,3
2014-07-19 14:49:24,7,8,3
2014-07-19 14:49:25,7,8,3
2014-07-19 14:49:26,7,8,3
2014-07-19 14:49:27,7,8,3
2014-07-19 14:49:28,7,8,5
2014-07-19 14:49:29,7,8,3
2014-07-19 14:49:30,7,8,3
2014-07-19 14:49:31,7,8,5
2014-07-19 14:49:32,7,8,5
2014-07-19 14:49:33,7,8,5
2014-07-19 14:49:34,7,7,5
2014-07-19 14:49:35,7,4,5
2014-07-19 14:49:36,7,4,5
2014-07-19 14:49:37,7,8,5
2014-07-19 14:49:38,7,8,5
2014-07-19 14:49:39,7,8,7
2014-07-19 14:49:40,7,7,7
2014-07-19 14:49:41,7,7,7
2014-07-19 14:49:42,7,7,6
2014-07-19 14:49:43,7,6,7
2014-07-19 14:49:44,7,6,7
2014-07-19 14:49:45,7,6,7
2014-07-19 14:49:46,7,4,7
2014-07-19 14:49:47,7,4,7
2014-07-19 14:49:48,8,7,8
2014-07-19 14:49:49,7,7,7
2014-07-19 14:49:50,7,7,7
2014-07-19 14:49:51,7,6,7
2014-07-19 14:49:52,8,7,8
2014-07-19 14:49:53,7,4,7
2014-07-19 14:49:54,7,4,7
2014-07-19 14:49:55,7,4,7
2014-07-19 14:49:56,7,4,7
2014-07-19 14:49:57,7,4,7
2014-07-19 14:49:58,7,4,7
2014-07-19 14:49:59,7,4,7
2014-07-19 14:50:00,7,4,7
2014-07-19 14:50:01,7,4,7
2014-07-19 14:50:02,7,7,7
2014-07-19 14:50:03,4,6,7
2014-07-19 14:50:04,4,7,7
2014-07-19 14:50:05,4,7,7
2014-07-19 14:50:06,0,7,7
2014-07-19 14:50:07,4,7,4
2014-07-19 14:50:08,7,5,4
2014-07-19 14:50:09,7,5,4
2014-07-19 14:50:10,7,7,0
2014-07-19 14:50:11,7,7,0
2014-07-19 14:50:12,7,7,0
2014-07-19 14:50:13,5,7,4
2014-07-19 14:50:14,5,7,4
2014-07-19 14:50:15,5,6,7
2014-07-19 14:50:16,5,6,7
2014-07-19 14:50:17,5,6,6
2014-07-19 14:50:18,5,7,6
2014-07-19 14:50:19,5,7,6
2014-07-19 14:50:20,5,4,6
2014-07-19 14:50:21,5,7,6
2014-07-19 14:50:22,5,6,6
2014-07-19 14:50:23,5,6,6
2014-07-19 14:50:24,7,6,8
2014-07-19 14:50:25,7,6,8
2014-07-19 14:50:26,7,6,8
2014-07-19 14:50:27,7,6,8
2014-07-19 14:50:28,8,7,8
2014-07-19 14:50:29,8,6,8
2014-07-19 14:50:30,8,6,8
2014-07-19 14:50:31,8,8,8
2014-07-19 14:50:32,8,6,7
2014-07-19 14:50:33,7,8,8
2014-07-19 14:50:34,7,8,8
2014-07-19 14:50:35,7,8,8
2014-07-19 14:50:36,7,8,8
2014-07-19 14:50:37,7,8,8
2014-07-19 14:50:38,7,8,8
2014-07-19 14:50:39,7,8,8
2014-07-19 14:50:40,7,8,8
2014-07-19 14:50:41,7,8,8
2014-07-19 14:50:42,7,8,8
2014-07-19 14:50:43,7,8,8
2014-07-19 14:50:44,7,8,8
2014-07-19 14:50:45,7,8,8
2014-07-19 14:50:46,7,8,8
2014-07-19 14:50:47,7,3,8
2014-07-19 14:50:48,7,3,8
2014-07-19 14:50:49,7,4,8
2014-07-19 14:50:50,7,2,8
2014-07-19 14:50:51,7,2,8
2014-07-19 14:50:52,7,2,8
2014-07-19 14:50:53,7,2,8
2014-07-19 14:50:54,7,2,8
2014-07-19 14:50:55,7,1,8
2014-07-19 14:50:56,7,1,8
2014-07-19 14:50:57,7,1,8
2014-07-19 14:50:58,7,1,8
2014-07-19 14:50:59,7,1,3
2014-07-19 14:51:00,7,1,3
2014-07-19 14:51:01,7,1,3
2014-07-19 14:51:02,7,1,3
2014-07-19 14:51:03,7,3,3
2014-07-19 14:51:04,7,3,3
2014-07-19 14:51:05,7,3,1
2014-07-19 14:51:06,7,2,3
2014-07-19 14:51:07,4,2,3
