time,charles,christina,jonathan,yvonne
2013-05-04 14:26:51,8,0,2,7
2013-05-04 14:26:52,8,0,2,7
2013-05-04 14:26:53,8,0,2,7
2013-05-04 14:26:54,8,0,2,7
2013-05-04 14:26:55,8,0,2,7
2013-05-04 14:26:56,4,0,2,7
2013-05-04 14:26:57,2,0,2,7
2013-05-04 14:26:58,2,0,2,7
2013-05-04 14:26:59,2,0,2,7
2013-05-04 14:27:00,2,0,4,7
2013-05-04 14:27:01,2,0,4,7
2013-05-04 14:27:02,2,0,4,7
2013-05-04 14:27:03,2,0,4,7
2013-05-04 14:27:04,2,0,4,7
2013-05-04 14:27:05,2,0,4,7
2013-05-04 14:27:06,2,0,2,7
2013-05-04 14:27:07,2,0,2,7
2013-05-04 14:27:08,2,0,2,7
2013-05-04 14:27:09,2,0,2,7
2013-05-04 14:27:10,2,0,2,7
2013-05-04 14:27:11,2,0,2,7
2013-05-04 14:27:12,2,0,2,7
2013-05-04 14:27:13,2,0,2,7
2013-05-04 14:27:14,2,0,2,7
2013-05-04 14:27:15,2,0,2,7
2013-05-04 14:27:16,2,0,2,7
2013-05-04 14:27:17,2,0,2,7
2013-05-04 14:27:18,2,0,2,7
2013-05-04 14:27:19,2,0,2,7
2013-05-04 14:27:20,2,0,0,7
2013-05-04 14:27:21,2,0,0,7
2013-05-04 14:27:22,2,0,0,7
2013-05-04 14:27:23,2,0,0,7
2013-05-04 14:27:24,2,0,0,7
2013-05-04 14:27:25,2,0,2,7
2013-05-04 14:27:26,2,0,2,7
2013-05-04 14:27:27,2,0,2,7
2013-05-04 14:27:28,2,0,2,7
2013-05-04 14:27:29,2,0,2,7
2013-05-04 14:27:30,2,0,2,7
2013-05-04 14:27:31,2,0,2,7
2013-05-04 14:27:32,2,0,2,7
2013-05-04 14:27:33,2,0,2,6
2013-05-04 14:27:34,2,0,2,6
2013-05-04 14:27:35,2,0,2,6
2013-05-04 14:27:36,2,0,2,6
2013-05-04 14:27:37,2,0,2,7
2013-05-04 14:27:38,2,0,2,4
2013-05-04 14:27:39,2,0,2,7
2013-05-04 14:27:40,2,0,2,7
2013-05-04 14:27:41,2,0,2,7
2013-05-04 14:27:42,2,0,2,7
2013-05-04 14:27:43,2,0,2,6
2013-05-04 14:27:44,2,0,0,6
2013-05-04 14:27:45,2,0,0,6
2013-05-04 14:27:46,2,0,0,6
2013-05-04 14:27:47,2,0,0,7
2013-05-04 14:27:48,2,0,0,6
2013-05-04 14:27:49,0,0,0,4
2013-05-04 14:27:50,0,0,2,4
2013-05-04 14:27:51,0,0,2,4
2013-05-04 14:27:52,0,0,2,2
2013-05-04 14:27:53,0,0,2,0
2013-05-04 14:27:54,0,2,2,0
2013-05-04 14:27:55,0,2,2,0
2013-05-04 14:27:56,0,2,0,0
2013-05-04 14:27:57,0,2,0,0
2013-05-04 14:27:58,0,3,0,0
2013-05-04 14:27:59,0,3,0,0
2013-05-04 14:28:00,0,3,2,0
2013-05-04 14:28:01,0,2,2,0
2013-05-04 14:28:02,0,2,2,0
2013-05-04 14:28:03,0,2,2,0
2013-05-04 14:28:04,0,2,2,0
2013-05-04 14:28:05,0,2,2,0
2013-05-04 14:28:06,0,2,0,0
2013-05-04 14:28:07,0,2,0,0
2013-05-04 14:28:08,0,2,2,0
2013-05-04 14:28:09,0,2,2,0
2013-05-04 14:28:10,0,2,2,0
2013-05-04 14:28:11,0,2,2,0
2013-05-04 14:28:12,0,0,2,0
2013-05-04 14:28:13,0,0,2,0
2013-05-04 14:28:14,0,2,0,0
2013-05-04 14:28:15,0,2,0,0
2013-05-04 14:28:16,0,2,0,0
2013-05-04 14:28:17,0,2,0,0
2013-05-04 14:28:18,0,2,0,0
2013-05-04 14:28:19,0,2,0,0
2013-05-04 14:28:20,0,0,0,0
2013-05-04 14:28:21,0,0,0,0
2013-05-04 14:28:22,0,0,0,0
2013-05-04 14:28:23,0,0,2,0
2013-05-04 14:28:24,0,0,2,0
2013-05-04 14:28:25,0,0,2,0
2013-05-04 14:28:26,0,0,2,0
2013-05-04 14:28:27,0,0,2,0
2013-05-04 14:28:28,0,0,2,0
2013-05-04 14:28:29,2,0,2,0
2013-05-04 14:28:30,2,0,2,0
2013-05-04 14:28:31,2,0,2,0
2013-05-04 14:28:32,2,0,2,0
2013-05-04 14:28:33,2,0,2,0
2013-05-04 14:28:34,2,0,2,0
2013-05-04 14:28:35,2,3,2,0
2013-05-04 14:28:36,2,4,0,0
2013-05-04 14:28:37,0,4,0,0
2013-05-04 14:28:38,0,4,0,0
2013-05-04 14:28:39,0,4,0,0
2013-05-04 14:28:40,0,4,0,0
2013-05-04 14:28:41,0,4,0,0
2013-05-04 14:28:42,0,4,0,0
2013-05-04 14:28:43,0,4,0,0
2013-05-04 14:28:44,0,7,0,0
2013-05-04 14:28:45,0,7,0,0
2013-05-04 14:28:46,0,7,0,0
2013-05-04 14:28:47,0,7,0,0
2013-05-04 14:28:48,0,7,2,0
2013-05-04 14:28:49,0,7,2,0
2013-05-04 14:28:50,0,4,2,0
2013-05-04 14:28:51,0,4,2,0
2013-05-04 14:28:52,0,4,2,0
2013-05-04 14:28:53,0,4,0,0
2013-05-04 14:28:54,0,6,0,0
2013-05-04 14:28:55,0,8,0,0
2013-05-04 14:28:56,0,2,2,0
2013-05-04 14:28:57,0,0,2,0
2013-05-04 14:28:58,0,0,2,0
2013-05-04 14:28:59,0,0,2,0
2013-05-04 14:29:00,0,0,2,0
2013-05-04 14:29:01,0,0,2,0
2013-05-04 14:29:02,0,0,2,0
2013-05-04 14:29:03,0,0,0,0
2013-05-04 14:29:04,0,0,0,0
2013-05-04 14:29:05,0,0,0,0
2013-05-04 14:29:06,0,0,2,0
2013-05-04 14:29:07,0,0,2,0
2013-05-04 14:29:08,0,0,2,0
2013-05-04 14:29:09,0,0,2,0
2013-05-04 14:29:10,0,0,2,0
2013-05-04 14:29:11,0,0,2,0
2013-05-04 14:29:12,0,0,2,0
2013-05-04 14:29:13,0,0,0,0
2013-05-04 14:29:14,0,0,2,0
2013-05-04 14:29:15,0,0,2,0
2013-05-04 14:29:16,0,0,2,0
2013-05-04 14:29:17,0,0,2,0
2013-05-04 14:29:18,0,0,2,0
2013-05-04 14:29:19,0,0,2,0
2013-05-04 14:29:20,0,0,2,0
2013-05-04 14:29:21,0,0,2,0
2013-05-04 14:29:22,0,0,2,0
2013-05-04 14:29:23,0,0,2,0
2013-05-04 14:29:24,0,0,2,0
2013-05-04 14:29:25,0,0,2,0
2013-05-04 14:29:26,0,0,0,0
2013-05-04 14:29:27,0,2,2,0
2013-05-04 14:29:28,0,2,2,0
2013-05-04 14:29:29,0,2,2,0
2013-05-04 14:29:30,0,2,2,0
2013-05-04 14:29:31,0,2,2,0
2013-05-04 14:29:32,0,2,2,0
2013-05-04 14:29:33,0,0,2,0
2013-05-04 14:29:34,0,0,0,0
2013-05-04 14:29:35,0,0,0,0
2013-05-04 14:29:36,0,0,0,0
2013-05-04 14:29:37,0,0,0,0
2013-05-04 14:29:38,0,0,0,0
2013-05-04 14:29:39,0,0,0,0
2013-05-04 14:29:40,0,0,0,0
2013-05-04 14:29:41,0,0,0,0
2013-05-04 14:29:42,0,0,0,0
2013-05-04 14:29:43,2,0,0,0
2013-05-04 14:29:44,2,0,0,0
2013-05-04 14:29:45,2,0,0,0
2013-05-04 14:29:46,2,0,0,0
2013-05-04 14:29:47,2,0,0,0
2013-05-04 14:29:48,2,0,0,0
2013-05-04 14:29:49,2,0,0,0
2013-05-04 14:29:50,2,0,0,0
2013-05-04 14:29:51,2,3,0,0
2013-05-04 14:29:52,2,4,0,0
2013-05-04 14:29:53,2,4,0,0
2013-05-04 14:29:54,2,4,0,0
2013-05-04 14:29:55,3,4,0,0
2013-05-04 14:29:56,3,4,0,0
2013-05-04 14:29:57,3,4,0,0
2013-05-04 14:29:58,3,6,0,0
2013-05-04 14:29:59,3,4,0,0
2013-05-04 14:30:00,4,4,0,0
2013-05-04 14:30:01,4,4,0,0
2013-05-04 14:30:02,3,4,0,0
2013-05-04 14:30:03,4,4,0,0
2013-05-04 14:30:04,4,0,0,0
2013-05-04 14:30:05,4,0,0,0
2013-05-04 14:30:06,3,0,0,0
2013-05-04 14:30:07,4,0,0,0
2013-05-04 14:30:08,7,0,0,0
2013-05-04 14:30:09,7,0,0,0
2013-05-04 14:30:10,7,0,0,0
2013-05-04 14:30:11,7,0,0,0
2013-05-04 14:30:12,3,0,0,0
2013-05-04 14:30:13,3,0,0,0
2013-05-04 14:30:14,3,0,0,0
2013-05-04 14:30:15,3,0,0,0
2013-05-04 14:30:16,3,0,0,0
2013-05-04 14:30:17,3,0,0,0
2013-05-04 14:30:18,4,0,0,0
2013-05-04 14:30:19,4,0,0,0
2013-05-04 14:30:20,4,0,0,0
2013-05-04 14:30:21,4,0,0,0
2013-05-04 14:30:22,4,0,0,0
2013-05-04 14:30:23,4,0,0,0
2013-05-04 14:30:24,4,0,0,0
2013-05-04 14:30:25,4,0,0,0
2013-05-04 14:30:26,4,0,0,0
2013-05-04 14:30:27,4,0,0,0
2013-05-04 14:30:28,4,0,0,0
2013-05-04 14:30:29,4,0,0,0
2013-05-04 14:30:30,4,0,0,0
2013-05-04 14:30:31,4,0,0,0
2013-05-04 14:30:32,4,0,0,0
2013-05-04 14:30:33,8,0,0,0
2013-05-04 14:30:34,7,0,0,0
2013-05-04 14:30:35,7,0,0,0
2013-05-04 14:30:36,7,0,0,0
2013-05-04 14:30:37,4,0,0,0
2013-05-04 14:30:38,7,0,0,0
2013-05-04 14:30:39,4,0,0,0
2013-05-04 14:30:40,4,0,0,0
2013-05-04 14:30:41,4,0,2,0
2013-05-04 14:30:42,4,0,2,0
2013-05-04 14:30:43,4,0,2,0
2013-05-04 14:30:44,4,0,2,0
2013-05-04 14:30:45,4,0,2,0
2013-05-04 14:30:46,4,0,0,0
2013-05-04 14:30:47,4,0,2,0
2013-05-04 14:30:48,7,0,2,0
2013-05-04 14:30:49,7,0,2,0
2013-05-04 14:30:50,7,0,2,0
2013-05-04 14:30:51,5,0,2,2
2013-05-04 14:30:52,0,0,2,7
2013-05-04 14:30:53,2,0,0,7
2013-05-04 14:30:54,7,0,2,7
2013-05-04 14:30:55,7,0,2,7
2013-05-04 14:30:56,7,0,2,7
