time,charles
2013-07-01 17:21:05,0
2013-07-01 17:21:06,2
2013-07-01 17:21:07,2
2013-07-01 17:21:08,2
2013-07-01 17:21:09,2
2013-07-01 17:21:10,2
2013-07-01 17:21:11,0
2013-07-01 17:21:12,0
2013-07-01 17:21:13,0
2013-07-01 17:21:14,0
2013-07-01 17:21:15,0
2013-07-01 17:21:16,0
2013-07-01 17:21:17,2
2013-07-01 17:21:18,2
2013-07-01 17:21:19,2
2013-07-01 17:21:20,2
2013-07-01 17:21:21,1
2013-07-01 17:21:22,1
2013-07-01 17:21:23,1
2013-07-01 17:21:24,1
2013-07-01 17:21:25,1
2013-07-01 17:21:26,1
2013-07-01 17:21:27,1
2013-07-01 17:21:28,1
2013-07-01 17:21:29,1
2013-07-01 17:21:30,1
2013-07-01 17:21:31,1
2013-07-01 17:21:32,1
2013-07-01 17:21:33,1
2013-07-01 17:21:34,1
2013-07-01 17:21:35,1
2013-07-01 17:21:36,2
2013-07-01 17:21:37,2
2013-07-01 17:21:38,2
2013-07-01 17:21:39,1
2013-07-01 17:21:40,1
2013-07-01 17:21:41,1
2013-07-01 17:21:42,1
2013-07-01 17:21:43,1
2013-07-01 17:21:44,1
2013-07-01 17:21:45,1
2013-07-01 17:21:46,1
2013-07-01 17:21:47,1
2013-07-01 17:21:48,1
2013-07-01 17:21:49,1
2013-07-01 17:21:50,1
2013-07-01 17:21:51,1
2013-07-01 17:21:52,1
2013-07-01 17:21:53,1
2013-07-01 17:21:54,1
2013-07-01 17:21:55,1
2013-07-01 17:21:56,1
2013-07-01 17:21:57,1
2013-07-01 17:21:58,1
2013-07-01 17:21:59,1
2013-07-01 17:22:00,1
2013-07-01 17:22:01,1
2013-07-01 17:22:02,1
2013-07-01 17:22:03,1
2013-07-01 17:22:04,1
2013-07-01 17:22:05,2
2013-07-01 17:22:06,0
2013-07-01 17:22:07,0
2013-07-01 17:22:08,0
2013-07-01 17:22:09,0
2013-07-01 17:22:10,3
2013-07-01 17:22:11,3
2013-07-01 17:22:12,3
2013-07-01 17:22:13,3
2013-07-01 17:22:14,3
2013-07-01 17:22:15,3
2013-07-01 17:22:16,3
2013-07-01 17:22:17,3
2013-07-01 17:22:18,3
2013-07-01 17:22:19,3
2013-07-01 17:22:20,3
2013-07-01 17:22:21,3
2013-07-01 17:22:22,3
2013-07-01 17:22:23,3
2013-07-01 17:22:24,3
2013-07-01 17:22:25,3
2013-07-01 17:22:26,3
2013-07-01 17:22:27,3
2013-07-01 17:22:28,3
2013-07-01 17:22:29,3
2013-07-01 17:22:30,3
2013-07-01 17:22:31,3
2013-07-01 17:22:32,3
2013-07-01 17:22:33,3
2013-07-01 17:22:34,3
2013-07-01 17:22:35,3
2013-07-01 17:22:36,3
2013-07-01 17:22:37,3
2013-07-01 17:22:38,3
2013-07-01 17:22:39,3
2013-07-01 17:22:40,3
2013-07-01 17:22:41,3
2013-07-01 17:22:42,3
2013-07-01 17:22:43,3
2013-07-01 17:22:44,3
2013-07-01 17:22:45,3
2013-07-01 17:22:46,3
2013-07-01 17:22:47,3
2013-07-01 17:22:48,3
2013-07-01 17:22:49,3
2013-07-01 17:22:50,3
2013-07-01 17:22:51,3
2013-07-01 17:22:52,3
2013-07-01 17:22:53,3
2013-07-01 17:22:54,3
2013-07-01 17:22:55,3
2013-07-01 17:22:56,3
2013-07-01 17:22:57,3
2013-07-01 17:22:58,2
2013-07-01 17:22:59,5
2013-07-01 17:23:00,5
2013-07-01 17:23:01,5
2013-07-01 17:23:02,5
2013-07-01 17:23:03,5
2013-07-01 17:23:04,5
2013-07-01 17:23:05,5
2013-07-01 17:23:06,5
2013-07-01 17:23:07,5
2013-07-01 17:23:08,5
2013-07-01 17:23:09,5
2013-07-01 17:23:10,5
2013-07-01 17:23:11,5
2013-07-01 17:23:12,5
2013-07-01 17:23:13,5
2013-07-01 17:23:14,5
2013-07-01 17:23:15,5
2013-07-01 17:23:16,5
2013-07-01 17:23:17,5
2013-07-01 17:23:18,5
2013-07-01 17:23:19,5
2013-07-01 17:23:20,5
2013-07-01 17:23:21,5
2013-07-01 17:23:22,5
2013-07-01 17:23:23,5
2013-07-01 17:23:24,5
2013-07-01 17:23:25,5
2013-07-01 17:23:26,5
2013-07-01 17:23:27,5
2013-07-01 17:23:28,5
2013-07-01 17:23:29,5
2013-07-01 17:23:30,5
2013-07-01 17:23:31,5
2013-07-01 17:23:32,5
2013-07-01 17:23:33,5
2013-07-01 17:23:34,5
2013-07-01 17:23:35,5
2013-07-01 17:23:36,5
2013-07-01 17:23:37,5
2013-07-01 17:23:38,5
2013-07-01 17:23:39,5
2013-07-01 17:23:40,5
2013-07-01 17:23:41,5
2013-07-01 17:23:42,5
2013-07-01 17:23:43,5
2013-07-01 17:23:44,5
2013-07-01 17:23:45,5
2013-07-01 17:23:46,5
2013-07-01 17:23:47,5
2013-07-01 17:23:48,5
2013-07-01 17:23:49,5
2013-07-01 17:23:50,5
2013-07-01 17:23:51,5
2013-07-01 17:23:52,5
2013-07-01 17:23:53,5
2013-07-01 17:23:54,5
2013-07-01 17:23:55,5
2013-07-01 17:23:56,5
2013-07-01 17:23:57,5
2013-07-01 17:23:58,5
2013-07-01 17:23:59,5
2013-07-01 17:24:00,5
2013-07-01 17:24:01,5
2013-07-01 17:24:02,5
2013-07-01 17:24:03,5
2013-07-01 17:24:04,5
2013-07-01 17:24:05,5
2013-07-01 17:24:06,5
2013-07-01 17:24:07,5
2013-07-01 17:24:08,5
2013-07-01 17:24:09,5
2013-07-01 17:24:10,5
2013-07-01 17:24:11,5
2013-07-01 17:24:12,5
2013-07-01 17:24:13,5
2013-07-01 17:24:14,5
2013-07-01 17:24:15,5
2013-07-01 17:24:16,6
2013-07-01 17:24:17,5
2013-07-01 17:24:18,7
2013-07-01 17:24:19,7
2013-07-01 17:24:20,7
2013-07-01 17:24:21,7
2013-07-01 17:24:22,7
2013-07-01 17:24:23,7
2013-07-01 17:24:24,7
2013-07-01 17:24:25,7
2013-07-01 17:24:26,7
2013-07-01 17:24:27,7
2013-07-01 17:24:28,7
2013-07-01 17:24:29,7
2013-07-01 17:24:30,7
2013-07-01 17:24:31,7
2013-07-01 17:24:32,7
2013-07-01 17:24:33,6
2013-07-01 17:24:34,6
2013-07-01 17:24:35,7
2013-07-01 17:24:36,7
2013-07-01 17:24:37,7
2013-07-01 17:24:38,7
2013-07-01 17:24:39,7
2013-07-01 17:24:40,7
2013-07-01 17:24:41,6
2013-07-01 17:24:42,6
2013-07-01 17:24:43,6
2013-07-01 17:24:44,7
2013-07-01 17:24:45,6
2013-07-01 17:24:46,6
2013-07-01 17:24:47,7
2013-07-01 17:24:48,7
2013-07-01 17:24:49,7
2013-07-01 17:24:50,7
2013-07-01 17:24:51,6
2013-07-01 17:24:52,4
2013-07-01 17:24:53,4
2013-07-01 17:24:54,4
2013-07-01 17:24:55,4
2013-07-01 17:24:56,4
2013-07-01 17:24:57,4
2013-07-01 17:24:58,4
2013-07-01 17:24:59,4
2013-07-01 17:25:00,4
2013-07-01 17:25:01,4
2013-07-01 17:25:02,4
2013-07-01 17:25:03,4
2013-07-01 17:25:04,4
2013-07-01 17:25:05,4
2013-07-01 17:25:06,4
2013-07-01 17:25:07,4
2013-07-01 17:25:08,4
2013-07-01 17:25:09,4
2013-07-01 17:25:10,4
2013-07-01 17:25:11,4
2013-07-01 17:25:12,4
2013-07-01 17:25:13,4
2013-07-01 17:25:14,4
2013-07-01 17:25:15,4
2013-07-01 17:25:16,4
2013-07-01 17:25:17,4
2013-07-01 17:25:18,7
2013-07-01 17:25:19,7
2013-07-01 17:25:20,4
2013-07-01 17:25:21,7
2013-07-01 17:25:22,4
2013-07-01 17:25:23,4
2013-07-01 17:25:24,4
2013-07-01 17:25:25,4
2013-07-01 17:25:26,4
2013-07-01 17:25:27,4
2013-07-01 17:25:28,4
2013-07-01 17:25:29,4
2013-07-01 17:25:30,4
2013-07-01 17:25:31,4
2013-07-01 17:25:32,4
2013-07-01 17:25:33,4
2013-07-01 17:25:34,4
2013-07-01 17:25:35,4
2013-07-01 17:25:36,4
2013-07-01 17:25:37,4
2013-07-01 17:25:38,4
2013-07-01 17:25:39,4
2013-07-01 17:25:40,4
2013-07-01 17:25:41,4
2013-07-01 17:25:42,4
2013-07-01 17:25:43,4
2013-07-01 17:25:44,4
2013-07-01 17:25:45,4
2013-07-01 17:25:46,2
2013-07-01 17:25:47,5
2013-07-01 17:25:48,5
2013-07-01 17:25:49,7
2013-07-01 17:25:50,7
2013-07-01 17:25:51,7
2013-07-01 17:25:52,7
2013-07-01 17:25:53,7
2013-07-01 17:25:54,7
2013-07-01 17:25:55,7
2013-07-01 17:25:56,7
2013-07-01 17:25:57,7
2013-07-01 17:25:58,7
2013-07-01 17:25:59,7
2013-07-01 17:26:00,7
2013-07-01 17:26:01,7
2013-07-01 17:26:02,7
