time,christina,jonathan,charles
2013-04-20 14:58:52,0,0,0
2013-04-20 14:58:53,2,0,0
2013-04-20 14:58:54,2,0,0
2013-04-20 14:58:55,2,0,0
2013-04-20 14:58:56,2,0,0
2013-04-20 14:58:57,2,0,0
2013-04-20 14:58:58,0,0,0
2013-04-20 14:58:59,0,0,0
2013-04-20 14:59:00,0,2,0
2013-04-20 14:59:01,0,2,0
2013-04-20 14:59:02,0,2,0
2013-04-20 14:59:03,0,2,0
2013-04-20 14:59:04,0,2,0
2013-04-20 14:59:05,0,0,0
2013-04-20 14:59:06,0,0,0
2013-04-20 14:59:07,0,0,0
2013-04-20 14:59:08,0,0,7
2013-04-20 14:59:09,0,0,7
2013-04-20 14:59:10,0,0,7
2013-04-20 14:59:11,0,0,7
2013-04-20 14:59:12,0,0,7
2013-04-20 14:59:13,0,0,7
2013-04-20 14:59:14,0,0,2
2013-04-20 14:59:15,6,0,5
2013-04-20 14:59:16,7,0,5
2013-04-20 14:59:17,7,0,5
2013-04-20 14:59:18,7,0,7
2013-04-20 14:59:19,7,2,7
2013-04-20 14:59:20,7,2,7
2013-04-20 14:59:21,7,2,7
2013-04-20 14:59:22,7,2,7
2013-04-20 14:59:23,7,2,7
2013-04-20 14:59:24,7,2,7
2013-04-20 14:59:25,7,5,7
2013-04-20 14:59:26,7,5,7
2013-04-20 14:59:27,7,5,7
2013-04-20 14:59:28,7,5,7
2013-04-20 14:59:29,7,5,7
2013-04-20 14:59:30,7,5,7
2013-04-20 14:59:31,7,5,7
2013-04-20 14:59:32,7,5,7
2013-04-20 14:59:33,7,1,7
2013-04-20 14:59:34,7,1,7
2013-04-20 14:59:35,7,2,7
2013-04-20 14:59:36,7,2,7
2013-04-20 14:59:37,4,2,7
2013-04-20 14:59:38,4,2,7
2013-04-20 14:59:39,4,2,7
2013-04-20 14:59:40,4,2,4
2013-04-20 14:59:41,4,2,4
2013-04-20 14:59:42,7,2,8
2013-04-20 14:59:43,6,2,8
2013-04-20 14:59:44,6,2,8
2013-04-20 14:59:45,6,2,7
2013-04-20 14:59:46,7,2,7
2013-04-20 14:59:47,7,2,7
2013-04-20 14:59:48,7,5,7
2013-04-20 14:59:49,4,7,7
2013-04-20 14:59:50,4,7,7
2013-04-20 14:59:51,8,7,7
2013-04-20 14:59:52,8,7,7
2013-04-20 14:59:53,8,8,7
2013-04-20 14:59:54,8,2,7
2013-04-20 14:59:55,8,2,7
2013-04-20 14:59:56,8,2,7
2013-04-20 14:59:57,7,2,7
2013-04-20 14:59:58,8,2,7
2013-04-20 14:59:59,7,2,7
2013-04-20 15:00:00,8,2,7
2013-04-20 15:00:01,8,2,7
2013-04-20 15:00:02,4,2,7
2013-04-20 15:00:03,4,2,7
2013-04-20 15:00:04,8,2,7
2013-04-20 15:00:05,4,2,7
2013-04-20 15:00:06,6,2,7
2013-04-20 15:00:07,6,2,8
2013-04-20 15:00:08,7,2,8
2013-04-20 15:00:09,7,2,8
2013-04-20 15:00:10,7,2,8
2013-04-20 15:00:11,7,2,7
2013-04-20 15:00:12,7,2,8
2013-04-20 15:00:13,7,2,8
2013-04-20 15:00:14,7,2,7
2013-04-20 15:00:15,7,2,7
2013-04-20 15:00:16,7,2,7
2013-04-20 15:00:17,7,2,7
2013-04-20 15:00:18,7,2,7
2013-04-20 15:00:19,7,2,7
2013-04-20 15:00:20,7,2,7
2013-04-20 15:00:21,7,2,7
2013-04-20 15:00:22,7,2,7
2013-04-20 15:00:23,7,8,7
2013-04-20 15:00:24,6,4,7
2013-04-20 15:00:25,6,4,7
2013-04-20 15:00:26,6,4,7
2013-04-20 15:00:27,7,4,7
2013-04-20 15:00:28,7,4,7
2013-04-20 15:00:29,8,2,7
2013-04-20 15:00:30,3,2,7
2013-04-20 15:00:31,3,2,8
2013-04-20 15:00:32,3,2,8
2013-04-20 15:00:33,3,8,8
2013-04-20 15:00:34,3,8,7
2013-04-20 15:00:35,2,8,8
2013-04-20 15:00:36,2,8,8
2013-04-20 15:00:37,2,8,8
2013-04-20 15:00:38,2,2,8
2013-04-20 15:00:39,0,2,8
2013-04-20 15:00:40,2,2,8
2013-04-20 15:00:41,2,2,8
2013-04-20 15:00:42,2,2,8
2013-04-20 15:00:43,2,2,7
2013-04-20 15:00:44,2,2,8
2013-04-20 15:00:45,2,2,8
2013-04-20 15:00:46,2,2,7
2013-04-20 15:00:47,2,2,8
2013-04-20 15:00:48,2,2,8
2013-04-20 15:00:49,5,2,7
2013-04-20 15:00:50,5,2,7
2013-04-20 15:00:51,7,2,7
2013-04-20 15:00:52,7,2,7
2013-04-20 15:00:53,7,2,7
2013-04-20 15:00:54,8,2,8
2013-04-20 15:00:55,8,2,8
2013-04-20 15:00:56,8,2,8
2013-04-20 15:00:57,1,3,8
2013-04-20 15:00:58,2,1,8
2013-04-20 15:00:59,2,2,8
2013-04-20 15:01:00,2,2,8
2013-04-20 15:01:01,2,2,8
2013-04-20 15:01:02,2,2,8
2013-04-20 15:01:03,2,2,8
2013-04-20 15:01:04,2,2,8
2013-04-20 15:01:05,2,2,8
2013-04-20 15:01:06,2,2,8
2013-04-20 15:01:07,2,2,7
2013-04-20 15:01:08,2,2,8
2013-04-20 15:01:09,4,2,8
2013-04-20 15:01:10,4,2,8
2013-04-20 15:01:11,4,2,8
2013-04-20 15:01:12,4,2,8
2013-04-20 15:01:13,4,2,7
2013-04-20 15:01:14,2,2,7
2013-04-20 15:01:15,2,2,7
2013-04-20 15:01:16,2,2,8
2013-04-20 15:01:17,2,2,8
2013-04-20 15:01:18,2,2,8
2013-04-20 15:01:19,2,2,7
2013-04-20 15:01:20,2,2,8
2013-04-20 15:01:21,2,2,8
2013-04-20 15:01:22,2,2,8
2013-04-20 15:01:23,2,2,8
2013-04-20 15:01:24,2,2,8
2013-04-20 15:01:25,1,2,8
2013-04-20 15:01:26,1,2,5
2013-04-20 15:01:27,1,5,5
2013-04-20 15:01:28,1,5,7
2013-04-20 15:01:29,2,5,5
2013-04-20 15:01:30,2,5,5
2013-04-20 15:01:31,2,5,5
2013-04-20 15:01:32,2,2,0
2013-04-20 15:01:33,1,2,2
2013-04-20 15:01:34,1,2,2
2013-04-20 15:01:35,1,2,2
2013-04-20 15:01:36,1,2,2
2013-04-20 15:01:37,1,2,1
2013-04-20 15:01:38,1,2,1
2013-04-20 15:01:39,1,2,1
2013-04-20 15:01:40,1,2,1
2013-04-20 15:01:41,1,2,1
2013-04-20 15:01:42,1,2,1
2013-04-20 15:01:43,1,2,2
2013-04-20 15:01:44,1,2,2
2013-04-20 15:01:45,1,2,1
2013-04-20 15:01:46,1,2,3
2013-04-20 15:01:47,1,2,3
2013-04-20 15:01:48,1,0,3
2013-04-20 15:01:49,1,0,3
2013-04-20 15:01:50,1,0,2
2013-04-20 15:01:51,1,0,2
2013-04-20 15:01:52,1,0,2
2013-04-20 15:01:53,1,0,2
2013-04-20 15:01:54,1,0,2
2013-04-20 15:01:55,1,0,1
2013-04-20 15:01:56,1,0,1
2013-04-20 15:01:57,1,0,1
2013-04-20 15:01:58,1,0,1
2013-04-20 15:01:59,1,0,1
