time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:49:02,1,2,8,4
2015-05-01 18:49:03,1,1,8,4
2015-05-01 18:49:04,1,0,8,4
2015-05-01 18:49:05,1,2,8,4
2015-05-01 18:49:06,1,2,8,4
2015-05-01 18:49:07,1,2,3,4
2015-05-01 18:49:08,1,2,7,4
2015-05-01 18:49:09,1,2,4,4
2015-05-01 18:49:10,1,2,4,4
2015-05-01 18:49:11,1,2,3,4
2015-05-01 18:49:12,1,2,3,4
2015-05-01 18:49:13,1,2,3,4
2015-05-01 18:49:14,1,2,1,4
2015-05-01 18:49:15,1,2,3,7
2015-05-01 18:49:16,1,2,1,4
2015-05-01 18:49:17,1,8,3,4
2015-05-01 18:49:18,1,8,3,4
2015-05-01 18:49:19,1,4,3,4
2015-05-01 18:49:20,1,7,8,4
2015-05-01 18:49:21,1,7,8,2
2015-05-01 18:49:22,1,4,8,2
2015-05-01 18:49:23,1,4,8,4
2015-05-01 18:49:24,1,4,8,4
2015-05-01 18:49:25,1,4,1,4
2015-05-01 18:49:26,8,4,1,4
2015-05-01 18:49:27,8,4,3,4
2015-05-01 18:49:28,8,4,3,4
2015-05-01 18:49:29,8,4,3,4
2015-05-01 18:49:30,8,4,3,4
2015-05-01 18:49:31,8,4,3,4
2015-05-01 18:49:32,8,4,3,4
2015-05-01 18:49:33,8,4,3,4
2015-05-01 18:49:34,8,4,3,4
2015-05-01 18:49:35,6,7,3,4
2015-05-01 18:49:36,6,4,3,4
2015-05-01 18:49:37,4,4,3,7
2015-05-01 18:49:38,4,4,3,7
2015-05-01 18:49:39,4,0,3,7
2015-05-01 18:49:40,4,0,3,7
2015-05-01 18:49:41,4,2,3,7
2015-05-01 18:49:42,4,2,3,7
2015-05-01 18:49:43,7,5,3,7
2015-05-01 18:49:44,6,5,3,7
2015-05-01 18:49:45,6,5,3,7
2015-05-01 18:49:46,6,7,3,7
2015-05-01 18:49:47,6,5,3,7
2015-05-01 18:49:48,6,5,8,7
2015-05-01 18:49:49,6,7,8,7
2015-05-01 18:49:50,6,7,8,7
2015-05-01 18:49:51,6,8,8,7
2015-05-01 18:49:52,6,8,8,7
2015-05-01 18:49:53,6,8,8,7
2015-05-01 18:49:54,6,8,1,7
2015-05-01 18:49:55,6,4,3,7
2015-05-01 18:49:56,6,8,3,7
2015-05-01 18:49:57,6,8,3,7
2015-05-01 18:49:58,4,7,3,7
2015-05-01 18:49:59,6,4,8,7
2015-05-01 18:50:00,6,4,8,7
2015-05-01 18:50:01,6,4,8,7
2015-05-01 18:50:02,6,4,8,7
2015-05-01 18:50:03,6,8,8,8
2015-05-01 18:50:04,7,6,8,8
2015-05-01 18:50:05,7,7,8,7
2015-05-01 18:50:06,7,6,8,8
2015-05-01 18:50:07,6,2,8,7
2015-05-01 18:50:08,6,2,8,7
2015-05-01 18:50:09,7,2,8,7
2015-05-01 18:50:10,4,2,8,7
2015-05-01 18:50:11,4,2,8,7
2015-05-01 18:50:12,4,2,8,7
2015-05-01 18:50:13,2,2,8,7
2015-05-01 18:50:14,2,2,7,7
2015-05-01 18:50:15,2,2,7,7
