time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 14:56:03,0,0
2015-06-22 14:56:04,2,1
2015-06-22 14:56:05,2,1
2015-06-22 14:56:06,2,2
2015-06-22 14:56:07,2,2
2015-06-22 14:56:08,8,2
2015-06-22 14:56:09,3,2
2015-06-22 14:56:10,8,2
2015-06-22 14:56:11,8,2
2015-06-22 14:56:12,8,8
2015-06-22 14:56:13,4,8
2015-06-22 14:56:14,4,8
2015-06-22 14:56:15,4,8
2015-06-22 14:56:16,4,4
2015-06-22 14:56:17,4,4
2015-06-22 14:56:18,2,4
2015-06-22 14:56:19,2,4
2015-06-22 14:56:20,2,4
2015-06-22 14:56:21,2,4
2015-06-22 14:56:22,2,7
2015-06-22 14:56:23,2,6
2015-06-22 14:56:24,3,7
2015-06-22 14:56:25,3,8
2015-06-22 14:56:26,4,8
2015-06-22 14:56:27,4,8
2015-06-22 14:56:28,4,3
2015-06-22 14:56:29,2,3
2015-06-22 14:56:30,2,1
2015-06-22 14:56:31,0,1
2015-06-22 14:56:32,0,8
2015-06-22 14:56:33,2,8
2015-06-22 14:56:34,4,3
2015-06-22 14:56:35,4,8
2015-06-22 14:56:36,4,3
2015-06-22 14:56:37,4,1
2015-06-22 14:56:38,4,2
2015-06-22 14:56:39,4,2
2015-06-22 14:56:40,4,2
2015-06-22 14:56:41,4,2
2015-06-22 14:56:42,7,2
2015-06-22 14:56:43,7,2
2015-06-22 14:56:44,7,2
2015-06-22 14:56:45,8,3
2015-06-22 14:56:46,8,3
2015-06-22 14:56:47,3,8
2015-06-22 14:56:48,3,7
2015-06-22 14:56:49,2,7
2015-06-22 14:56:50,2,7
2015-06-22 14:56:51,3,7
2015-06-22 14:56:52,3,7
2015-06-22 14:56:53,4,7
2015-06-22 14:56:54,4,8
2015-06-22 14:56:55,4,8
2015-06-22 14:56:56,3,8
2015-06-22 14:56:57,4,3
2015-06-22 14:56:58,2,3
2015-06-22 14:56:59,2,1
2015-06-22 14:57:00,2,1
2015-06-22 14:57:01,2,1
2015-06-22 14:57:02,4,1
2015-06-22 14:57:03,8,2
2015-06-22 14:57:04,8,2
2015-06-22 14:57:05,8,2
2015-06-22 14:57:06,8,2
2015-06-22 14:57:07,4,2
2015-06-22 14:57:08,8,2
2015-06-22 14:57:09,3,1
2015-06-22 14:57:10,1,1
2015-06-22 14:57:11,2,1
2015-06-22 14:57:12,2,1
2015-06-22 14:57:13,2,1
2015-06-22 14:57:14,2,1
2015-06-22 14:57:15,2,1
2015-06-22 14:57:16,2,1
2015-06-22 14:57:17,2,1
2015-06-22 14:57:18,2,1
2015-06-22 14:57:19,0,1
2015-06-22 14:57:20,0,3
2015-06-22 14:57:21,2,1
2015-06-22 14:57:22,2,1
2015-06-22 14:57:23,2,1
2015-06-22 14:57:24,2,1
2015-06-22 14:57:25,2,1
2015-06-22 14:57:26,2,1
2015-06-22 14:57:27,2,3
2015-06-22 14:57:28,3,3
2015-06-22 14:57:29,3,3
2015-06-22 14:57:30,8,3
2015-06-22 14:57:31,8,7
2015-06-22 14:57:32,8,8
2015-06-22 14:57:33,8,8
2015-06-22 14:57:34,8,8
2015-06-22 14:57:35,7,8
2015-06-22 14:57:36,8,7
2015-06-22 14:57:37,4,4
2015-06-22 14:57:38,4,7
2015-06-22 14:57:39,2,7
2015-06-22 14:57:40,2,8
2015-06-22 14:57:41,2,8
2015-06-22 14:57:42,2,8
2015-06-22 14:57:43,2,3
2015-06-22 14:57:44,2,3
