time,jonathan,christina,charles
2014-08-23 17:50:48,0,0,0
2014-08-23 17:50:49,2,0,0
2014-08-23 17:50:50,5,0,0
2014-08-23 17:50:51,7,0,0
2014-08-23 17:50:52,5,0,0
2014-08-23 17:50:53,7,0,0
2014-08-23 17:50:54,7,0,0
2014-08-23 17:50:55,7,0,0
2014-08-23 17:50:56,7,0,0
2014-08-23 17:50:57,4,0,0
2014-08-23 17:50:58,4,0,0
2014-08-23 17:50:59,0,0,0
2014-08-23 17:51:00,0,0,0
2014-08-23 17:51:01,2,0,0
2014-08-23 17:51:02,2,2,0
2014-08-23 17:51:03,2,2,0
2014-08-23 17:51:04,2,2,0
2014-08-23 17:51:05,2,2,0
2014-08-23 17:51:06,0,2,0
2014-08-23 17:51:07,0,0,0
2014-08-23 17:51:08,0,0,0
2014-08-23 17:51:09,0,0,0
2014-08-23 17:51:10,2,0,0
2014-08-23 17:51:11,2,0,2
2014-08-23 17:51:12,2,0,2
2014-08-23 17:51:13,2,2,2
2014-08-23 17:51:14,3,2,2
2014-08-23 17:51:15,3,2,2
2014-08-23 17:51:16,3,2,2
2014-08-23 17:51:17,3,2,0
2014-08-23 17:51:18,3,0,0
2014-08-23 17:51:19,2,0,0
2014-08-23 17:51:20,0,0,0
2014-08-23 17:51:21,0,0,0
2014-08-23 17:51:22,0,0,0
2014-08-23 17:51:23,0,0,0
2014-08-23 17:51:24,0,0,0
2014-08-23 17:51:25,0,0,0
2014-08-23 17:51:26,0,0,0
2014-08-23 17:51:27,0,0,0
2014-08-23 17:51:28,0,0,0
2014-08-23 17:51:29,0,0,0
2014-08-23 17:51:30,0,0,0
2014-08-23 17:51:31,0,0,0
2014-08-23 17:51:32,0,0,0
2014-08-23 17:51:33,0,0,0
2014-08-23 17:51:34,0,0,0
2014-08-23 17:51:35,0,0,0
2014-08-23 17:51:36,0,0,0
2014-08-23 17:51:37,0,0,0
2014-08-23 17:51:38,0,0,0
2014-08-23 17:51:39,0,0,0
2014-08-23 17:51:40,0,0,0
2014-08-23 17:51:41,0,0,0
2014-08-23 17:51:42,2,4,0
2014-08-23 17:51:43,7,4,0
2014-08-23 17:51:44,7,4,0
2014-08-23 17:51:45,7,4,0
2014-08-23 17:51:46,7,4,0
2014-08-23 17:51:47,7,4,0
2014-08-23 17:51:48,2,0,0
2014-08-23 17:51:49,0,0,0
2014-08-23 17:51:50,2,2,0
2014-08-23 17:51:51,7,4,5
2014-08-23 17:51:52,7,4,6
2014-08-23 17:51:53,7,7,7
2014-08-23 17:51:54,7,6,7
2014-08-23 17:51:55,8,6,7
2014-08-23 17:51:56,8,6,7
2014-08-23 17:51:57,8,7,7
2014-08-23 17:51:58,8,6,7
2014-08-23 17:51:59,8,6,7
2014-08-23 17:52:00,6,7,7
2014-08-23 17:52:01,6,6,7
2014-08-23 17:52:02,7,6,7
2014-08-23 17:52:03,7,6,7
2014-08-23 17:52:04,7,6,7
2014-08-23 17:52:05,7,6,7
2014-08-23 17:52:06,7,6,7
2014-08-23 17:52:07,7,6,7
2014-08-23 17:52:08,7,7,7
2014-08-23 17:52:09,7,7,7
2014-08-23 17:52:10,7,6,7
2014-08-23 17:52:11,7,6,7
2014-08-23 17:52:12,7,6,7
2014-08-23 17:52:13,7,6,7
2014-08-23 17:52:14,7,6,7
2014-08-23 17:52:15,7,6,7
2014-08-23 17:52:16,7,7,7
2014-08-23 17:52:17,7,7,7
2014-08-23 17:52:18,7,6,7
2014-08-23 17:52:19,7,6,7
2014-08-23 17:52:20,7,6,7
2014-08-23 17:52:21,7,7,7
2014-08-23 17:52:22,7,7,7
2014-08-23 17:52:23,7,7,7
2014-08-23 17:52:24,7,7,7
2014-08-23 17:52:25,7,7,7
2014-08-23 17:52:26,8,7,7
2014-08-23 17:52:27,8,8,7
2014-08-23 17:52:28,8,8,7
2014-08-23 17:52:29,8,2,7
2014-08-23 17:52:30,8,2,7
2014-08-23 17:52:31,7,2,7
