time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-04-29 18:11:55,0,0,0,0
2015-04-29 18:11:56,8,0,0,0
2015-04-29 18:11:57,8,0,0,0
2015-04-29 18:11:58,7,2,2,0
2015-04-29 18:11:59,8,2,2,0
2015-04-29 18:12:00,8,2,2,0
2015-04-29 18:12:01,4,2,2,8
2015-04-29 18:12:02,4,2,2,7
2015-04-29 18:12:03,7,4,8,7
2015-04-29 18:12:04,7,8,4,7
2015-04-29 18:12:05,7,8,4,7
2015-04-29 18:12:06,7,7,4,7
2015-04-29 18:12:07,7,7,6,7
2015-04-29 18:12:08,7,7,6,7
2015-04-29 18:12:09,4,4,6,7
2015-04-29 18:12:10,4,4,6,7
2015-04-29 18:12:11,4,8,6,4
2015-04-29 18:12:12,3,3,6,3
2015-04-29 18:12:13,3,2,6,4
2015-04-29 18:12:14,3,3,4,7
2015-04-29 18:12:15,3,4,4,8
2015-04-29 18:12:16,3,4,4,8
2015-04-29 18:12:17,3,3,2,3
2015-04-29 18:12:18,3,4,2,3
2015-04-29 18:12:19,3,3,2,1
2015-04-29 18:12:20,3,3,2,1
2015-04-29 18:12:21,3,1,2,1
2015-04-29 18:12:22,3,1,2,1
2015-04-29 18:12:23,1,1,2,1
2015-04-29 18:12:24,1,1,2,1
2015-04-29 18:12:25,1,2,2,1
2015-04-29 18:12:26,3,2,2,1
2015-04-29 18:12:27,3,2,2,1
2015-04-29 18:12:28,3,3,2,1
2015-04-29 18:12:29,3,3,2,1
2015-04-29 18:12:30,8,2,8,1
2015-04-29 18:12:31,4,2,8,1
2015-04-29 18:12:32,2,2,8,1
2015-04-29 18:12:33,2,2,8,1
2015-04-29 18:12:34,2,2,8,1
2015-04-29 18:12:35,3,2,8,1
2015-04-29 18:12:36,3,2,4,1
2015-04-29 18:12:37,3,2,7,1
2015-04-29 18:12:38,3,2,7,1
2015-04-29 18:12:39,3,3,7,1
2015-04-29 18:12:40,3,3,7,1
2015-04-29 18:12:41,1,3,7,1
2015-04-29 18:12:42,1,3,4,1
2015-04-29 18:12:43,1,3,4,1
2015-04-29 18:12:44,1,3,4,1
2015-04-29 18:12:45,3,1,4,1
2015-04-29 18:12:46,3,3,4,1
2015-04-29 18:12:47,3,2,4,1
2015-04-29 18:12:48,3,2,4,1
2015-04-29 18:12:49,3,2,7,1
2015-04-29 18:12:50,3,2,8,1
2015-04-29 18:12:51,3,1,8,1
2015-04-29 18:12:52,3,1,8,1
2015-04-29 18:12:53,3,1,8,1
2015-04-29 18:12:54,3,3,8,2
2015-04-29 18:12:55,3,3,7,2
