time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 14:03:48,0,0
2015-06-03 14:03:49,2,0
2015-06-03 14:03:50,2,6
2015-06-03 14:03:51,1,2
2015-06-03 14:03:52,1,2
2015-06-03 14:03:53,1,2
2015-06-03 14:03:54,1,2
2015-06-03 14:03:55,1,2
2015-06-03 14:03:56,3,2
2015-06-03 14:03:57,3,1
2015-06-03 14:03:58,3,1
2015-06-03 14:03:59,8,1
2015-06-03 14:04:00,7,1
2015-06-03 14:04:01,7,1
2015-06-03 14:04:02,7,3
2015-06-03 14:04:03,7,3
2015-06-03 14:04:04,7,4
2015-06-03 14:04:05,7,4
2015-06-03 14:04:06,4,4
2015-06-03 14:04:07,7,4
2015-06-03 14:04:08,4,5
2015-06-03 14:04:09,2,5
2015-06-03 14:04:10,0,5
2015-06-03 14:04:11,0,5
2015-06-03 14:04:12,0,5
2015-06-03 14:04:13,0,2
2015-06-03 14:04:14,0,2
2015-06-03 14:04:15,0,2
2015-06-03 14:04:16,0,2
2015-06-03 14:04:17,0,5
2015-06-03 14:04:18,0,5
2015-06-03 14:04:19,0,5
2015-06-03 14:04:20,0,5
2015-06-03 14:04:21,0,5
2015-06-03 14:04:22,0,8
2015-06-03 14:04:23,0,5
2015-06-03 14:04:24,0,5
2015-06-03 14:04:25,0,5
2015-06-03 14:04:26,0,5
2015-06-03 14:04:27,0,3
2015-06-03 14:04:28,0,3
2015-06-03 14:04:29,0,3
2015-06-03 14:04:30,0,3
2015-06-03 14:04:31,0,1
2015-06-03 14:04:32,0,1
2015-06-03 14:04:33,0,1
2015-06-03 14:04:34,0,3
2015-06-03 14:04:35,0,3
2015-06-03 14:04:36,0,3
2015-06-03 14:04:37,0,2
2015-06-03 14:04:38,0,2
2015-06-03 14:04:39,0,2
2015-06-03 14:04:40,0,3
2015-06-03 14:04:41,0,3
2015-06-03 14:04:42,0,3
2015-06-03 14:04:43,0,3
2015-06-03 14:04:44,0,3
2015-06-03 14:04:45,0,3
2015-06-03 14:04:46,0,1
2015-06-03 14:04:47,0,1
2015-06-03 14:04:48,0,3
2015-06-03 14:04:49,0,3
2015-06-03 14:04:50,0,3
2015-06-03 14:04:51,0,3
2015-06-03 14:04:52,0,3
2015-06-03 14:04:53,0,3
2015-06-03 14:04:54,0,3
2015-06-03 14:04:55,0,4
2015-06-03 14:04:56,2,4
2015-06-03 14:04:57,8,4
2015-06-03 14:04:58,3,3
2015-06-03 14:04:59,3,3
2015-06-03 14:05:00,3,3
2015-06-03 14:05:01,3,3
2015-06-03 14:05:02,3,3
2015-06-03 14:05:03,7,3
2015-06-03 14:05:04,7,4
2015-06-03 14:05:05,7,6
2015-06-03 14:05:06,7,6
2015-06-03 14:05:07,7,6
