time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:31:41,2,0
2014-03-13 15:31:42,2,0
2014-03-13 15:31:43,2,0
2014-03-13 15:31:44,2,0
2014-03-13 15:31:45,2,0
2014-03-13 15:31:46,2,0
2014-03-13 15:31:47,2,0
2014-03-13 15:31:48,2,0
2014-03-13 15:31:49,2,0
2014-03-13 15:31:50,2,0
2014-03-13 15:31:51,2,0
2014-03-13 15:31:52,2,0
2014-03-13 15:31:53,2,0
2014-03-13 15:31:54,2,0
2014-03-13 15:31:55,2,0
2014-03-13 15:31:56,2,0
2014-03-13 15:31:57,2,0
2014-03-13 15:31:58,2,0
2014-03-13 15:31:59,2,0
2014-03-13 15:32:00,2,0
2014-03-13 15:32:01,2,0
2014-03-13 15:32:02,0,0
2014-03-13 15:32:03,2,0
2014-03-13 15:32:04,2,0
2014-03-13 15:32:05,2,0
2014-03-13 15:32:06,2,0
2014-03-13 15:32:07,2,0
2014-03-13 15:32:08,2,0
2014-03-13 15:32:09,2,0
2014-03-13 15:32:10,2,0
2014-03-13 15:32:11,2,0
2014-03-13 15:32:12,2,0
2014-03-13 15:32:13,2,0
2014-03-13 15:32:14,2,0
2014-03-13 15:32:15,2,0
2014-03-13 15:32:16,2,0
2014-03-13 15:32:17,3,0
2014-03-13 15:32:18,4,0
2014-03-13 15:32:19,7,0
2014-03-13 15:32:20,7,0
2014-03-13 15:32:21,7,0
2014-03-13 15:32:22,7,0
2014-03-13 15:32:23,7,0
2014-03-13 15:32:24,7,0
2014-03-13 15:32:25,7,0
2014-03-13 15:32:26,7,0
2014-03-13 15:32:27,7,0
2014-03-13 15:32:28,7,0
2014-03-13 15:32:29,7,0
2014-03-13 15:32:30,7,0
2014-03-13 15:32:31,7,2
2014-03-13 15:32:32,7,8
2014-03-13 15:32:33,7,8
2014-03-13 15:32:34,7,8
2014-03-13 15:32:35,7,8
2014-03-13 15:32:36,7,8
2014-03-13 15:32:37,7,0
2014-03-13 15:32:38,7,0
2014-03-13 15:32:39,7,0
2014-03-13 15:32:40,7,0
2014-03-13 15:32:41,7,0
2014-03-13 15:32:42,7,0
2014-03-13 15:32:43,7,0
2014-03-13 15:32:44,7,0
2014-03-13 15:32:45,7,0
2014-03-13 15:32:46,7,0
2014-03-13 15:32:47,7,0
2014-03-13 15:32:48,7,0
2014-03-13 15:32:49,7,0
2014-03-13 15:32:50,7,0
2014-03-13 15:32:51,7,0
2014-03-13 15:32:52,7,0
2014-03-13 15:32:53,7,0
2014-03-13 15:32:54,7,0
2014-03-13 15:32:55,7,0
2014-03-13 15:32:56,7,0
2014-03-13 15:32:57,7,0
2014-03-13 15:32:58,7,0
2014-03-13 15:32:59,7,0
2014-03-13 15:33:00,7,0
2014-03-13 15:33:01,7,0
2014-03-13 15:33:02,7,0
2014-03-13 15:33:03,7,0
2014-03-13 15:33:04,7,0
2014-03-13 15:33:05,7,0
