time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-22 15:05:29,0,0
2015-06-22 15:05:30,2,0
2015-06-22 15:05:31,2,0
2015-06-22 15:05:32,2,0
2015-06-22 15:05:33,2,2
2015-06-22 15:05:34,8,7
2015-06-22 15:05:35,8,5
2015-06-22 15:05:36,3,5
2015-06-22 15:05:37,4,8
2015-06-22 15:05:38,8,7
2015-06-22 15:05:39,3,7
2015-06-22 15:05:40,3,8
2015-06-22 15:05:41,4,8
2015-06-22 15:05:42,4,8
2015-06-22 15:05:43,3,7
2015-06-22 15:05:44,2,8
2015-06-22 15:05:45,2,7
2015-06-22 15:05:46,2,8
2015-06-22 15:05:47,3,8
2015-06-22 15:05:48,3,8
2015-06-22 15:05:49,3,8
2015-06-22 15:05:50,3,8
2015-06-22 15:05:51,3,8
2015-06-22 15:05:52,2,8
2015-06-22 15:05:53,2,8
2015-06-22 15:05:54,2,5
2015-06-22 15:05:55,2,5
2015-06-22 15:05:56,2,5
2015-06-22 15:05:57,2,6
2015-06-22 15:05:58,2,8
2015-06-22 15:05:59,2,8
2015-06-22 15:06:00,2,7
2015-06-22 15:06:01,2,7
2015-06-22 15:06:02,2,8
2015-06-22 15:06:03,2,7
2015-06-22 15:06:04,2,6
2015-06-22 15:06:05,2,8
2015-06-22 15:06:06,2,8
2015-06-22 15:06:07,2,5
2015-06-22 15:06:08,2,5
2015-06-22 15:06:09,2,5
2015-06-22 15:06:10,2,2
2015-06-22 15:06:11,2,2
2015-06-22 15:06:12,3,2
2015-06-22 15:06:13,3,2
2015-06-22 15:06:14,8,2
2015-06-22 15:06:15,7,2
2015-06-22 15:06:16,7,2
2015-06-22 15:06:17,3,2
2015-06-22 15:06:18,6,2
2015-06-22 15:06:19,4,2
2015-06-22 15:06:20,4,2
2015-06-22 15:06:21,4,2
2015-06-22 15:06:22,4,2
2015-06-22 15:06:23,4,8
2015-06-22 15:06:24,2,8
2015-06-22 15:06:25,2,4
2015-06-22 15:06:26,2,7
2015-06-22 15:06:27,2,7
2015-06-22 15:06:28,2,7
2015-06-22 15:06:29,2,7
2015-06-22 15:06:30,2,7
2015-06-22 15:06:31,2,6
2015-06-22 15:06:32,2,6
2015-06-22 15:06:33,2,6
2015-06-22 15:06:34,3,6
2015-06-22 15:06:35,2,6
2015-06-22 15:06:36,2,6
2015-06-22 15:06:37,2,8
2015-06-22 15:06:38,2,5
2015-06-22 15:06:39,2,8
2015-06-22 15:06:40,2,5
2015-06-22 15:06:41,2,5
2015-06-22 15:06:42,2,5
2015-06-22 15:06:43,2,8
2015-06-22 15:06:44,2,8
2015-06-22 15:06:45,2,2
2015-06-22 15:06:46,2,2
2015-06-22 15:06:47,2,2
2015-06-22 15:06:48,2,2
2015-06-22 15:06:49,2,2
2015-06-22 15:06:50,2,2
2015-06-22 15:06:51,2,2
2015-06-22 15:06:52,2,2
2015-06-22 15:06:53,2,2
2015-06-22 15:06:54,2,2
2015-06-22 15:06:55,2,2
2015-06-22 15:06:56,2,2
2015-06-22 15:06:57,2,2
2015-06-22 15:06:58,2,2
2015-06-22 15:06:59,3,2
2015-06-22 15:07:00,3,2
2015-06-22 15:07:01,4,2
2015-06-22 15:07:02,3,2
2015-06-22 15:07:03,3,2
2015-06-22 15:07:04,2,2
2015-06-22 15:07:05,0,2
2015-06-22 15:07:06,0,2
2015-06-22 15:07:07,2,2
2015-06-22 15:07:08,2,5
2015-06-22 15:07:09,2,5
2015-06-22 15:07:10,2,5
2015-06-22 15:07:11,2,5
2015-06-22 15:07:12,2,3
2015-06-22 15:07:13,2,2
2015-06-22 15:07:14,2,2
2015-06-22 15:07:15,2,1
2015-06-22 15:07:16,2,1
2015-06-22 15:07:17,2,1
2015-06-22 15:07:18,2,2
2015-06-22 15:07:19,2,2
2015-06-22 15:07:20,2,2
2015-06-22 15:07:21,2,2
2015-06-22 15:07:22,2,2
2015-06-22 15:07:23,2,6
2015-06-22 15:07:24,2,6
2015-06-22 15:07:25,2,5
2015-06-22 15:07:26,2,5
2015-06-22 15:07:27,4,5
2015-06-22 15:07:28,4,5
2015-06-22 15:07:29,4,5
2015-06-22 15:07:30,6,5
2015-06-22 15:07:31,6,5
2015-06-22 15:07:32,7,5
2015-06-22 15:07:33,4,5
2015-06-22 15:07:34,4,5
2015-06-22 15:07:35,0,2
2015-06-22 15:07:36,2,2
2015-06-22 15:07:37,2,2
2015-06-22 15:07:38,2,2
2015-06-22 15:07:39,2,2
2015-06-22 15:07:40,2,2
2015-06-22 15:07:41,2,2
2015-06-22 15:07:42,2,2
2015-06-22 15:07:43,2,2
2015-06-22 15:07:44,2,2
2015-06-22 15:07:45,2,2
2015-06-22 15:07:46,8,2
2015-06-22 15:07:47,8,2
2015-06-22 15:07:48,8,2
2015-06-22 15:07:49,8,2
2015-06-22 15:07:50,8,2
2015-06-22 15:07:51,8,2
2015-06-22 15:07:52,8,2
2015-06-22 15:07:53,8,2
2015-06-22 15:07:54,8,2
2015-06-22 15:07:55,4,2
2015-06-22 15:07:56,4,2
2015-06-22 15:07:57,7,2
2015-06-22 15:07:58,4,2
2015-06-22 15:07:59,4,2
2015-06-22 15:08:00,4,2
2015-06-22 15:08:01,4,2
2015-06-22 15:08:02,3,2
2015-06-22 15:08:03,3,2
2015-06-22 15:08:04,2,2
2015-06-22 15:08:05,2,2
2015-06-22 15:08:06,2,2
2015-06-22 15:08:07,2,2
2015-06-22 15:08:08,2,2
2015-06-22 15:08:09,2,2
2015-06-22 15:08:10,2,2
2015-06-22 15:08:11,2,2
2015-06-22 15:08:12,2,2
2015-06-22 15:08:13,2,2
2015-06-22 15:08:14,2,2
2015-06-22 15:08:15,2,2
2015-06-22 15:08:16,2,2
2015-06-22 15:08:17,2,2
2015-06-22 15:08:18,2,2
2015-06-22 15:08:19,2,2
2015-06-22 15:08:20,2,2
2015-06-22 15:08:21,2,2
2015-06-22 15:08:22,3,2
2015-06-22 15:08:23,6,2
2015-06-22 15:08:24,6,2
2015-06-22 15:08:25,6,2
2015-06-22 15:08:26,6,2
2015-06-22 15:08:27,5,2
2015-06-22 15:08:28,6,2
2015-06-22 15:08:29,5,2
2015-06-22 15:08:30,7,2
2015-06-22 15:08:31,7,2
2015-06-22 15:08:32,7,4
2015-06-22 15:08:33,7,4
2015-06-22 15:08:34,7,4
2015-06-22 15:08:35,2,4
2015-06-22 15:08:36,0,8
2015-06-22 15:08:37,0,3
2015-06-22 15:08:38,0,1
2015-06-22 15:08:39,2,1
2015-06-22 15:08:40,2,1
2015-06-22 15:08:41,2,1
2015-06-22 15:08:42,1,1
2015-06-22 15:08:43,1,1
2015-06-22 15:08:44,1,1
2015-06-22 15:08:45,1,1
2015-06-22 15:08:46,1,1
2015-06-22 15:08:47,1,1
2015-06-22 15:08:48,2,1
2015-06-22 15:08:49,2,3
2015-06-22 15:08:50,2,8
2015-06-22 15:08:51,2,4
2015-06-22 15:08:52,2,4
2015-06-22 15:08:53,2,7
2015-06-22 15:08:54,2,7
2015-06-22 15:08:55,2,7
2015-06-22 15:08:56,2,4
2015-06-22 15:08:57,2,4
2015-06-22 15:08:58,2,4
2015-06-22 15:08:59,2,4
2015-06-22 15:09:00,2,4
2015-06-22 15:09:01,2,4
2015-06-22 15:09:02,2,4
2015-06-22 15:09:03,2,4
2015-06-22 15:09:04,2,4
2015-06-22 15:09:05,2,4
2015-06-22 15:09:06,2,4
2015-06-22 15:09:07,2,4
2015-06-22 15:09:08,2,4
2015-06-22 15:09:09,2,4
2015-06-22 15:09:10,2,3
2015-06-22 15:09:11,2,3
2015-06-22 15:09:12,2,2
2015-06-22 15:09:13,2,2
2015-06-22 15:09:14,2,2
2015-06-22 15:09:15,2,5
2015-06-22 15:09:16,2,8
2015-06-22 15:09:17,2,8
2015-06-22 15:09:18,2,8
2015-06-22 15:09:19,2,8
2015-06-22 15:09:20,2,8
2015-06-22 15:09:21,2,2
2015-06-22 15:09:22,2,2
2015-06-22 15:09:23,2,2
2015-06-22 15:09:24,2,2
2015-06-22 15:09:25,2,2
2015-06-22 15:09:26,0,5
2015-06-22 15:09:27,0,8
2015-06-22 15:09:28,0,8
2015-06-22 15:09:29,0,8
2015-06-22 15:09:30,0,8
2015-06-22 15:09:31,0,0
2015-06-22 15:09:32,0,0
2015-06-22 15:09:33,0,0
