time,yvonne,christina,jonathan,charles
2014-04-28 18:03:33,2,2,0,0
2014-04-28 18:03:34,2,2,0,0
2014-04-28 18:03:35,2,2,0,0
2014-04-28 18:03:36,2,2,0,0
2014-04-28 18:03:37,2,2,0,0
2014-04-28 18:03:38,2,0,0,0
2014-04-28 18:03:39,2,0,0,0
2014-04-28 18:03:40,2,0,0,0
2014-04-28 18:03:41,2,0,0,0
2014-04-28 18:03:42,2,2,0,0
2014-04-28 18:03:43,2,3,0,0
2014-04-28 18:03:44,2,3,0,0
2014-04-28 18:03:45,2,2,0,0
2014-04-28 18:03:46,7,2,0,0
2014-04-28 18:03:47,7,3,0,0
2014-04-28 18:03:48,2,3,0,0
2014-04-28 18:03:49,5,3,0,0
2014-04-28 18:03:50,2,3,0,0
2014-04-28 18:03:51,2,3,0,0
2014-04-28 18:03:52,2,2,0,0
2014-04-28 18:03:53,2,2,0,0
2014-04-28 18:03:54,2,2,0,0
2014-04-28 18:03:55,2,2,0,0
2014-04-28 18:03:56,2,2,0,0
2014-04-28 18:03:57,2,2,0,0
2014-04-28 18:03:58,2,2,0,0
2014-04-28 18:03:59,2,2,0,0
2014-04-28 18:04:00,2,2,0,0
2014-04-28 18:04:01,2,6,0,0
2014-04-28 18:04:02,0,0,0,0
2014-04-28 18:04:03,2,2,0,0
2014-04-28 18:04:04,2,3,0,0
2014-04-28 18:04:05,2,3,0,0
2014-04-28 18:04:06,2,3,0,0
2014-04-28 18:04:07,2,3,0,0
2014-04-28 18:04:08,2,3,0,0
2014-04-28 18:04:09,2,2,0,0
2014-04-28 18:04:10,2,2,0,0
2014-04-28 18:04:11,2,2,0,0
2014-04-28 18:04:12,2,2,0,0
2014-04-28 18:04:13,2,2,0,0
2014-04-28 18:04:14,2,2,0,0
2014-04-28 18:04:15,2,2,0,0
2014-04-28 18:04:16,2,2,0,0
2014-04-28 18:04:17,2,2,0,0
2014-04-28 18:04:18,2,3,0,0
2014-04-28 18:04:19,2,3,0,0
2014-04-28 18:04:20,2,3,0,0
2014-04-28 18:04:21,2,3,0,0
2014-04-28 18:04:22,2,3,0,0
2014-04-28 18:04:23,2,3,0,0
2014-04-28 18:04:24,5,3,0,0
2014-04-28 18:04:25,2,3,0,0
2014-04-28 18:04:26,8,3,0,0
2014-04-28 18:04:27,4,3,0,0
2014-04-28 18:04:28,4,3,0,0
2014-04-28 18:04:29,4,3,0,0
2014-04-28 18:04:30,4,3,0,0
2014-04-28 18:04:31,4,3,0,0
2014-04-28 18:04:32,4,4,0,0
2014-04-28 18:04:33,4,2,0,0
2014-04-28 18:04:34,4,2,0,0
2014-04-28 18:04:35,4,2,0,0
2014-04-28 18:04:36,4,2,0,0
2014-04-28 18:04:37,4,4,0,0
2014-04-28 18:04:38,4,4,0,0
2014-04-28 18:04:39,4,2,0,0
2014-04-28 18:04:40,2,2,0,0
2014-04-28 18:04:41,2,2,0,0
2014-04-28 18:04:42,0,0,0,0
2014-04-28 18:04:43,2,0,0,0
2014-04-28 18:04:44,2,0,0,0
2014-04-28 18:04:45,4,0,2,0
2014-04-28 18:04:46,4,2,4,0
2014-04-28 18:04:47,4,2,4,0
2014-04-28 18:04:48,8,2,4,0
2014-04-28 18:04:49,7,2,4,0
2014-04-28 18:04:50,7,2,4,0
2014-04-28 18:04:51,7,2,4,0
2014-04-28 18:04:52,7,0,2,0
2014-04-28 18:04:53,7,0,0,0
2014-04-28 18:04:54,7,0,0,0
2014-04-28 18:04:55,7,0,0,0
2014-04-28 18:04:56,7,0,0,0
2014-04-28 18:04:57,7,0,0,0
2014-04-28 18:04:58,7,0,0,0
2014-04-28 18:04:59,7,0,0,0
2014-04-28 18:05:00,6,0,0,0
2014-04-28 18:05:01,6,0,0,0
2014-04-28 18:05:02,7,0,0,0
2014-04-28 18:05:03,2,0,0,0
2014-04-28 18:05:04,2,0,0,0
2014-04-28 18:05:05,2,0,0,0
2014-04-28 18:05:06,4,0,0,0
2014-04-28 18:05:07,4,0,0,0
2014-04-28 18:05:08,4,0,0,0
2014-04-28 18:05:09,4,0,0,0
2014-04-28 18:05:10,2,0,0,0
2014-04-28 18:05:11,2,0,0,0
2014-04-28 18:05:12,2,0,0,0
2014-04-28 18:05:13,2,0,0,0
2014-04-28 18:05:14,2,0,0,0
2014-04-28 18:05:15,2,0,0,0
2014-04-28 18:05:16,2,0,0,0
2014-04-28 18:05:17,3,0,0,0
2014-04-28 18:05:18,3,0,0,0
2014-04-28 18:05:19,2,2,0,0
2014-04-28 18:05:20,2,2,0,0
2014-04-28 18:05:21,2,2,0,0
2014-04-28 18:05:22,2,2,0,0
2014-04-28 18:05:23,2,2,0,0
2014-04-28 18:05:24,2,2,0,0
2014-04-28 18:05:25,0,2,0,0
2014-04-28 18:05:26,0,2,0,0
2014-04-28 18:05:27,0,2,0,0
2014-04-28 18:05:28,0,2,0,0
2014-04-28 18:05:29,0,2,0,0
2014-04-28 18:05:30,0,2,0,0
2014-04-28 18:05:31,0,2,0,0
2014-04-28 18:05:32,0,2,0,0
2014-04-28 18:05:33,2,2,0,0
2014-04-28 18:05:34,2,4,0,0
2014-04-28 18:05:35,2,4,0,0
2014-04-28 18:05:36,2,4,0,0
2014-04-28 18:05:37,2,4,0,0
2014-04-28 18:05:38,4,4,0,0
2014-04-28 18:05:39,2,2,0,0
2014-04-28 18:05:40,2,2,0,0
2014-04-28 18:05:41,2,4,0,0
2014-04-28 18:05:42,2,4,0,0
2014-04-28 18:05:43,2,8,0,0
2014-04-28 18:05:44,2,8,0,0
2014-04-28 18:05:45,2,2,0,0
2014-04-28 18:05:46,3,8,0,0
2014-04-28 18:05:47,4,4,0,0
2014-04-28 18:05:48,4,7,0,0
2014-04-28 18:05:49,4,7,0,0
2014-04-28 18:05:50,7,7,0,0
2014-04-28 18:05:51,7,7,2,0
2014-04-28 18:05:52,7,6,2,0
2014-04-28 18:05:53,7,6,2,0
2014-04-28 18:05:54,7,5,2,0
2014-04-28 18:05:55,4,6,2,0
2014-04-28 18:05:56,4,6,2,0
2014-04-28 18:05:57,8,5,8,0
2014-04-28 18:05:58,8,5,8,0
2014-04-28 18:05:59,8,6,8,0
2014-04-28 18:06:00,4,6,8,0
2014-04-28 18:06:01,4,8,8,0
2014-04-28 18:06:02,4,8,8,0
2014-04-28 18:06:03,3,8,8,0
2014-04-28 18:06:04,8,5,8,0
2014-04-28 18:06:05,2,2,8,0
2014-04-28 18:06:06,2,2,4,0
2014-04-28 18:06:07,2,2,4,0
2014-04-28 18:06:08,2,2,8,0
2014-04-28 18:06:09,2,2,8,0
2014-04-28 18:06:10,3,2,3,0
2014-04-28 18:06:11,3,2,3,0
2014-04-28 18:06:12,3,8,3,0
2014-04-28 18:06:13,4,8,3,0
2014-04-28 18:06:14,5,8,3,0
2014-04-28 18:06:15,5,8,3,0
2014-04-28 18:06:16,4,4,3,0
2014-04-28 18:06:17,4,4,3,0
2014-04-28 18:06:18,4,4,2,0
2014-04-28 18:06:19,5,4,2,0
2014-04-28 18:06:20,5,4,2,0
