time,christina,yvonne,jonathan
2014-07-19 14:06:09,0,0,0
2014-07-19 14:06:10,2,0,0
2014-07-19 14:06:11,2,0,0
2014-07-19 14:06:12,2,0,0
2014-07-19 14:06:13,2,0,0
2014-07-19 14:06:14,2,0,0
2014-07-19 14:06:15,2,0,0
2014-07-19 14:06:16,2,0,0
2014-07-19 14:06:17,2,0,0
2014-07-19 14:06:18,2,0,0
2014-07-19 14:06:19,0,2,0
2014-07-19 14:06:20,0,2,0
2014-07-19 14:06:21,2,2,2
2014-07-19 14:06:22,2,2,2
2014-07-19 14:06:23,2,2,2
2014-07-19 14:06:24,2,2,2
2014-07-19 14:06:25,2,2,2
2014-07-19 14:06:26,2,2,2
2014-07-19 14:06:27,2,2,0
2014-07-19 14:06:28,2,2,2
2014-07-19 14:06:29,2,0,2
2014-07-19 14:06:30,2,6,2
2014-07-19 14:06:31,2,2,2
2014-07-19 14:06:32,2,2,2
2014-07-19 14:06:33,2,2,2
2014-07-19 14:06:34,2,2,2
2014-07-19 14:06:35,2,2,2
2014-07-19 14:06:36,2,2,2
2014-07-19 14:06:37,2,2,2
2014-07-19 14:06:38,2,2,2
2014-07-19 14:06:39,2,2,2
2014-07-19 14:06:40,2,1,2
2014-07-19 14:06:41,2,2,2
2014-07-19 14:06:42,2,2,2
2014-07-19 14:06:43,0,2,2
2014-07-19 14:06:44,0,2,2
2014-07-19 14:06:45,2,2,2
2014-07-19 14:06:46,2,0,2
2014-07-19 14:06:47,2,0,2
2014-07-19 14:06:48,2,2,2
2014-07-19 14:06:49,2,4,2
2014-07-19 14:06:50,2,4,2
2014-07-19 14:06:51,2,4,2
2014-07-19 14:06:52,2,4,2
2014-07-19 14:06:53,2,2,2
2014-07-19 14:06:54,2,0,2
2014-07-19 14:06:55,3,0,2
2014-07-19 14:06:56,3,2,2
2014-07-19 14:06:57,4,2,2
2014-07-19 14:06:58,4,2,2
2014-07-19 14:06:59,4,2,2
2014-07-19 14:07:00,6,2,2
2014-07-19 14:07:01,7,0,2
2014-07-19 14:07:02,7,0,2
2014-07-19 14:07:03,7,2,2
2014-07-19 14:07:04,7,2,2
2014-07-19 14:07:05,7,8,2
2014-07-19 14:07:06,4,8,2
2014-07-19 14:07:07,4,8,2
2014-07-19 14:07:08,4,2,2
2014-07-19 14:07:09,4,2,2
2014-07-19 14:07:10,3,2,2
2014-07-19 14:07:11,1,1,2
2014-07-19 14:07:12,2,1,2
2014-07-19 14:07:13,2,1,2
2014-07-19 14:07:14,2,1,2
2014-07-19 14:07:15,2,2,3
2014-07-19 14:07:16,2,2,3
2014-07-19 14:07:17,2,3,3
2014-07-19 14:07:18,2,3,3
2014-07-19 14:07:19,0,3,3
2014-07-19 14:07:20,0,3,2
2014-07-19 14:07:21,2,3,2
2014-07-19 14:07:22,2,2,2
2014-07-19 14:07:23,2,2,2
2014-07-19 14:07:24,3,2,2
2014-07-19 14:07:25,3,2,2
2014-07-19 14:07:26,4,2,2
2014-07-19 14:07:27,4,2,2
2014-07-19 14:07:28,4,2,2
2014-07-19 14:07:29,6,2,2
2014-07-19 14:07:30,6,2,2
2014-07-19 14:07:31,7,3,1
2014-07-19 14:07:32,7,2,3
2014-07-19 14:07:33,4,3,3
2014-07-19 14:07:34,4,1,1
2014-07-19 14:07:35,3,1,1
2014-07-19 14:07:36,2,2,1
2014-07-19 14:07:37,2,3,1
2014-07-19 14:07:38,3,1,1
2014-07-19 14:07:39,3,1,3
2014-07-19 14:07:40,3,1,2
2014-07-19 14:07:41,3,1,2
2014-07-19 14:07:42,3,1,2
2014-07-19 14:07:43,3,1,2
2014-07-19 14:07:44,3,3,2
2014-07-19 14:07:45,3,1,1
2014-07-19 14:07:46,3,2,1
2014-07-19 14:07:47,3,2,1
2014-07-19 14:07:48,3,2,1
2014-07-19 14:07:49,3,2,1
2014-07-19 14:07:50,3,2,1
2014-07-19 14:07:51,3,2,3
2014-07-19 14:07:52,1,2,1
2014-07-19 14:07:53,1,2,1
2014-07-19 14:07:54,3,2,1
2014-07-19 14:07:55,3,2,1
2014-07-19 14:07:56,1,2,1
2014-07-19 14:07:57,1,2,1
2014-07-19 14:07:58,1,2,1
2014-07-19 14:07:59,1,2,1
2014-07-19 14:08:00,3,2,1
2014-07-19 14:08:01,3,2,1
2014-07-19 14:08:02,4,2,1
2014-07-19 14:08:03,4,2,1
2014-07-19 14:08:04,7,2,1
2014-07-19 14:08:05,6,2,1
2014-07-19 14:08:06,7,2,3
2014-07-19 14:08:07,8,5,3
2014-07-19 14:08:08,7,5,2
2014-07-19 14:08:09,7,5,1
2014-07-19 14:08:10,7,7,1
2014-07-19 14:08:11,7,7,1
2014-07-19 14:08:12,4,7,1
2014-07-19 14:08:13,3,7,1
2014-07-19 14:08:14,3,7,1
2014-07-19 14:08:15,3,7,1
2014-07-19 14:08:16,3,8,1
2014-07-19 14:08:17,3,7,1
2014-07-19 14:08:18,3,7,1
2014-07-19 14:08:19,8,7,1
2014-07-19 14:08:20,3,7,1
2014-07-19 14:08:21,2,7,1
2014-07-19 14:08:22,2,7,2
2014-07-19 14:08:23,2,7,2
2014-07-19 14:08:24,2,7,2
2014-07-19 14:08:25,2,7,2
2014-07-19 14:08:26,2,7,0
2014-07-19 14:08:27,2,7,2
2014-07-19 14:08:28,2,7,2
2014-07-19 14:08:29,2,7,1
2014-07-19 14:08:30,2,7,1
2014-07-19 14:08:31,2,7,1
2014-07-19 14:08:32,2,7,1
2014-07-19 14:08:33,2,7,1
2014-07-19 14:08:34,2,7,3
2014-07-19 14:08:35,2,7,3
2014-07-19 14:08:36,2,7,1
2014-07-19 14:08:37,2,7,1
2014-07-19 14:08:38,2,8,1
2014-07-19 14:08:39,2,7,1
2014-07-19 14:08:40,2,7,1
2014-07-19 14:08:41,2,7,3
2014-07-19 14:08:42,2,7,2
2014-07-19 14:08:43,2,7,0
2014-07-19 14:08:44,2,7,0
2014-07-19 14:08:45,2,7,0
2014-07-19 14:08:46,2,7,0
2014-07-19 14:08:47,2,7,0
2014-07-19 14:08:48,4,7,0
2014-07-19 14:08:49,4,7,0
2014-07-19 14:08:50,4,7,0
2014-07-19 14:08:51,7,7,0
2014-07-19 14:08:52,4,7,0
2014-07-19 14:08:53,4,7,2
2014-07-19 14:08:54,3,7,2
2014-07-19 14:08:55,2,7,2
2014-07-19 14:08:56,2,7,2
2014-07-19 14:08:57,2,7,2
2014-07-19 14:08:58,2,7,0
2014-07-19 14:08:59,2,7,0
2014-07-19 14:09:00,2,4,0
2014-07-19 14:09:01,2,3,0
2014-07-19 14:09:02,2,0,0
2014-07-19 14:09:03,2,0,0
2014-07-19 14:09:04,2,0,0
2014-07-19 14:09:05,2,0,0
2014-07-19 14:09:06,2,0,0
2014-07-19 14:09:07,0,0,2
2014-07-19 14:09:08,0,0,2
2014-07-19 14:09:09,0,0,2
2014-07-19 14:09:10,2,0,2
2014-07-19 14:09:11,2,0,2
2014-07-19 14:09:12,2,0,2
2014-07-19 14:09:13,2,0,2
2014-07-19 14:09:14,2,2,2
2014-07-19 14:09:15,2,2,2
2014-07-19 14:09:16,2,2,2
2014-07-19 14:09:17,2,2,2
2014-07-19 14:09:18,2,5,2
2014-07-19 14:09:19,2,5,1
2014-07-19 14:09:20,2,7,1
2014-07-19 14:09:21,2,8,1
2014-07-19 14:09:22,2,7,1
2014-07-19 14:09:23,2,7,1
2014-07-19 14:09:24,2,7,2
2014-07-19 14:09:25,2,7,2
2014-07-19 14:09:26,2,7,2
2014-07-19 14:09:27,2,7,2
2014-07-19 14:09:28,0,7,2
2014-07-19 14:09:29,0,7,2
2014-07-19 14:09:30,2,8,2
2014-07-19 14:09:31,2,8,2
2014-07-19 14:09:32,2,7,2
2014-07-19 14:09:33,2,8,2
2014-07-19 14:09:34,2,2,2
2014-07-19 14:09:35,2,2,2
2014-07-19 14:09:36,2,2,2
2014-07-19 14:09:37,2,2,2
2014-07-19 14:09:38,2,1,2
2014-07-19 14:09:39,2,1,2
2014-07-19 14:09:40,2,1,2
2014-07-19 14:09:41,2,1,2
2014-07-19 14:09:42,2,1,2
2014-07-19 14:09:43,2,2,2
2014-07-19 14:09:44,2,2,2
2014-07-19 14:09:45,2,2,2
2014-07-19 14:09:46,2,2,2
2014-07-19 14:09:47,2,2,2
2014-07-19 14:09:48,2,2,2
2014-07-19 14:09:49,2,2,2
2014-07-19 14:09:50,2,2,2
2014-07-19 14:09:51,2,2,2
2014-07-19 14:09:52,2,2,2
2014-07-19 14:09:53,2,2,2
2014-07-19 14:09:54,2,2,2
2014-07-19 14:09:55,2,2,3
2014-07-19 14:09:56,2,2,4
2014-07-19 14:09:57,2,2,4
2014-07-19 14:09:58,2,2,4
2014-07-19 14:09:59,3,2,4
2014-07-19 14:10:00,3,2,4
2014-07-19 14:10:01,3,2,3
2014-07-19 14:10:02,2,2,3
2014-07-19 14:10:03,2,2,4
2014-07-19 14:10:04,4,2,4
2014-07-19 14:10:05,4,2,4
2014-07-19 14:10:06,4,6,4
2014-07-19 14:10:07,6,0,2
2014-07-19 14:10:08,6,2,2
2014-07-19 14:10:09,6,2,2
2014-07-19 14:10:10,6,1,2
2014-07-19 14:10:11,6,1,2
2014-07-19 14:10:12,7,1,2
2014-07-19 14:10:13,6,1,2
2014-07-19 14:10:14,8,1,2
2014-07-19 14:10:15,6,1,3
2014-07-19 14:10:16,7,1,3
2014-07-19 14:10:17,4,3,3
2014-07-19 14:10:18,4,3,3
2014-07-19 14:10:19,4,3,3
2014-07-19 14:10:20,2,3,2
2014-07-19 14:10:21,2,8,2
2014-07-19 14:10:22,2,7,2
2014-07-19 14:10:23,2,7,2
2014-07-19 14:10:24,2,7,2
2014-07-19 14:10:25,0,7,2
2014-07-19 14:10:26,0,7,2
2014-07-19 14:10:27,0,7,2
2014-07-19 14:10:28,0,7,2
2014-07-19 14:10:29,0,4,2
2014-07-19 14:10:30,2,4,2
2014-07-19 14:10:31,2,4,2
2014-07-19 14:10:32,2,4,2
2014-07-19 14:10:33,2,4,2
2014-07-19 14:10:34,2,7,2
2014-07-19 14:10:35,2,6,2
2014-07-19 14:10:36,2,7,2
2014-07-19 14:10:37,2,7,2
2014-07-19 14:10:38,2,7,2
2014-07-19 14:10:39,3,7,2
2014-07-19 14:10:40,3,7,2
2014-07-19 14:10:41,3,7,0
2014-07-19 14:10:42,3,7,0
2014-07-19 14:10:43,3,7,0
2014-07-19 14:10:44,3,7,0
2014-07-19 14:10:45,3,7,0
2014-07-19 14:10:46,3,7,2
2014-07-19 14:10:47,3,7,6
2014-07-19 14:10:48,4,7,8
2014-07-19 14:10:49,4,7,8
2014-07-19 14:10:50,4,7,7
2014-07-19 14:10:51,4,7,8
2014-07-19 14:10:52,4,7,8
2014-07-19 14:10:53,4,7,8
2014-07-19 14:10:54,4,7,8
2014-07-19 14:10:55,4,7,8
2014-07-19 14:10:56,4,4,8
2014-07-19 14:10:57,4,4,8
2014-07-19 14:10:58,4,4,8
2014-07-19 14:10:59,4,4,8
2014-07-19 14:11:00,4,4,8
2014-07-19 14:11:01,4,4,4
2014-07-19 14:11:02,4,4,4
2014-07-19 14:11:03,4,4,4
2014-07-19 14:11:04,4,4,8
2014-07-19 14:11:05,4,4,7
2014-07-19 14:11:06,0,0,0
2014-07-19 14:11:07,0,0,0
2014-07-19 14:11:08,0,0,0
2014-07-19 14:11:09,0,0,0
