time,yvonne,christina,jonathan
2014-07-19 15:21:35,7,2,2
2014-07-19 15:21:36,7,2,2
2014-07-19 15:21:37,7,2,2
2014-07-19 15:21:38,7,2,2
2014-07-19 15:21:39,7,2,2
2014-07-19 15:21:40,7,2,2
2014-07-19 15:21:41,7,2,2
2014-07-19 15:21:42,7,2,2
2014-07-19 15:21:43,7,2,2
2014-07-19 15:21:44,7,2,2
2014-07-19 15:21:45,7,2,2
2014-07-19 15:21:46,7,2,2
2014-07-19 15:21:47,7,2,2
2014-07-19 15:21:48,7,2,2
2014-07-19 15:21:49,7,0,2
2014-07-19 15:21:50,7,0,2
2014-07-19 15:21:51,7,0,2
2014-07-19 15:21:52,7,0,2
2014-07-19 15:21:53,7,0,2
2014-07-19 15:21:54,7,2,2
2014-07-19 15:21:55,7,4,2
2014-07-19 15:21:56,7,4,2
2014-07-19 15:21:57,7,4,2
2014-07-19 15:21:58,7,4,2
2014-07-19 15:21:59,2,4,3
2014-07-19 15:22:00,0,4,3
2014-07-19 15:22:01,0,4,3
2014-07-19 15:22:02,0,4,3
2014-07-19 15:22:03,0,4,3
2014-07-19 15:22:04,0,4,2
2014-07-19 15:22:05,0,4,2
2014-07-19 15:22:06,0,4,2
2014-07-19 15:22:07,0,4,2
2014-07-19 15:22:08,0,4,2
2014-07-19 15:22:09,0,4,2
2014-07-19 15:22:10,0,4,2
2014-07-19 15:22:11,0,4,2
2014-07-19 15:22:12,0,4,2
2014-07-19 15:22:13,0,4,2
2014-07-19 15:22:14,0,4,2
2014-07-19 15:22:15,0,4,2
2014-07-19 15:22:16,0,4,2
2014-07-19 15:22:17,0,4,2
2014-07-19 15:22:18,0,4,2
2014-07-19 15:22:19,2,2,2
2014-07-19 15:22:20,2,0,2
2014-07-19 15:22:21,2,2,2
2014-07-19 15:22:22,2,2,2
2014-07-19 15:22:23,2,2,2
2014-07-19 15:22:24,2,2,2
2014-07-19 15:22:25,2,2,2
2014-07-19 15:22:26,2,2,2
2014-07-19 15:22:27,2,2,2
2014-07-19 15:22:28,2,2,2
2014-07-19 15:22:29,5,2,2
2014-07-19 15:22:30,5,2,2
2014-07-19 15:22:31,5,2,2
2014-07-19 15:22:32,2,2,2
2014-07-19 15:22:33,2,2,2
2014-07-19 15:22:34,2,2,2
2014-07-19 15:22:35,2,2,2
2014-07-19 15:22:36,2,2,2
2014-07-19 15:22:37,2,2,2
2014-07-19 15:22:38,2,2,2
2014-07-19 15:22:39,2,2,2
2014-07-19 15:22:40,2,2,2
2014-07-19 15:22:41,2,2,2
2014-07-19 15:22:42,2,8,6
2014-07-19 15:22:43,2,6,0
2014-07-19 15:22:44,2,7,0
2014-07-19 15:22:45,2,7,0
2014-07-19 15:22:46,2,7,0
2014-07-19 15:22:47,2,7,0
2014-07-19 15:22:48,8,7,0
2014-07-19 15:22:49,8,7,0
2014-07-19 15:22:50,8,7,0
2014-07-19 15:22:51,8,7,0
2014-07-19 15:22:52,7,7,0
2014-07-19 15:22:53,7,7,0
2014-07-19 15:22:54,7,0,0
2014-07-19 15:22:55,7,0,0
2014-07-19 15:22:56,7,0,0
2014-07-19 15:22:57,7,0,0
2014-07-19 15:22:58,7,0,0
2014-07-19 15:22:59,7,0,0
2014-07-19 15:23:00,7,0,0
2014-07-19 15:23:01,7,0,0
2014-07-19 15:23:02,7,0,0
2014-07-19 15:23:03,7,0,0
2014-07-19 15:23:04,7,0,0
2014-07-19 15:23:05,7,0,0
2014-07-19 15:23:06,7,0,0
2014-07-19 15:23:07,7,0,0
2014-07-19 15:23:08,7,0,0
2014-07-19 15:23:09,7,6,0
2014-07-19 15:23:10,7,7,0
2014-07-19 15:23:11,7,7,0
2014-07-19 15:23:12,7,7,0
2014-07-19 15:23:13,7,7,0
2014-07-19 15:23:14,7,7,0
2014-07-19 15:23:15,7,7,0
2014-07-19 15:23:16,7,7,0
2014-07-19 15:23:17,7,7,0
2014-07-19 15:23:18,7,7,0
2014-07-19 15:23:19,7,7,0
2014-07-19 15:23:20,7,7,2
2014-07-19 15:23:21,4,7,2
2014-07-19 15:23:22,8,7,2
2014-07-19 15:23:23,6,7,2
2014-07-19 15:23:24,7,6,2
2014-07-19 15:23:25,5,2,2
2014-07-19 15:23:26,5,2,2
2014-07-19 15:23:27,5,2,2
2014-07-19 15:23:28,5,2,2
2014-07-19 15:23:29,4,2,2
2014-07-19 15:23:30,4,2,2
2014-07-19 15:23:31,8,2,2
2014-07-19 15:23:32,5,2,2
2014-07-19 15:23:33,5,2,2
2014-07-19 15:23:34,5,2,2
2014-07-19 15:23:35,5,2,2
2014-07-19 15:23:36,3,2,2
2014-07-19 15:23:37,3,2,2
2014-07-19 15:23:38,3,2,0
2014-07-19 15:23:39,3,2,2
2014-07-19 15:23:40,3,2,2
2014-07-19 15:23:41,3,2,0
2014-07-19 15:23:42,1,2,0
2014-07-19 15:23:43,2,2,0
2014-07-19 15:23:44,2,1,0
2014-07-19 15:23:45,2,1,0
2014-07-19 15:23:46,0,0,0
2014-07-19 15:23:47,0,0,0
2014-07-19 15:23:48,0,0,0
2014-07-19 15:23:49,0,0,0
