time,yvonne,jonathan,christina
2014-07-19 16:48:48,0,0,0
2014-07-19 16:48:49,4,0,0
2014-07-19 16:48:50,4,0,0
2014-07-19 16:48:51,7,6,0
2014-07-19 16:48:52,7,6,0
2014-07-19 16:48:53,7,7,0
2014-07-19 16:48:54,7,7,2
2014-07-19 16:48:55,7,7,2
2014-07-19 16:48:56,7,7,2
2014-07-19 16:48:57,7,7,2
2014-07-19 16:48:58,7,7,2
2014-07-19 16:48:59,7,7,2
2014-07-19 16:49:00,7,7,2
2014-07-19 16:49:01,0,7,2
2014-07-19 16:49:02,0,7,2
2014-07-19 16:49:03,0,7,2
2014-07-19 16:49:04,0,7,2
2014-07-19 16:49:05,0,7,1
2014-07-19 16:49:06,2,7,2
2014-07-19 16:49:07,7,5,5
2014-07-19 16:49:08,7,7,5
2014-07-19 16:49:09,7,7,5
2014-07-19 16:49:10,7,7,5
2014-07-19 16:49:11,7,7,7
2014-07-19 16:49:12,7,7,7
2014-07-19 16:49:13,6,7,7
2014-07-19 16:49:14,2,7,7
2014-07-19 16:49:15,0,7,7
2014-07-19 16:49:16,0,7,3
2014-07-19 16:49:17,0,7,3
2014-07-19 16:49:18,0,7,1
2014-07-19 16:49:19,0,7,1
2014-07-19 16:49:20,0,8,1
2014-07-19 16:49:21,0,5,1
2014-07-19 16:49:22,0,5,1
2014-07-19 16:49:23,0,5,1
2014-07-19 16:49:24,0,4,1
2014-07-19 16:49:25,5,4,1
2014-07-19 16:49:26,5,4,1
2014-07-19 16:49:27,4,4,1
2014-07-19 16:49:28,7,4,1
2014-07-19 16:49:29,7,8,1
2014-07-19 16:49:30,6,4,1
2014-07-19 16:49:31,6,8,1
2014-07-19 16:49:32,6,8,1
2014-07-19 16:49:33,8,4,1
2014-07-19 16:49:34,6,6,1
2014-07-19 16:49:35,7,2,1
2014-07-19 16:49:36,7,2,1
2014-07-19 16:49:37,7,3,1
2014-07-19 16:49:38,4,7,1
2014-07-19 16:49:39,7,7,1
2014-07-19 16:49:40,7,4,1
2014-07-19 16:49:41,7,4,1
2014-07-19 16:49:42,7,4,1
2014-07-19 16:49:43,7,8,1
2014-07-19 16:49:44,7,8,1
2014-07-19 16:49:45,8,8,1
2014-07-19 16:49:46,7,8,1
2014-07-19 16:49:47,7,4,1
2014-07-19 16:49:48,7,4,1
2014-07-19 16:49:49,4,8,1
2014-07-19 16:49:50,3,8,1
2014-07-19 16:49:51,3,8,2
2014-07-19 16:49:52,3,8,4
2014-07-19 16:49:53,3,8,4
2014-07-19 16:49:54,1,7,4
2014-07-19 16:49:55,1,7,7
2014-07-19 16:49:56,1,7,7
2014-07-19 16:49:57,3,4,7
2014-07-19 16:49:58,1,4,8
2014-07-19 16:49:59,2,4,7
2014-07-19 16:50:00,2,2,7
2014-07-19 16:50:01,2,2,7
2014-07-19 16:50:02,2,2,7
2014-07-19 16:50:03,2,2,7
2014-07-19 16:50:04,2,2,7
2014-07-19 16:50:05,2,2,7
2014-07-19 16:50:06,2,2,7
2014-07-19 16:50:07,0,2,7
2014-07-19 16:50:08,0,2,7
2014-07-19 16:50:09,0,2,7
2014-07-19 16:50:10,0,2,7
2014-07-19 16:50:11,0,2,7
2014-07-19 16:50:12,0,2,7
2014-07-19 16:50:13,0,2,7
2014-07-19 16:50:14,0,3,7
2014-07-19 16:50:15,0,3,7
2014-07-19 16:50:16,0,2,8
2014-07-19 16:50:17,0,2,7
2014-07-19 16:50:18,0,2,7
2014-07-19 16:50:19,0,0,7
2014-07-19 16:50:20,0,7,7
2014-07-19 16:50:21,0,7,7
2014-07-19 16:50:22,0,7,7
2014-07-19 16:50:23,0,7,7
2014-07-19 16:50:24,0,7,7
2014-07-19 16:50:25,0,7,7
2014-07-19 16:50:26,0,7,5
2014-07-19 16:50:27,0,7,7
2014-07-19 16:50:28,0,7,5
2014-07-19 16:50:29,0,7,7
2014-07-19 16:50:30,0,7,7
2014-07-19 16:50:31,0,7,7
2014-07-19 16:50:32,0,7,7
2014-07-19 16:50:33,0,7,7
2014-07-19 16:50:34,0,7,7
2014-07-19 16:50:35,2,8,7
2014-07-19 16:50:36,5,4,8
2014-07-19 16:50:37,7,2,8
2014-07-19 16:50:38,7,2,8
2014-07-19 16:50:39,7,8,3
2014-07-19 16:50:40,7,8,3
2014-07-19 16:50:41,7,7,3
2014-07-19 16:50:42,7,7,3
2014-07-19 16:50:43,7,7,3
2014-07-19 16:50:44,8,7,1
2014-07-19 16:50:45,8,5,2
2014-07-19 16:50:46,3,8,2
2014-07-19 16:50:47,1,3,2
2014-07-19 16:50:48,3,1,2
2014-07-19 16:50:49,3,2,4
2014-07-19 16:50:50,7,2,7
2014-07-19 16:50:51,7,2,7
2014-07-19 16:50:52,7,2,7
2014-07-19 16:50:53,7,1,6
2014-07-19 16:50:54,7,1,6
2014-07-19 16:50:55,6,3,7
2014-07-19 16:50:56,6,3,7
2014-07-19 16:50:57,6,3,7
2014-07-19 16:50:58,6,4,7
2014-07-19 16:50:59,6,7,7
2014-07-19 16:51:00,6,7,8
2014-07-19 16:51:01,7,7,7
2014-07-19 16:51:02,7,7,7
2014-07-19 16:51:03,7,7,6
2014-07-19 16:51:04,8,7,6
2014-07-19 16:51:05,6,7,6
2014-07-19 16:51:06,6,7,6
2014-07-19 16:51:07,6,7,6
2014-07-19 16:51:08,7,4,7
2014-07-19 16:51:09,7,4,8
2014-07-19 16:51:10,7,8,7
2014-07-19 16:51:11,6,2,7
2014-07-19 16:51:12,6,2,7
2014-07-19 16:51:13,4,2,7
2014-07-19 16:51:14,4,2,7
2014-07-19 16:51:15,4,2,7
2014-07-19 16:51:16,0,2,7
2014-07-19 16:51:17,0,1,7
2014-07-19 16:51:18,0,2,6
2014-07-19 16:51:19,0,2,6
2014-07-19 16:51:20,0,2,6
2014-07-19 16:51:21,0,3,6
2014-07-19 16:51:22,0,3,7
2014-07-19 16:51:23,0,1,7
2014-07-19 16:51:24,0,1,7
2014-07-19 16:51:25,0,2,7
2014-07-19 16:51:26,0,2,7
2014-07-19 16:51:27,0,2,8
2014-07-19 16:51:28,0,2,2
2014-07-19 16:51:29,0,2,2
2014-07-19 16:51:30,0,2,2
2014-07-19 16:51:31,0,2,2
2014-07-19 16:51:32,0,2,2
2014-07-19 16:51:33,0,2,2
2014-07-19 16:51:34,0,2,2
2014-07-19 16:51:35,0,2,2
2014-07-19 16:51:36,0,2,2
2014-07-19 16:51:37,0,2,2
2014-07-19 16:51:38,0,2,2
2014-07-19 16:51:39,0,2,2
2014-07-19 16:51:40,0,2,2
2014-07-19 16:51:41,0,2,2
2014-07-19 16:51:42,0,2,2
2014-07-19 16:51:43,0,2,2
2014-07-19 16:51:44,0,2,2
2014-07-19 16:51:45,0,2,2
2014-07-19 16:51:46,0,2,2
2014-07-19 16:51:47,0,2,2
2014-07-19 16:51:48,0,2,2
2014-07-19 16:51:49,0,2,2
2014-07-19 16:51:50,0,2,2
2014-07-19 16:51:51,0,2,2
2014-07-19 16:51:52,0,1,2
2014-07-19 16:51:53,0,1,2
2014-07-19 16:51:54,0,1,2
