time,275913F5-90E9-4C82-B94C-29A8AA3B4C57,24C41EC3-7ECC-40DA-B942-7ABE23017E74,7FC04E34-F3AE-4764-9432-DD032ED6C36B,BD49B35A-8999-4987-9759-8D3F28D1292B,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-20 13:55:37,2,4,0,0,2
2015-03-20 13:55:38,0,4,2,0,2
2015-03-20 13:55:39,0,0,2,0,2
2015-03-20 13:55:40,0,2,2,0,2
2015-03-20 13:55:41,0,2,3,0,2
2015-03-20 13:55:42,0,3,3,0,0
2015-03-20 13:55:43,0,3,2,0,0
2015-03-20 13:55:44,2,3,2,0,0
2015-03-20 13:55:45,2,3,2,0,0
2015-03-20 13:55:46,3,4,2,0,0
2015-03-20 13:55:47,3,2,2,0,0
2015-03-20 13:55:48,3,0,2,0,0
2015-03-20 13:55:49,2,0,4,0,0
2015-03-20 13:55:50,2,0,4,0,0
2015-03-20 13:55:51,2,0,4,0,0
2015-03-20 13:55:52,0,0,4,0,0
2015-03-20 13:55:53,0,0,4,0,0
2015-03-20 13:55:54,0,0,2,0,0
2015-03-20 13:55:55,0,0,2,0,0
2015-03-20 13:55:56,0,0,2,0,0
2015-03-20 13:55:57,0,0,2,0,0
2015-03-20 13:55:58,0,0,2,0,0
2015-03-20 13:55:59,0,0,2,0,0
2015-03-20 13:56:00,0,0,2,0,0
2015-03-20 13:56:01,0,0,2,0,0
2015-03-20 13:56:02,0,4,2,0,0
2015-03-20 13:56:03,0,4,2,0,0
2015-03-20 13:56:04,0,4,2,0,0
2015-03-20 13:56:05,0,4,2,0,0
2015-03-20 13:56:06,0,4,2,0,0
2015-03-20 13:56:07,0,0,2,0,0
2015-03-20 13:56:08,0,0,2,0,0
2015-03-20 13:56:09,0,0,0,0,0
2015-03-20 13:56:10,0,0,0,0,0
2015-03-20 13:56:11,0,0,0,0,0
2015-03-20 13:56:12,0,0,0,6,0
2015-03-20 13:56:13,0,0,0,6,0
2015-03-20 13:56:14,0,0,0,6,0
2015-03-20 13:56:15,0,0,0,6,0
2015-03-20 13:56:16,0,0,0,8,0
2015-03-20 13:56:17,0,0,0,8,0
2015-03-20 13:56:18,0,0,0,8,0
2015-03-20 13:56:19,0,0,0,8,0
2015-03-20 13:56:20,0,0,0,8,0
2015-03-20 13:56:21,0,0,0,8,0
2015-03-20 13:56:22,0,0,0,8,0
2015-03-20 13:56:23,0,0,0,8,0
2015-03-20 13:56:24,0,0,0,8,0
2015-03-20 13:56:25,0,0,0,8,0
2015-03-20 13:56:26,0,0,0,4,0
2015-03-20 13:56:27,2,0,0,7,0
2015-03-20 13:56:28,2,0,0,7,0
2015-03-20 13:56:29,2,0,0,4,0
2015-03-20 13:56:30,2,0,0,4,0
2015-03-20 13:56:31,2,0,0,0,0
2015-03-20 13:56:32,2,0,0,0,0
2015-03-20 13:56:33,0,0,0,0,0
2015-03-20 13:56:34,0,0,0,0,0
2015-03-20 13:56:35,0,0,0,0,0
2015-03-20 13:56:36,0,0,0,0,0
2015-03-20 13:56:37,0,0,0,0,0
2015-03-20 13:56:38,0,0,0,0,0
2015-03-20 13:56:39,0,0,0,0,0
2015-03-20 13:56:40,0,0,0,0,0
2015-03-20 13:56:41,0,0,0,0,0
2015-03-20 13:56:42,0,0,0,0,0
2015-03-20 13:56:43,0,0,2,0,0
2015-03-20 13:56:44,0,0,2,0,0
2015-03-20 13:56:45,2,0,2,0,0
2015-03-20 13:56:46,2,0,2,0,0
2015-03-20 13:56:47,2,0,2,0,0
2015-03-20 13:56:48,2,0,2,0,0
2015-03-20 13:56:49,2,0,0,0,0
2015-03-20 13:56:50,2,0,0,0,0
2015-03-20 13:56:51,2,0,0,0,0
2015-03-20 13:56:52,0,0,0,0,0
2015-03-20 13:56:53,0,0,2,0,0
2015-03-20 13:56:54,0,0,2,0,0
2015-03-20 13:56:55,0,0,1,0,0
2015-03-20 13:56:56,0,0,1,0,0
2015-03-20 13:56:57,0,0,1,0,0
2015-03-20 13:56:58,0,0,1,0,0
2015-03-20 13:56:59,0,0,1,0,0
2015-03-20 13:57:00,0,0,2,0,0
2015-03-20 13:57:01,0,0,2,0,0
2015-03-20 13:57:02,0,0,2,0,0
2015-03-20 13:57:03,0,0,2,0,0
2015-03-20 13:57:04,0,0,2,0,0
2015-03-20 13:57:05,0,0,2,0,0
2015-03-20 13:57:06,0,0,0,0,0
2015-03-20 13:57:07,0,0,2,0,0
2015-03-20 13:57:08,0,0,2,0,0
2015-03-20 13:57:09,0,0,2,0,0
2015-03-20 13:57:10,0,0,1,0,0
2015-03-20 13:57:11,0,0,1,0,0
2015-03-20 13:57:12,2,0,1,0,0
2015-03-20 13:57:13,2,0,1,0,0
2015-03-20 13:57:14,2,0,3,0,0
2015-03-20 13:57:15,2,0,2,0,0
2015-03-20 13:57:16,2,0,2,0,0
2015-03-20 13:57:17,2,0,2,0,2
2015-03-20 13:57:18,3,0,2,0,2
2015-03-20 13:57:19,1,0,2,0,2
2015-03-20 13:57:20,1,0,2,0,2
2015-03-20 13:57:21,1,0,2,0,2
2015-03-20 13:57:22,2,0,2,0,2
2015-03-20 13:57:23,2,0,8,0,0
2015-03-20 13:57:24,2,0,5,0,0
2015-03-20 13:57:25,2,0,5,0,0
2015-03-20 13:57:26,2,0,5,0,0
2015-03-20 13:57:27,2,0,8,0,0
2015-03-20 13:57:28,0,0,8,0,0
2015-03-20 13:57:29,0,0,5,0,0
2015-03-20 13:57:30,5,0,5,0,0
2015-03-20 13:57:31,5,0,5,0,0
2015-03-20 13:57:32,5,0,5,0,0
2015-03-20 13:57:33,5,0,0,0,0
2015-03-20 13:57:34,5,0,0,0,0
2015-03-20 13:57:35,5,0,0,2,0
2015-03-20 13:57:36,5,0,0,2,0
2015-03-20 13:57:37,5,0,0,2,0
2015-03-20 13:57:38,5,0,0,2,0
2015-03-20 13:57:39,2,0,0,8,0
2015-03-20 13:57:40,2,0,0,4,0
2015-03-20 13:57:41,2,0,0,4,0
2015-03-20 13:57:42,4,0,0,2,0
2015-03-20 13:57:43,4,0,0,4,0
2015-03-20 13:57:44,4,0,0,8,0
2015-03-20 13:57:45,4,0,0,8,0
2015-03-20 13:57:46,4,0,0,8,0
2015-03-20 13:57:47,3,0,0,4,0
2015-03-20 13:57:48,0,0,0,4,0
2015-03-20 13:57:49,0,0,0,4,0
2015-03-20 13:57:50,0,0,0,4,0
2015-03-20 13:57:51,0,0,0,4,0
2015-03-20 13:57:52,0,0,0,4,0
2015-03-20 13:57:53,0,0,0,8,0
2015-03-20 13:57:54,0,0,0,5,0
2015-03-20 13:57:55,0,0,0,5,0
2015-03-20 13:57:56,0,0,0,5,0
2015-03-20 13:57:57,0,0,0,5,0
2015-03-20 13:57:58,0,0,0,5,0
2015-03-20 13:57:59,0,0,0,5,0
2015-03-20 13:58:00,0,0,0,5,0
2015-03-20 13:58:01,0,0,0,2,0
2015-03-20 13:58:02,0,0,2,2,0
2015-03-20 13:58:03,0,0,2,0,0
2015-03-20 13:58:04,0,0,2,0,0
2015-03-20 13:58:05,2,0,2,0,0
2015-03-20 13:58:06,6,0,2,0,0
2015-03-20 13:58:07,8,0,0,0,0
2015-03-20 13:58:08,8,0,0,0,0
2015-03-20 13:58:09,8,0,0,0,0
2015-03-20 13:58:10,8,0,0,0,0
2015-03-20 13:58:11,2,0,0,0,0
2015-03-20 13:58:12,8,0,0,0,0
2015-03-20 13:58:13,5,0,0,0,0
2015-03-20 13:58:14,7,0,0,0,0
2015-03-20 13:58:15,7,0,0,0,0
2015-03-20 13:58:16,7,0,0,0,0
2015-03-20 13:58:17,7,0,0,4,0
2015-03-20 13:58:18,5,0,0,6,0
2015-03-20 13:58:19,5,0,0,6,0
2015-03-20 13:58:20,0,0,0,6,0
2015-03-20 13:58:21,0,0,0,6,0
2015-03-20 13:58:22,0,0,0,8,0
2015-03-20 13:58:23,0,0,0,0,0
2015-03-20 13:58:24,0,0,0,0,0
2015-03-20 13:58:25,0,0,0,0,0
2015-03-20 13:58:26,0,0,0,0,0
2015-03-20 13:58:27,0,0,0,0,0
2015-03-20 13:58:28,0,0,0,0,0
2015-03-20 13:58:29,0,0,0,0,0
2015-03-20 13:58:30,0,0,0,0,0
2015-03-20 13:58:31,0,0,0,0,0
2015-03-20 13:58:32,0,0,0,7,0
2015-03-20 13:58:33,0,0,0,7,0
2015-03-20 13:58:34,0,0,0,4,0
2015-03-20 13:58:35,0,0,0,4,0
2015-03-20 13:58:36,0,0,0,4,0
2015-03-20 13:58:37,0,0,0,7,0
2015-03-20 13:58:38,0,0,0,7,0
2015-03-20 13:58:39,0,0,0,7,0
2015-03-20 13:58:40,0,0,0,7,0
2015-03-20 13:58:41,0,0,0,7,0
2015-03-20 13:58:42,0,0,0,7,0
2015-03-20 13:58:43,7,0,0,7,0
2015-03-20 13:58:44,6,0,0,7,0
2015-03-20 13:58:45,8,0,0,4,0
2015-03-20 13:58:46,8,0,0,4,0
2015-03-20 13:58:47,8,0,0,4,0
2015-03-20 13:58:48,2,0,0,3,0
2015-03-20 13:58:49,2,0,0,2,0
2015-03-20 13:58:50,2,0,0,0,0
2015-03-20 13:58:51,2,0,0,0,0
2015-03-20 13:58:52,2,0,0,0,0
2015-03-20 13:58:53,2,0,0,0,0
2015-03-20 13:58:54,2,2,0,0,0
2015-03-20 13:58:55,2,2,0,0,0
2015-03-20 13:58:56,2,2,0,0,0
2015-03-20 13:58:57,2,2,2,0,0
2015-03-20 13:58:58,2,2,2,0,0
2015-03-20 13:58:59,2,2,2,0,0
2015-03-20 13:59:00,2,2,2,0,0
2015-03-20 13:59:01,2,2,2,0,0
2015-03-20 13:59:02,2,2,2,0,0
2015-03-20 13:59:03,2,0,2,0,0
2015-03-20 13:59:04,1,0,2,0,0
2015-03-20 13:59:05,2,0,1,0,0
2015-03-20 13:59:06,2,0,1,0,0
2015-03-20 13:59:07,2,0,1,0,0
2015-03-20 13:59:08,2,0,3,0,0
2015-03-20 13:59:09,2,2,3,0,0
2015-03-20 13:59:10,6,2,3,0,0
2015-03-20 13:59:11,0,2,3,0,0
2015-03-20 13:59:12,2,4,2,2,0
2015-03-20 13:59:13,2,4,2,2,3
2015-03-20 13:59:14,2,4,2,2,4
2015-03-20 13:59:15,2,4,2,4,4
2015-03-20 13:59:16,3,4,2,4,0
2015-03-20 13:59:17,3,0,2,4,0
2015-03-20 13:59:18,3,0,2,4,0
2015-03-20 13:59:19,4,0,2,4,0
2015-03-20 13:59:20,4,0,2,4,0
2015-03-20 13:59:21,3,0,2,4,0
2015-03-20 13:59:22,2,0,2,4,0
2015-03-20 13:59:23,0,4,2,4,0
2015-03-20 13:59:24,0,4,0,0,0
2015-03-20 13:59:25,0,4,0,0,0
2015-03-20 13:59:26,0,4,0,0,0
2015-03-20 13:59:27,0,4,0,0,0
2015-03-20 13:59:28,0,5,0,0,0
2015-03-20 13:59:29,0,3,0,0,0
2015-03-20 13:59:30,0,4,0,0,0
2015-03-20 13:59:31,0,3,2,0,0
2015-03-20 13:59:32,0,3,2,0,0
2015-03-20 13:59:33,0,3,2,0,0
2015-03-20 13:59:34,0,3,2,7,0
2015-03-20 13:59:35,6,3,2,7,0
2015-03-20 13:59:36,6,3,0,7,0
2015-03-20 13:59:37,6,3,0,7,0
2015-03-20 13:59:38,6,3,0,4,0
2015-03-20 13:59:39,8,2,0,4,0
2015-03-20 13:59:40,8,0,0,3,0
2015-03-20 13:59:41,4,0,0,3,0
2015-03-20 13:59:42,4,0,0,3,0
2015-03-20 13:59:43,4,4,2,3,0
2015-03-20 13:59:44,4,3,6,4,0
2015-03-20 13:59:45,4,3,7,4,0
2015-03-20 13:59:46,0,4,7,4,0
2015-03-20 13:59:47,0,4,7,4,0
2015-03-20 13:59:48,0,4,7,4,0
2015-03-20 13:59:49,0,3,8,4,0
2015-03-20 13:59:50,0,3,0,4,0
2015-03-20 13:59:51,0,0,0,0,0
2015-03-20 13:59:52,0,0,0,0,0
2015-03-20 13:59:53,0,0,0,0,0
