time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 12:01:11,0,6
2015-06-03 12:01:12,0,8
2015-06-03 12:01:13,0,8
2015-06-03 12:01:14,0,8
2015-06-03 12:01:15,0,8
2015-06-03 12:01:16,0,8
2015-06-03 12:01:17,0,8
2015-06-03 12:01:18,0,6
2015-06-03 12:01:19,0,6
2015-06-03 12:01:20,0,6
2015-06-03 12:01:21,0,6
2015-06-03 12:01:22,0,6
2015-06-03 12:01:23,0,6
2015-06-03 12:01:24,0,6
2015-06-03 12:01:25,0,6
2015-06-03 12:01:26,0,4
2015-06-03 12:01:27,0,4
2015-06-03 12:01:28,0,4
2015-06-03 12:01:29,0,6
2015-06-03 12:01:30,0,6
2015-06-03 12:01:31,0,7
2015-06-03 12:01:32,0,7
2015-06-03 12:01:33,0,7
2015-06-03 12:01:34,0,7
2015-06-03 12:01:35,0,6
2015-06-03 12:01:36,0,6
2015-06-03 12:01:37,0,6
2015-06-03 12:01:38,0,6
2015-06-03 12:01:39,0,6
2015-06-03 12:01:40,0,7
2015-06-03 12:01:41,0,7
2015-06-03 12:01:42,0,7
2015-06-03 12:01:43,0,4
2015-06-03 12:01:44,0,4
2015-06-03 12:01:45,0,4
2015-06-03 12:01:46,0,4
2015-06-03 12:01:47,0,4
2015-06-03 12:01:48,0,4
2015-06-03 12:01:49,0,4
2015-06-03 12:01:50,0,7
2015-06-03 12:01:51,0,4
2015-06-03 12:01:52,0,7
2015-06-03 12:01:53,0,7
2015-06-03 12:01:54,0,7
2015-06-03 12:01:55,0,7
2015-06-03 12:01:56,0,7
2015-06-03 12:01:57,0,7
2015-06-03 12:01:58,0,6
2015-06-03 12:01:59,0,6
2015-06-03 12:02:00,0,6
2015-06-03 12:02:01,0,4
2015-06-03 12:02:02,0,7
2015-06-03 12:02:03,0,7
2015-06-03 12:02:04,2,7
2015-06-03 12:02:05,2,0
2015-06-03 12:02:06,2,0
2015-06-03 12:02:07,2,0
2015-06-03 12:02:08,2,0
2015-06-03 12:02:09,0,7
2015-06-03 12:02:10,0,7
2015-06-03 12:02:11,0,7
2015-06-03 12:02:12,0,7
2015-06-03 12:02:13,0,7
2015-06-03 12:02:14,0,7
2015-06-03 12:02:15,0,7
2015-06-03 12:02:16,0,7
2015-06-03 12:02:17,0,7
2015-06-03 12:02:18,0,7
2015-06-03 12:02:19,0,7
2015-06-03 12:02:20,0,7
2015-06-03 12:02:21,0,7
2015-06-03 12:02:22,0,7
2015-06-03 12:02:23,0,7
2015-06-03 12:02:24,0,7
2015-06-03 12:02:25,0,7
2015-06-03 12:02:26,0,4
2015-06-03 12:02:27,0,4
2015-06-03 12:02:28,0,4
2015-06-03 12:02:29,0,4
2015-06-03 12:02:30,0,7
2015-06-03 12:02:31,0,7
2015-06-03 12:02:32,0,6
2015-06-03 12:02:33,0,7
2015-06-03 12:02:34,0,7
2015-06-03 12:02:35,0,4
2015-06-03 12:02:36,0,4
2015-06-03 12:02:37,0,4
2015-06-03 12:02:38,0,4
2015-06-03 12:02:39,0,0
2015-06-03 12:02:40,0,0
2015-06-03 12:02:41,0,4
2015-06-03 12:02:42,0,4
2015-06-03 12:02:43,0,4
2015-06-03 12:02:44,0,4
2015-06-03 12:02:45,0,4
2015-06-03 12:02:46,0,7
2015-06-03 12:02:47,0,7
2015-06-03 12:02:48,0,7
2015-06-03 12:02:49,0,7
2015-06-03 12:02:50,0,7
2015-06-03 12:02:51,0,7
2015-06-03 12:02:52,0,7
2015-06-03 12:02:53,0,7
2015-06-03 12:02:54,0,7
2015-06-03 12:02:55,0,7
2015-06-03 12:02:56,0,7
2015-06-03 12:02:57,0,7
2015-06-03 12:02:58,0,4
2015-06-03 12:02:59,0,4
2015-06-03 12:03:00,0,4
2015-06-03 12:03:01,4,4
2015-06-03 12:03:02,8,4
2015-06-03 12:03:03,8,4
2015-06-03 12:03:04,8,4
2015-06-03 12:03:05,8,7
2015-06-03 12:03:06,8,7
2015-06-03 12:03:07,8,7
2015-06-03 12:03:08,8,7
2015-06-03 12:03:09,8,7
2015-06-03 12:03:10,8,7
2015-06-03 12:03:11,3,7
2015-06-03 12:03:12,2,7
2015-06-03 12:03:13,2,7
2015-06-03 12:03:14,2,7
2015-06-03 12:03:15,2,7
2015-06-03 12:03:16,2,7
2015-06-03 12:03:17,0,7
2015-06-03 12:03:18,0,7
2015-06-03 12:03:19,0,7
2015-06-03 12:03:20,0,7
2015-06-03 12:03:21,0,7
2015-06-03 12:03:22,0,7
2015-06-03 12:03:23,0,7
2015-06-03 12:03:24,0,7
2015-06-03 12:03:25,0,7
2015-06-03 12:03:26,0,7
2015-06-03 12:03:27,0,7
2015-06-03 12:03:28,0,7
2015-06-03 12:03:29,0,7
2015-06-03 12:03:30,0,4
2015-06-03 12:03:31,0,5
2015-06-03 12:03:32,0,3
2015-06-03 12:03:33,0,0
2015-06-03 12:03:34,0,0
2015-06-03 12:03:35,0,0
2015-06-03 12:03:36,0,0
2015-06-03 12:03:37,0,0
2015-06-03 12:03:38,0,0
2015-06-03 12:03:39,0,4
2015-06-03 12:03:40,0,4
2015-06-03 12:03:41,0,5
2015-06-03 12:03:42,0,5
2015-06-03 12:03:43,0,5
2015-06-03 12:03:44,0,8
2015-06-03 12:03:45,0,2
2015-06-03 12:03:46,0,2
2015-06-03 12:03:47,0,2
2015-06-03 12:03:48,0,0
2015-06-03 12:03:49,0,0
2015-06-03 12:03:50,0,0
2015-06-03 12:03:51,0,0
2015-06-03 12:03:52,0,0
2015-06-03 12:03:53,0,0
2015-06-03 12:03:54,0,0
2015-06-03 12:03:55,0,0
2015-06-03 12:03:56,0,0
2015-06-03 12:03:57,0,0
2015-06-03 12:03:58,0,0
2015-06-03 12:03:59,0,0
2015-06-03 12:04:00,0,0
2015-06-03 12:04:01,0,0
2015-06-03 12:04:02,0,0
2015-06-03 12:04:03,0,0
2015-06-03 12:04:04,0,0
2015-06-03 12:04:05,0,0
2015-06-03 12:04:06,0,0
2015-06-03 12:04:07,0,0
2015-06-03 12:04:08,0,0
2015-06-03 12:04:09,0,0
2015-06-03 12:04:10,0,0
2015-06-03 12:04:11,0,0
2015-06-03 12:04:12,0,0
2015-06-03 12:04:13,0,0
2015-06-03 12:04:14,0,0
2015-06-03 12:04:15,0,0
2015-06-03 12:04:16,0,0
2015-06-03 12:04:17,0,0
2015-06-03 12:04:18,0,0
2015-06-03 12:04:19,0,0
2015-06-03 12:04:20,0,0
2015-06-03 12:04:21,0,0
2015-06-03 12:04:22,0,0
2015-06-03 12:04:23,0,0
2015-06-03 12:04:24,0,0
2015-06-03 12:04:25,0,0
2015-06-03 12:04:26,0,0
2015-06-03 12:04:27,0,0
2015-06-03 12:04:28,0,0
2015-06-03 12:04:29,0,0
2015-06-03 12:04:30,0,0
2015-06-03 12:04:31,0,0
2015-06-03 12:04:32,0,0
2015-06-03 12:04:33,0,0
2015-06-03 12:04:34,0,0
2015-06-03 12:04:35,0,0
2015-06-03 12:04:36,0,0
2015-06-03 12:04:37,0,0
2015-06-03 12:04:38,0,0
2015-06-03 12:04:39,0,0
2015-06-03 12:04:40,0,0
2015-06-03 12:04:41,0,0
2015-06-03 12:04:42,0,0
2015-06-03 12:04:43,0,0
2015-06-03 12:04:44,0,0
2015-06-03 12:04:45,0,0
2015-06-03 12:04:46,0,0
2015-06-03 12:04:47,0,0
2015-06-03 12:04:48,0,0
2015-06-03 12:04:49,0,0
2015-06-03 12:04:50,0,0
2015-06-03 12:04:51,0,0
2015-06-03 12:04:52,0,0
2015-06-03 12:04:53,0,0
2015-06-03 12:04:54,0,0
2015-06-03 12:04:55,0,0
2015-06-03 12:04:56,0,0
2015-06-03 12:04:57,0,0
2015-06-03 12:04:58,0,0
2015-06-03 12:04:59,0,0
2015-06-03 12:05:00,0,0
2015-06-03 12:05:01,0,0
2015-06-03 12:05:02,0,0
2015-06-03 12:05:03,0,0
2015-06-03 12:05:04,0,0
2015-06-03 12:05:05,0,0
2015-06-03 12:05:06,0,0
2015-06-03 12:05:07,0,0
2015-06-03 12:05:08,0,0
2015-06-03 12:05:09,0,0
2015-06-03 12:05:10,0,0
2015-06-03 12:05:11,0,0
2015-06-03 12:05:12,0,0
2015-06-03 12:05:13,0,0
2015-06-03 12:05:14,0,0
2015-06-03 12:05:15,0,0
2015-06-03 12:05:16,0,0
2015-06-03 12:05:17,0,0
2015-06-03 12:05:18,0,0
2015-06-03 12:05:19,0,0
2015-06-03 12:05:20,0,0
2015-06-03 12:05:21,0,0
2015-06-03 12:05:22,0,0
2015-06-03 12:05:23,0,0
2015-06-03 12:05:24,0,0
2015-06-03 12:05:25,0,0
2015-06-03 12:05:26,0,0
2015-06-03 12:05:27,0,0
2015-06-03 12:05:28,0,0
2015-06-03 12:05:29,0,0
2015-06-03 12:05:30,0,0
2015-06-03 12:05:31,0,0
2015-06-03 12:05:32,0,0
2015-06-03 12:05:33,0,0
2015-06-03 12:05:34,0,0
2015-06-03 12:05:35,0,0
2015-06-03 12:05:36,0,0
2015-06-03 12:05:37,0,0
2015-06-03 12:05:38,0,0
2015-06-03 12:05:39,0,0
2015-06-03 12:05:40,0,0
2015-06-03 12:05:41,0,0
2015-06-03 12:05:42,0,0
2015-06-03 12:05:43,0,0
2015-06-03 12:05:44,0,0
2015-06-03 12:05:45,0,0
2015-06-03 12:05:46,0,0
2015-06-03 12:05:47,0,0
2015-06-03 12:05:48,0,0
2015-06-03 12:05:49,0,0
2015-06-03 12:05:50,0,0
2015-06-03 12:05:51,0,0
2015-06-03 12:05:52,0,0
2015-06-03 12:05:53,0,0
2015-06-03 12:05:54,0,0
2015-06-03 12:05:55,0,0
2015-06-03 12:05:56,0,0
2015-06-03 12:05:57,0,0
2015-06-03 12:05:58,0,0
2015-06-03 12:05:59,0,0
2015-06-03 12:06:00,0,0
2015-06-03 12:06:01,0,0
2015-06-03 12:06:02,0,0
2015-06-03 12:06:03,0,0
2015-06-03 12:06:04,0,0
2015-06-03 12:06:05,0,0
2015-06-03 12:06:06,0,0
2015-06-03 12:06:07,0,0
2015-06-03 12:06:08,0,0
2015-06-03 12:06:09,0,0
2015-06-03 12:06:10,0,0
2015-06-03 12:06:11,0,0
2015-06-03 12:06:12,0,0
2015-06-03 12:06:13,0,0
2015-06-03 12:06:14,0,0
2015-06-03 12:06:15,0,0
2015-06-03 12:06:16,0,0
2015-06-03 12:06:17,0,0
2015-06-03 12:06:18,0,0
2015-06-03 12:06:19,0,0
2015-06-03 12:06:20,0,0
2015-06-03 12:06:21,0,0
2015-06-03 12:06:22,6,0
2015-06-03 12:06:23,5,0
2015-06-03 12:06:24,5,0
2015-06-03 12:06:25,7,0
2015-06-03 12:06:26,7,0
2015-06-03 12:06:27,8,0
2015-06-03 12:06:28,8,0
2015-06-03 12:06:29,8,0
2015-06-03 12:06:30,8,0
2015-06-03 12:06:31,8,0
2015-06-03 12:06:32,7,0
2015-06-03 12:06:33,8,0
2015-06-03 12:06:34,8,0
2015-06-03 12:06:35,8,2
2015-06-03 12:06:36,2,2
2015-06-03 12:06:37,2,2
2015-06-03 12:06:38,2,2
2015-06-03 12:06:39,8,2
2015-06-03 12:06:40,8,2
2015-06-03 12:06:41,8,2
2015-06-03 12:06:42,8,0
2015-06-03 12:06:43,6,0
2015-06-03 12:06:44,3,0
2015-06-03 12:06:45,2,0
2015-06-03 12:06:46,2,0
2015-06-03 12:06:47,2,0
2015-06-03 12:06:48,2,0
2015-06-03 12:06:49,2,0
