time,christina,jonathan,yvonne,charles
2014-04-28 18:52:07,0,0,0,0
2014-04-28 18:52:08,2,3,0,0
2014-04-28 18:52:09,2,1,2,0
2014-04-28 18:52:10,4,1,2,2
2014-04-28 18:52:11,7,1,2,3
2014-04-28 18:52:12,7,1,2,3
2014-04-28 18:52:13,7,1,2,3
2014-04-28 18:52:14,7,1,2,3
2014-04-28 18:52:15,7,0,2,3
2014-04-28 18:52:16,7,0,2,3
2014-04-28 18:52:17,8,1,2,3
2014-04-28 18:52:18,4,1,2,3
2014-04-28 18:52:19,8,1,2,3
2014-04-28 18:52:20,4,1,2,3
2014-04-28 18:52:21,3,1,2,3
2014-04-28 18:52:22,4,1,4,3
2014-04-28 18:52:23,2,3,4,3
2014-04-28 18:52:24,2,2,4,3
2014-04-28 18:52:25,2,0,4,0
2014-04-28 18:52:26,2,0,2,0
2014-04-28 18:52:27,2,0,2,0
2014-04-28 18:52:28,2,0,2,0
2014-04-28 18:52:29,2,0,2,0
2014-04-28 18:52:30,2,0,2,0
2014-04-28 18:52:31,2,0,2,0
2014-04-28 18:52:32,2,0,2,0
2014-04-28 18:52:33,2,0,2,0
2014-04-28 18:52:34,2,0,2,0
2014-04-28 18:52:35,2,0,2,0
2014-04-28 18:52:36,2,0,2,0
2014-04-28 18:52:37,2,0,2,0
2014-04-28 18:52:38,2,0,3,0
2014-04-28 18:52:39,2,0,3,0
2014-04-28 18:52:40,2,0,2,0
2014-04-28 18:52:41,2,0,2,0
2014-04-28 18:52:42,2,0,2,0
2014-04-28 18:52:43,2,0,2,0
2014-04-28 18:52:44,2,0,2,0
2014-04-28 18:52:45,2,0,5,0
2014-04-28 18:52:46,3,0,5,0
2014-04-28 18:52:47,3,0,5,0
2014-04-28 18:52:48,3,0,5,0
2014-04-28 18:52:49,1,0,2,0
2014-04-28 18:52:50,2,0,2,0
2014-04-28 18:52:51,2,0,2,0
2014-04-28 18:52:52,2,0,2,0
2014-04-28 18:52:53,2,0,0,0
2014-04-28 18:52:54,3,0,0,0
2014-04-28 18:52:55,3,0,7,0
2014-04-28 18:52:56,3,0,6,0
2014-04-28 18:52:57,3,0,6,0
2014-04-28 18:52:58,3,0,4,0
2014-04-28 18:52:59,3,0,4,0
2014-04-28 18:53:00,3,0,5,0
2014-04-28 18:53:01,3,0,5,0
2014-04-28 18:53:02,3,0,5,0
2014-04-28 18:53:03,3,0,5,0
2014-04-28 18:53:04,3,0,5,0
2014-04-28 18:53:05,3,0,2,0
2014-04-28 18:53:06,3,0,2,0
2014-04-28 18:53:07,3,0,2,0
2014-04-28 18:53:08,3,0,2,0
2014-04-28 18:53:09,2,0,2,0
2014-04-28 18:53:10,3,0,2,0
2014-04-28 18:53:11,2,0,2,0
2014-04-28 18:53:12,2,0,2,0
2014-04-28 18:53:13,3,0,4,0
2014-04-28 18:53:14,3,0,3,0
2014-04-28 18:53:15,4,0,3,0
2014-04-28 18:53:16,2,0,8,0
2014-04-28 18:53:17,2,0,8,0
2014-04-28 18:53:18,4,0,2,0
2014-04-28 18:53:19,4,0,2,0
2014-04-28 18:53:20,4,0,2,0
2014-04-28 18:53:21,4,0,0,0
2014-04-28 18:53:22,4,0,0,0
2014-04-28 18:53:23,4,0,0,0
2014-04-28 18:53:24,4,0,0,0
2014-04-28 18:53:25,4,0,0,0
2014-04-28 18:53:26,0,0,0,0
2014-04-28 18:53:27,2,0,0,0
2014-04-28 18:53:28,8,0,0,0
2014-04-28 18:53:29,4,0,0,0
2014-04-28 18:53:30,4,0,0,0
2014-04-28 18:53:31,7,0,0,0
