time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-01 18:36:49,7,4,2,2
2015-05-01 18:36:50,7,4,2,3
2015-05-01 18:36:51,7,4,2,3
2015-05-01 18:36:52,8,7,2,3
2015-05-01 18:36:53,8,4,2,5
2015-05-01 18:36:54,8,4,2,5
2015-05-01 18:36:55,8,4,2,7
2015-05-01 18:36:56,8,2,2,5
2015-05-01 18:36:57,8,2,2,7
2015-05-01 18:36:58,8,2,2,7
2015-05-01 18:36:59,8,2,2,7
2015-05-01 18:37:00,8,2,2,7
2015-05-01 18:37:01,8,2,2,7
2015-05-01 18:37:02,8,2,2,7
2015-05-01 18:37:03,8,2,2,7
2015-05-01 18:37:04,8,3,2,7
2015-05-01 18:37:05,8,4,2,7
2015-05-01 18:37:06,3,4,2,7
2015-05-01 18:37:07,3,7,2,7
2015-05-01 18:37:08,3,7,2,7
2015-05-01 18:37:09,3,7,2,4
2015-05-01 18:37:10,3,7,2,4
2015-05-01 18:37:11,3,7,2,7
2015-05-01 18:37:12,3,7,3,7
2015-05-01 18:37:13,3,7,3,7
2015-05-01 18:37:14,3,7,7,7
2015-05-01 18:37:15,3,7,8,7
2015-05-01 18:37:16,3,7,8,7
2015-05-01 18:37:17,3,7,8,7
2015-05-01 18:37:18,3,7,8,7
2015-05-01 18:37:19,8,7,8,7
2015-05-01 18:37:20,3,7,8,7
2015-05-01 18:37:21,4,7,8,7
2015-05-01 18:37:22,4,7,8,3
2015-05-01 18:37:23,4,7,8,4
2015-05-01 18:37:24,4,7,8,4
2015-05-01 18:37:25,4,6,8,4
2015-05-01 18:37:26,4,7,5,4
2015-05-01 18:37:27,4,7,5,4
2015-05-01 18:37:28,4,8,7,4
2015-05-01 18:37:29,3,8,7,4
2015-05-01 18:37:30,3,7,7,2
2015-05-01 18:37:31,1,7,4,2
2015-05-01 18:37:32,8,7,4,2
2015-05-01 18:37:33,8,7,4,2
2015-05-01 18:37:34,8,7,8,2
2015-05-01 18:37:35,8,7,8,4
2015-05-01 18:37:36,8,8,2,4
2015-05-01 18:37:37,8,7,2,4
2015-05-01 18:37:38,8,7,4,4
2015-05-01 18:37:39,3,8,4,4
2015-05-01 18:37:40,3,8,4,3
2015-05-01 18:37:41,3,8,4,2
2015-05-01 18:37:42,3,8,7,2
2015-05-01 18:37:43,3,8,7,2
2015-05-01 18:37:44,3,8,6,2
2015-05-01 18:37:45,8,8,6,2
2015-05-01 18:37:46,4,8,7,2
2015-05-01 18:37:47,4,8,7,2
2015-05-01 18:37:48,4,8,4,2
2015-05-01 18:37:49,4,8,4,1
2015-05-01 18:37:50,4,8,4,1
2015-05-01 18:37:51,4,8,4,1
2015-05-01 18:37:52,3,8,4,3
2015-05-01 18:37:53,3,8,3,3
2015-05-01 18:37:54,3,8,3,3
2015-05-01 18:37:55,4,7,3,3
2015-05-01 18:37:56,4,7,3,4
2015-05-01 18:37:57,4,7,3,4
2015-05-01 18:37:58,3,4,3,4
2015-05-01 18:37:59,8,4,3,4
2015-05-01 18:38:00,8,4,3,4
2015-05-01 18:38:01,8,4,3,4
2015-05-01 18:38:02,8,4,1,4
2015-05-01 18:38:03,8,4,1,4
2015-05-01 18:38:04,8,2,1,4
2015-05-01 18:38:05,8,2,1,0
2015-05-01 18:38:06,8,2,1,2
2015-05-01 18:38:07,8,2,3,2
2015-05-01 18:38:08,4,1,3,1
2015-05-01 18:38:09,7,1,3,1
2015-05-01 18:38:10,7,1,3,1
2015-05-01 18:38:11,7,1,2,1
2015-05-01 18:38:12,8,1,2,1
2015-05-01 18:38:13,8,2,2,1
2015-05-01 18:38:14,3,2,2,3
2015-05-01 18:38:15,3,2,2,3
2015-05-01 18:38:16,4,2,2,3
2015-05-01 18:38:17,4,2,4,3
2015-05-01 18:38:18,8,2,4,3
2015-05-01 18:38:19,3,2,3,1
2015-05-01 18:38:20,3,2,3,1
2015-05-01 18:38:21,3,2,3,1
2015-05-01 18:38:22,3,2,3,1
2015-05-01 18:38:23,1,2,1,1
2015-05-01 18:38:24,1,2,1,1
2015-05-01 18:38:25,1,2,1,3
2015-05-01 18:38:26,1,2,1,3
2015-05-01 18:38:27,1,2,1,3
2015-05-01 18:38:28,1,8,2,3
2015-05-01 18:38:29,1,8,2,3
2015-05-01 18:38:30,3,6,2,1
2015-05-01 18:38:31,1,5,2,3
2015-05-01 18:38:32,3,6,2,3
2015-05-01 18:38:33,2,6,2,1
2015-05-01 18:38:34,1,6,2,1
2015-05-01 18:38:35,2,6,2,3
2015-05-01 18:38:36,1,4,2,3
2015-05-01 18:38:37,2,4,2,3
2015-05-01 18:38:38,3,4,2,3
2015-05-01 18:38:39,4,4,2,3
2015-05-01 18:38:40,3,4,2,3
2015-05-01 18:38:41,3,3,2,1
2015-05-01 18:38:42,3,4,2,3
2015-05-01 18:38:43,3,4,2,3
2015-05-01 18:38:44,3,4,2,3
2015-05-01 18:38:45,3,4,2,3
2015-05-01 18:38:46,4,4,2,3
2015-05-01 18:38:47,3,4,2,4
2015-05-01 18:38:48,2,4,2,7
2015-05-01 18:38:49,1,2,2,8
2015-05-01 18:38:50,1,2,4,8
2015-05-01 18:38:51,3,2,4,7
2015-05-01 18:38:52,3,2,4,8
2015-05-01 18:38:53,3,2,4,8
2015-05-01 18:38:54,3,2,4,8
2015-05-01 18:38:55,2,2,4,8
2015-05-01 18:38:56,3,3,3,8
2015-05-01 18:38:57,3,4,4,8
2015-05-01 18:38:58,1,4,4,8
2015-05-01 18:38:59,3,4,4,8
2015-05-01 18:39:00,1,4,4,8
2015-05-01 18:39:01,1,4,4,8
2015-05-01 18:39:02,1,4,4,8
2015-05-01 18:39:03,3,4,4,4
2015-05-01 18:39:04,3,4,4,2
2015-05-01 18:39:05,3,4,4,2
2015-05-01 18:39:06,3,4,4,2
2015-05-01 18:39:07,3,4,4,2
2015-05-01 18:39:08,3,4,4,2
2015-05-01 18:39:09,3,4,4,2
2015-05-01 18:39:10,3,4,4,2
2015-05-01 18:39:11,3,4,4,2
2015-05-01 18:39:12,3,4,4,2
2015-05-01 18:39:13,3,4,4,2
2015-05-01 18:39:14,1,4,4,2
2015-05-01 18:39:15,5,4,4,2
2015-05-01 18:39:16,5,4,4,2
2015-05-01 18:39:17,5,4,4,2
2015-05-01 18:39:18,2,4,4,2
