time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:43:41,2,1,1,2
2015-05-08 15:43:42,2,1,1,2
2015-05-08 15:43:43,2,1,2,2
2015-05-08 15:43:44,2,2,2,2
2015-05-08 15:43:45,2,2,4,2
2015-05-08 15:43:46,3,2,4,2
2015-05-08 15:43:47,3,2,4,0
2015-05-08 15:43:48,3,2,7,2
2015-05-08 15:43:49,3,6,7,4
2015-05-08 15:43:50,4,7,7,4
2015-05-08 15:43:51,2,4,4,4
2015-05-08 15:43:52,8,3,4,4
2015-05-08 15:43:53,8,3,4,4
2015-05-08 15:43:54,8,3,4,4
2015-05-08 15:43:55,4,3,7,0
2015-05-08 15:43:56,4,3,6,0
2015-05-08 15:43:57,4,5,7,2
2015-05-08 15:43:58,7,2,7,4
2015-05-08 15:43:59,4,2,7,4
2015-05-08 15:44:00,4,5,8,7
2015-05-08 15:44:01,4,5,4,7
2015-05-08 15:44:02,7,5,4,7
2015-05-08 15:44:03,4,5,4,7
2015-05-08 15:44:04,4,5,4,7
2015-05-08 15:44:05,7,8,4,0
2015-05-08 15:44:06,7,8,7,0
2015-05-08 15:44:07,4,8,7,0
2015-05-08 15:44:08,0,8,7,0
2015-05-08 15:44:09,0,8,7,2
2015-05-08 15:44:10,0,3,7,2
2015-05-08 15:44:11,2,3,8,2
2015-05-08 15:44:12,2,3,2,2
2015-05-08 15:44:13,2,3,5,2
2015-05-08 15:44:14,2,0,5,3
2015-05-08 15:44:15,7,0,7,3
2015-05-08 15:44:16,2,0,7,1
2015-05-08 15:44:17,2,2,7,1
2015-05-08 15:44:18,3,2,7,1
2015-05-08 15:44:19,3,3,8,1
2015-05-08 15:44:20,3,1,3,1
2015-05-08 15:44:21,3,1,3,1
2015-05-08 15:44:22,3,1,1,1
2015-05-08 15:44:23,3,8,1,1
2015-05-08 15:44:24,3,8,1,1
2015-05-08 15:44:25,3,8,1,1
2015-05-08 15:44:26,3,1,1,1
2015-05-08 15:44:27,3,1,1,1
2015-05-08 15:44:28,3,1,1,1
2015-05-08 15:44:29,3,1,3,1
2015-05-08 15:44:30,4,3,3,1
2015-05-08 15:44:31,4,3,3,1
2015-05-08 15:44:32,4,3,3,1
2015-05-08 15:44:33,4,3,3,1
2015-05-08 15:44:34,4,2,3,1
2015-05-08 15:44:35,4,2,3,1
2015-05-08 15:44:36,4,2,3,1
2015-05-08 15:44:37,4,2,2,1
2015-05-08 15:44:38,4,2,1,1
2015-05-08 15:44:39,8,8,1,1
2015-05-08 15:44:40,4,8,3,1
2015-05-08 15:44:41,4,7,3,1
2015-05-08 15:44:42,8,7,3,1
2015-05-08 15:44:43,8,7,3,1
2015-05-08 15:44:44,3,7,8,1
2015-05-08 15:44:45,7,7,8,1
2015-05-08 15:44:46,4,7,7,3
2015-05-08 15:44:47,7,7,7,3
2015-05-08 15:44:48,7,7,7,3
2015-05-08 15:44:49,4,8,7,3
2015-05-08 15:44:50,4,8,7,3
2015-05-08 15:44:51,2,8,7,1
2015-05-08 15:44:52,2,8,7,3
2015-05-08 15:44:53,2,1,7,2
2015-05-08 15:44:54,4,8,7,2
2015-05-08 15:44:55,2,8,4,2
2015-05-08 15:44:56,2,8,3,2
2015-05-08 15:44:57,2,8,1,2
2015-05-08 15:44:58,2,8,1,2
2015-05-08 15:44:59,3,8,1,2
2015-05-08 15:45:00,3,1,1,3
2015-05-08 15:45:01,1,0,1,3
2015-05-08 15:45:02,3,0,1,3
2015-05-08 15:45:03,3,0,1,3
2015-05-08 15:45:04,3,0,1,3
2015-05-08 15:45:05,3,0,1,2
2015-05-08 15:45:06,3,0,1,2
2015-05-08 15:45:07,3,2,1,2
2015-05-08 15:45:08,8,2,1,2
2015-05-08 15:45:09,4,3,1,2
2015-05-08 15:45:10,4,3,1,2
2015-05-08 15:45:11,2,3,1,2
2015-05-08 15:45:12,4,3,8,2
2015-05-08 15:45:13,3,3,8,2
2015-05-08 15:45:14,3,8,8,2
2015-05-08 15:45:15,3,0,8,2
2015-05-08 15:45:16,3,0,8,2
2015-05-08 15:45:17,2,0,8,0
2015-05-08 15:45:18,2,0,8,0
2015-05-08 15:45:19,4,2,8,0
2015-05-08 15:45:20,7,2,8,2
2015-05-08 15:45:21,7,2,8,2
2015-05-08 15:45:22,7,2,8,2
2015-05-08 15:45:23,7,2,8,2
2015-05-08 15:45:24,3,2,8,2
