time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 15:13:55,0,0,0,0
2015-06-22 15:13:56,1,2,2,0
2015-06-22 15:13:57,1,2,2,0
2015-06-22 15:13:58,2,2,2,2
2015-06-22 15:13:59,2,6,2,2
2015-06-22 15:14:00,2,5,2,2
2015-06-22 15:14:01,2,5,8,2
2015-06-22 15:14:02,2,5,6,2
2015-06-22 15:14:03,5,5,6,2
2015-06-22 15:14:04,5,5,7,1
2015-06-22 15:14:05,1,5,7,1
2015-06-22 15:14:06,1,7,7,1
2015-06-22 15:14:07,1,7,7,1
2015-06-22 15:14:08,2,7,7,1
2015-06-22 15:14:09,2,7,7,3
2015-06-22 15:14:10,2,7,7,3
2015-06-22 15:14:11,2,7,4,2
2015-06-22 15:14:12,2,7,4,2
2015-06-22 15:14:13,2,4,4,2
2015-06-22 15:14:14,1,3,3,2
2015-06-22 15:14:15,1,3,3,2
2015-06-22 15:14:16,1,3,3,2
2015-06-22 15:14:17,1,8,3,1
2015-06-22 15:14:18,1,8,2,1
2015-06-22 15:14:19,3,7,3,1
2015-06-22 15:14:20,3,8,3,1
2015-06-22 15:14:21,3,7,2,1
2015-06-22 15:14:22,3,7,2,1
2015-06-22 15:14:23,3,7,2,1
2015-06-22 15:14:24,3,7,2,1
2015-06-22 15:14:25,3,7,2,1
2015-06-22 15:14:26,3,7,2,1
2015-06-22 15:14:27,3,7,2,1
2015-06-22 15:14:28,1,7,2,2
2015-06-22 15:14:29,1,7,2,1
2015-06-22 15:14:30,3,5,3,1
2015-06-22 15:14:31,3,5,1,1
2015-06-22 15:14:32,3,5,1,1
2015-06-22 15:14:33,3,7,1,1
2015-06-22 15:14:34,3,7,1,2
2015-06-22 15:14:35,3,7,1,2
2015-06-22 15:14:36,3,7,1,2
2015-06-22 15:14:37,3,4,1,2
2015-06-22 15:14:38,3,4,1,2
2015-06-22 15:14:39,3,4,1,2
2015-06-22 15:14:40,3,3,1,2
2015-06-22 15:14:41,3,1,1,2
2015-06-22 15:14:42,4,1,1,2
2015-06-22 15:14:43,3,1,1,2
2015-06-22 15:14:44,1,1,1,2
2015-06-22 15:14:45,1,1,1,2
2015-06-22 15:14:46,1,3,1,1
2015-06-22 15:14:47,1,7,1,1
2015-06-22 15:14:48,1,7,1,1
2015-06-22 15:14:49,1,7,1,1
2015-06-22 15:14:50,2,7,1,3
2015-06-22 15:14:51,2,7,1,3
2015-06-22 15:14:52,3,7,1,1
2015-06-22 15:14:53,4,7,1,3
2015-06-22 15:14:54,4,6,1,3
2015-06-22 15:14:55,4,4,1,3
2015-06-22 15:14:56,4,4,1,3
2015-06-22 15:14:57,3,4,1,2
2015-06-22 15:14:58,0,1,1,2
2015-06-22 15:14:59,2,1,3,2
2015-06-22 15:15:00,2,1,3,2
2015-06-22 15:15:01,3,1,3,2
2015-06-22 15:15:02,1,1,3,2
2015-06-22 15:15:03,3,1,3,2
