time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:37:56,8,8,8,8
2015-04-29 18:37:57,8,8,8,8
2015-04-29 18:37:58,8,8,8,8
2015-04-29 18:37:59,8,8,8,8
2015-04-29 18:38:00,8,8,8,8
2015-04-29 18:38:01,8,8,8,8
2015-04-29 18:38:02,8,8,8,8
2015-04-29 18:38:03,8,8,8,8
2015-04-29 18:38:04,8,8,8,7
2015-04-29 18:38:05,8,8,8,7
2015-04-29 18:38:06,8,8,8,7
2015-04-29 18:38:07,8,8,8,7
2015-04-29 18:38:08,8,8,8,7
2015-04-29 18:38:09,8,8,8,7
2015-04-29 18:38:10,8,8,8,7
2015-04-29 18:38:11,8,8,8,7
2015-04-29 18:38:12,3,8,8,4
2015-04-29 18:38:13,4,6,7,4
2015-04-29 18:38:14,0,4,4,4
2015-04-29 18:38:15,0,4,4,4
2015-04-29 18:38:16,0,4,4,0
2015-04-29 18:38:17,2,2,2,0
2015-04-29 18:38:18,2,2,2,0
2015-04-29 18:38:19,2,2,2,0
2015-04-29 18:38:20,2,2,2,0
2015-04-29 18:38:21,2,2,2,0
2015-04-29 18:38:22,0,2,2,2
2015-04-29 18:38:23,0,2,2,2
2015-04-29 18:38:24,0,2,3,2
2015-04-29 18:38:25,0,2,2,2
2015-04-29 18:38:26,0,2,3,2
2015-04-29 18:38:27,0,2,3,2
2015-04-29 18:38:28,0,2,3,2
2015-04-29 18:38:29,0,2,3,2
2015-04-29 18:38:30,0,2,1,2
2015-04-29 18:38:31,0,2,3,2
2015-04-29 18:38:32,0,3,1,2
2015-04-29 18:38:33,0,3,1,2
2015-04-29 18:38:34,0,4,1,2
2015-04-29 18:38:35,0,3,1,2
2015-04-29 18:38:36,0,3,1,2
2015-04-29 18:38:37,0,3,3,2
2015-04-29 18:38:38,0,3,3,2
2015-04-29 18:38:39,0,3,3,2
2015-04-29 18:38:40,0,3,3,2
2015-04-29 18:38:41,0,3,3,2
2015-04-29 18:38:42,0,3,1,2
2015-04-29 18:38:43,0,3,1,2
2015-04-29 18:38:44,0,4,1,2
2015-04-29 18:38:45,0,3,3,2
2015-04-29 18:38:46,0,3,3,2
2015-04-29 18:38:47,0,2,3,2
2015-04-29 18:38:48,0,2,4,2
2015-04-29 18:38:49,0,2,4,2
2015-04-29 18:38:50,0,2,4,2
2015-04-29 18:38:51,2,2,4,2
2015-04-29 18:38:52,2,2,4,2
2015-04-29 18:38:53,2,2,3,2
2015-04-29 18:38:54,2,2,3,2
2015-04-29 18:38:55,2,2,3,2
2015-04-29 18:38:56,2,2,3,0
2015-04-29 18:38:57,2,2,3,2
2015-04-29 18:38:58,2,2,3,2
2015-04-29 18:38:59,2,2,3,2
2015-04-29 18:39:00,2,2,3,2
2015-04-29 18:39:01,2,2,3,2
2015-04-29 18:39:02,2,3,3,2
2015-04-29 18:39:03,2,3,3,2
2015-04-29 18:39:04,2,3,3,2
2015-04-29 18:39:05,2,3,3,2
2015-04-29 18:39:06,2,3,3,2
2015-04-29 18:39:07,2,3,1,2
2015-04-29 18:39:08,2,3,3,2
