time,jonathan,christina,charles,yvonne
2013-05-04 13:21:47,0,0,0,0
2013-05-04 13:21:48,2,0,0,0
2013-05-04 13:21:49,4,0,0,0
2013-05-04 13:21:50,4,0,0,0
2013-05-04 13:21:51,4,0,0,0
2013-05-04 13:21:52,4,0,0,0
2013-05-04 13:21:53,4,0,0,0
2013-05-04 13:21:54,4,0,0,0
2013-05-04 13:21:55,0,0,0,0
2013-05-04 13:21:56,0,0,0,0
2013-05-04 13:21:57,0,0,0,0
2013-05-04 13:21:58,0,0,0,0
2013-05-04 13:21:59,0,0,0,0
2013-05-04 13:22:00,0,0,0,0
2013-05-04 13:22:01,0,0,0,0
2013-05-04 13:22:02,0,0,0,0
2013-05-04 13:22:03,0,0,0,0
2013-05-04 13:22:04,0,0,0,0
2013-05-04 13:22:05,0,0,0,0
2013-05-04 13:22:06,0,0,0,0
2013-05-04 13:22:07,0,0,0,0
2013-05-04 13:22:08,0,0,0,0
2013-05-04 13:22:09,0,0,0,0
2013-05-04 13:22:10,0,0,0,0
2013-05-04 13:22:11,0,0,0,0
2013-05-04 13:22:12,0,0,0,0
2013-05-04 13:22:13,0,0,0,0
2013-05-04 13:22:14,0,0,0,0
2013-05-04 13:22:15,0,0,0,0
2013-05-04 13:22:16,0,0,0,0
2013-05-04 13:22:17,0,0,0,0
2013-05-04 13:22:18,0,0,0,0
2013-05-04 13:22:19,4,0,0,0
2013-05-04 13:22:20,4,0,0,0
2013-05-04 13:22:21,4,0,0,0
2013-05-04 13:22:22,4,0,0,0
2013-05-04 13:22:23,4,0,0,0
2013-05-04 13:22:24,2,0,0,0
2013-05-04 13:22:25,2,0,0,0
2013-05-04 13:22:26,0,0,0,0
2013-05-04 13:22:27,0,0,0,0
2013-05-04 13:22:28,0,0,0,0
2013-05-04 13:22:29,0,0,0,0
2013-05-04 13:22:30,0,0,0,0
2013-05-04 13:22:31,0,0,0,0
2013-05-04 13:22:32,0,0,0,0
2013-05-04 13:22:33,0,0,0,0
2013-05-04 13:22:34,0,0,0,0
2013-05-04 13:22:35,0,0,0,0
2013-05-04 13:22:36,0,0,0,0
2013-05-04 13:22:37,0,0,0,0
2013-05-04 13:22:38,0,0,0,0
2013-05-04 13:22:39,0,0,0,0
2013-05-04 13:22:40,0,0,0,0
2013-05-04 13:22:41,0,0,0,0
2013-05-04 13:22:42,0,0,0,0
2013-05-04 13:22:43,0,0,0,0
2013-05-04 13:22:44,0,0,0,0
2013-05-04 13:22:45,0,0,0,0
2013-05-04 13:22:46,0,0,0,0
2013-05-04 13:22:47,0,0,0,0
2013-05-04 13:22:48,0,0,0,0
2013-05-04 13:22:49,0,0,0,0
2013-05-04 13:22:50,0,0,0,0
2013-05-04 13:22:51,0,0,0,0
2013-05-04 13:22:52,0,0,0,0
2013-05-04 13:22:53,0,0,0,0
2013-05-04 13:22:54,0,0,0,0
2013-05-04 13:22:55,0,0,0,0
2013-05-04 13:22:56,2,0,0,0
2013-05-04 13:22:57,2,0,0,0
2013-05-04 13:22:58,2,0,0,0
2013-05-04 13:22:59,2,0,0,0
2013-05-04 13:23:00,2,0,0,0
2013-05-04 13:23:01,2,0,0,0
2013-05-04 13:23:02,2,0,0,0
2013-05-04 13:23:03,2,0,0,0
2013-05-04 13:23:04,0,0,0,0
2013-05-04 13:23:05,0,0,0,0
2013-05-04 13:23:06,0,0,0,0
2013-05-04 13:23:07,0,0,0,0
2013-05-04 13:23:08,0,0,0,0
2013-05-04 13:23:09,0,0,0,0
2013-05-04 13:23:10,0,0,0,0
2013-05-04 13:23:11,0,0,0,0
2013-05-04 13:23:12,0,0,0,0
2013-05-04 13:23:13,0,0,0,0
2013-05-04 13:23:14,0,0,0,0
2013-05-04 13:23:15,0,0,0,0
2013-05-04 13:23:16,0,0,0,0
2013-05-04 13:23:17,0,0,0,0
2013-05-04 13:23:18,0,0,0,0
2013-05-04 13:23:19,0,0,0,0
2013-05-04 13:23:20,0,0,0,0
2013-05-04 13:23:21,0,0,0,0
2013-05-04 13:23:22,0,0,0,0
2013-05-04 13:23:23,0,0,0,0
2013-05-04 13:23:24,0,0,0,0
2013-05-04 13:23:25,0,0,0,0
2013-05-04 13:23:26,0,0,0,0
2013-05-04 13:23:27,0,0,0,0
2013-05-04 13:23:28,0,0,0,0
2013-05-04 13:23:29,0,0,0,0
2013-05-04 13:23:30,0,0,0,0
2013-05-04 13:23:31,0,0,0,0
2013-05-04 13:23:32,0,0,0,0
2013-05-04 13:23:33,0,0,0,0
2013-05-04 13:23:34,0,0,0,0
2013-05-04 13:23:35,0,2,0,0
2013-05-04 13:23:36,0,2,0,0
2013-05-04 13:23:37,0,2,0,0
2013-05-04 13:23:38,0,2,0,0
2013-05-04 13:23:39,0,2,0,0
2013-05-04 13:23:40,0,0,0,0
2013-05-04 13:23:41,0,0,0,0
2013-05-04 13:23:42,0,0,0,0
2013-05-04 13:23:43,0,0,0,0
2013-05-04 13:23:44,0,0,0,0
2013-05-04 13:23:45,0,0,0,0
2013-05-04 13:23:46,0,0,0,0
2013-05-04 13:23:47,0,0,0,0
2013-05-04 13:23:48,0,0,0,0
2013-05-04 13:23:49,0,0,0,0
2013-05-04 13:23:50,0,0,0,0
2013-05-04 13:23:51,0,0,0,0
2013-05-04 13:23:52,0,0,0,0
2013-05-04 13:23:53,0,0,0,0
2013-05-04 13:23:54,0,0,0,0
2013-05-04 13:23:55,0,0,0,0
2013-05-04 13:23:56,0,0,0,0
2013-05-04 13:23:57,0,0,0,0
2013-05-04 13:23:58,0,2,0,0
2013-05-04 13:23:59,0,7,0,0
2013-05-04 13:24:00,0,7,0,0
2013-05-04 13:24:01,0,7,0,0
2013-05-04 13:24:02,0,7,0,0
2013-05-04 13:24:03,0,7,0,0
2013-05-04 13:24:04,0,7,0,0
2013-05-04 13:24:05,0,7,0,0
2013-05-04 13:24:06,0,7,0,0
2013-05-04 13:24:07,0,7,0,0
2013-05-04 13:24:08,2,7,0,0
2013-05-04 13:24:09,2,7,0,0
2013-05-04 13:24:10,2,7,0,0
2013-05-04 13:24:11,2,7,0,0
2013-05-04 13:24:12,2,7,0,0
2013-05-04 13:24:13,2,7,0,0
2013-05-04 13:24:14,2,7,0,0
2013-05-04 13:24:15,2,7,0,0
2013-05-04 13:24:16,2,7,0,0
2013-05-04 13:24:17,2,7,0,0
2013-05-04 13:24:18,2,7,0,0
2013-05-04 13:24:19,2,7,0,0
2013-05-04 13:24:20,2,7,0,0
2013-05-04 13:24:21,2,7,0,0
2013-05-04 13:24:22,2,7,0,0
2013-05-04 13:24:23,2,7,0,0
2013-05-04 13:24:24,2,7,0,0
2013-05-04 13:24:25,2,7,0,0
2013-05-04 13:24:26,2,7,0,0
2013-05-04 13:24:27,2,7,0,0
2013-05-04 13:24:28,2,7,0,0
2013-05-04 13:24:29,2,7,0,0
2013-05-04 13:24:30,2,7,0,0
2013-05-04 13:24:31,2,7,0,0
2013-05-04 13:24:32,2,7,0,0
2013-05-04 13:24:33,2,7,0,0
2013-05-04 13:24:34,2,7,0,0
2013-05-04 13:24:35,0,7,0,0
2013-05-04 13:24:36,2,7,0,0
2013-05-04 13:24:37,2,7,0,0
2013-05-04 13:24:38,2,7,0,0
2013-05-04 13:24:39,2,7,0,0
2013-05-04 13:24:40,2,7,0,0
2013-05-04 13:24:41,2,7,0,0
2013-05-04 13:24:42,0,7,0,0
2013-05-04 13:24:43,0,7,0,0
2013-05-04 13:24:44,0,7,0,0
2013-05-04 13:24:45,0,7,0,0
2013-05-04 13:24:46,0,8,0,0
2013-05-04 13:24:47,0,8,0,0
2013-05-04 13:24:48,0,7,0,0
2013-05-04 13:24:49,0,7,0,0
2013-05-04 13:24:50,0,7,0,0
2013-05-04 13:24:51,0,7,0,0
2013-05-04 13:24:52,0,7,0,0
