time,christina,charles,jonathan
2014-03-08 12:15:26,0,0,0
2014-03-08 12:15:27,6,4,2
2014-03-08 12:15:28,7,6,5
2014-03-08 12:15:29,7,7,5
2014-03-08 12:15:30,7,7,7
2014-03-08 12:15:31,7,7,7
2014-03-08 12:15:32,7,7,7
2014-03-08 12:15:33,7,6,7
2014-03-08 12:15:34,7,6,6
2014-03-08 12:15:35,6,6,7
2014-03-08 12:15:36,6,6,7
2014-03-08 12:15:37,6,6,7
2014-03-08 12:15:38,6,6,7
2014-03-08 12:15:39,6,6,7
2014-03-08 12:15:40,6,6,7
2014-03-08 12:15:41,6,6,7
2014-03-08 12:15:42,6,6,7
2014-03-08 12:15:43,6,6,7
2014-03-08 12:15:44,6,6,7
2014-03-08 12:15:45,6,6,7
2014-03-08 12:15:46,6,6,7
2014-03-08 12:15:47,6,6,7
2014-03-08 12:15:48,6,6,7
2014-03-08 12:15:49,6,6,7
2014-03-08 12:15:50,6,6,7
2014-03-08 12:15:51,6,6,7
2014-03-08 12:15:52,6,6,7
2014-03-08 12:15:53,6,6,7
2014-03-08 12:15:54,6,6,7
2014-03-08 12:15:55,6,7,7
2014-03-08 12:15:56,6,6,7
2014-03-08 12:15:57,6,6,7
2014-03-08 12:15:58,6,7,7
2014-03-08 12:15:59,6,7,7
2014-03-08 12:16:00,6,7,7
2014-03-08 12:16:01,6,7,7
2014-03-08 12:16:02,6,6,7
2014-03-08 12:16:03,6,6,7
2014-03-08 12:16:04,6,6,7
2014-03-08 12:16:05,6,6,7
2014-03-08 12:16:06,6,6,7
2014-03-08 12:16:07,6,6,7
2014-03-08 12:16:08,6,6,7
2014-03-08 12:16:09,6,6,7
2014-03-08 12:16:10,6,6,7
2014-03-08 12:16:11,6,6,7
2014-03-08 12:16:12,6,6,7
2014-03-08 12:16:13,6,7,7
2014-03-08 12:16:14,6,6,6
2014-03-08 12:16:15,6,6,7
2014-03-08 12:16:16,6,6,7
2014-03-08 12:16:17,6,6,7
2014-03-08 12:16:18,6,6,7
2014-03-08 12:16:19,6,6,7
2014-03-08 12:16:20,6,6,7
2014-03-08 12:16:21,6,6,7
2014-03-08 12:16:22,6,6,7
2014-03-08 12:16:23,6,6,7
2014-03-08 12:16:24,6,6,7
2014-03-08 12:16:25,6,7,7
2014-03-08 12:16:26,6,7,7
2014-03-08 12:16:27,6,7,7
2014-03-08 12:16:28,6,7,7
2014-03-08 12:16:29,6,7,7
2014-03-08 12:16:30,6,6,7
2014-03-08 12:16:31,6,6,7
2014-03-08 12:16:32,6,6,7
2014-03-08 12:16:33,6,6,7
2014-03-08 12:16:34,7,6,7
2014-03-08 12:16:35,6,6,7
2014-03-08 12:16:36,6,6,7
2014-03-08 12:16:37,6,6,7
2014-03-08 12:16:38,6,6,7
2014-03-08 12:16:39,6,6,7
2014-03-08 12:16:40,7,7,7
2014-03-08 12:16:41,7,6,7
2014-03-08 12:16:42,7,6,7
2014-03-08 12:16:43,7,6,7
2014-03-08 12:16:44,7,6,7
2014-03-08 12:16:45,7,6,7
2014-03-08 12:16:46,4,7,8
2014-03-08 12:16:47,4,7,8
2014-03-08 12:16:48,4,7,7
2014-03-08 12:16:49,2,7,7
2014-03-08 12:16:50,2,7,6
2014-03-08 12:16:51,2,7,7
2014-03-08 12:16:52,2,7,7
2014-03-08 12:16:53,2,7,7
2014-03-08 12:16:54,2,6,7
2014-03-08 12:16:55,2,6,7
2014-03-08 12:16:56,2,6,7
2014-03-08 12:16:57,2,7,7
2014-03-08 12:16:58,2,7,7
2014-03-08 12:16:59,2,7,7
2014-03-08 12:17:00,2,7,7
2014-03-08 12:17:01,2,6,7
2014-03-08 12:17:02,2,6,7
2014-03-08 12:17:03,2,7,7
