time,yvonne,jonathan,christina,charles
2014-08-24 14:39:19,2,2,2,2
2014-08-24 14:39:20,2,2,2,2
2014-08-24 14:39:21,2,2,2,2
2014-08-24 14:39:22,2,2,2,2
2014-08-24 14:39:23,2,2,2,2
2014-08-24 14:39:24,2,2,2,2
2014-08-24 14:39:25,2,2,2,2
2014-08-24 14:39:26,2,2,2,2
2014-08-24 14:39:27,2,2,2,2
2014-08-24 14:39:28,4,2,2,2
2014-08-24 14:39:29,4,2,2,2
2014-08-24 14:39:30,8,2,2,2
2014-08-24 14:39:31,2,8,2,2
2014-08-24 14:39:32,3,8,2,2
2014-08-24 14:39:33,3,3,2,2
2014-08-24 14:39:34,2,3,2,2
2014-08-24 14:39:35,2,3,2,2
2014-08-24 14:39:36,2,3,2,2
2014-08-24 14:39:37,2,3,0,0
2014-08-24 14:39:38,0,3,0,0
2014-08-24 14:39:39,0,0,0,0
2014-08-24 14:39:40,0,0,0,0
2014-08-24 14:39:41,0,0,0,0
2014-08-24 14:39:42,0,0,0,0
2014-08-24 14:39:43,0,0,0,0
2014-08-24 14:39:44,0,0,0,0
2014-08-24 14:39:45,0,0,0,0
2014-08-24 14:39:46,0,0,0,0
2014-08-24 14:39:47,0,0,0,0
2014-08-24 14:39:48,0,0,0,0
2014-08-24 14:39:49,0,0,0,0
2014-08-24 14:39:50,0,0,0,0
2014-08-24 14:39:51,0,0,0,0
2014-08-24 14:39:52,0,0,0,0
2014-08-24 14:39:53,0,0,0,0
2014-08-24 14:39:54,0,0,0,0
2014-08-24 14:39:55,0,0,0,0
2014-08-24 14:39:56,0,0,0,0
2014-08-24 14:39:57,0,0,0,0
2014-08-24 14:39:58,0,0,2,0
2014-08-24 14:39:59,0,5,5,0
2014-08-24 14:40:00,0,5,4,0
2014-08-24 14:40:01,0,7,4,0
2014-08-24 14:40:02,0,7,4,0
2014-08-24 14:40:03,2,7,4,0
2014-08-24 14:40:04,5,7,4,0
2014-08-24 14:40:05,5,7,4,0
2014-08-24 14:40:06,5,4,0,0
2014-08-24 14:40:07,5,4,0,0
2014-08-24 14:40:08,5,2,0,0
2014-08-24 14:40:09,5,2,0,0
2014-08-24 14:40:10,5,7,0,0
2014-08-24 14:40:11,5,7,0,0
2014-08-24 14:40:12,7,7,0,0
2014-08-24 14:40:13,7,7,0,0
2014-08-24 14:40:14,7,7,0,0
2014-08-24 14:40:15,7,5,0,0
2014-08-24 14:40:16,7,7,2,0
2014-08-24 14:40:17,7,7,5,0
2014-08-24 14:40:18,7,7,4,0
2014-08-24 14:40:19,7,7,4,0
2014-08-24 14:40:20,4,7,4,0
2014-08-24 14:40:21,4,7,4,0
2014-08-24 14:40:22,7,7,4,0
2014-08-24 14:40:23,7,5,0,0
2014-08-24 14:40:24,7,5,0,0
2014-08-24 14:40:25,7,5,0,0
2014-08-24 14:40:26,5,0,0,0
2014-08-24 14:40:27,5,0,0,0
2014-08-24 14:40:28,2,0,0,0
2014-08-24 14:40:29,0,0,0,0
2014-08-24 14:40:30,0,0,0,0
2014-08-24 14:40:31,0,0,0,0
2014-08-24 14:40:32,0,0,0,0
2014-08-24 14:40:33,0,0,0,0
2014-08-24 14:40:34,0,0,0,0
2014-08-24 14:40:35,0,0,0,0
2014-08-24 14:40:36,0,0,0,0
2014-08-24 14:40:37,0,2,0,0
2014-08-24 14:40:38,0,2,0,0
2014-08-24 14:40:39,0,2,2,0
2014-08-24 14:40:40,0,2,2,0
2014-08-24 14:40:41,0,2,2,0
2014-08-24 14:40:42,0,2,2,0
2014-08-24 14:40:43,0,2,2,0
2014-08-24 14:40:44,0,0,1,0
2014-08-24 14:40:45,0,0,0,0
2014-08-24 14:40:46,0,2,0,0
2014-08-24 14:40:47,0,2,0,0
2014-08-24 14:40:48,0,8,0,0
2014-08-24 14:40:49,0,8,0,0
2014-08-24 14:40:50,0,8,0,0
2014-08-24 14:40:51,2,3,0,0
2014-08-24 14:40:52,4,3,0,0
2014-08-24 14:40:53,3,0,0,0
2014-08-24 14:40:54,3,0,0,0
2014-08-24 14:40:55,1,0,0,0
2014-08-24 14:40:56,1,0,0,0
2014-08-24 14:40:57,1,0,0,0
2014-08-24 14:40:58,3,0,0,0
2014-08-24 14:40:59,3,0,0,0
2014-08-24 14:41:00,4,0,0,0
2014-08-24 14:41:01,0,0,2,0
2014-08-24 14:41:02,0,0,2,0
2014-08-24 14:41:03,0,0,2,0
2014-08-24 14:41:04,0,0,2,0
2014-08-24 14:41:05,0,0,2,0
2014-08-24 14:41:06,0,0,0,0
2014-08-24 14:41:07,0,0,0,0
2014-08-24 14:41:08,0,0,0,0
2014-08-24 14:41:09,0,0,0,0
2014-08-24 14:41:10,0,0,0,0
2014-08-24 14:41:11,0,0,2,0
2014-08-24 14:41:12,0,0,2,0
2014-08-24 14:41:13,0,0,2,0
2014-08-24 14:41:14,0,0,3,0
2014-08-24 14:41:15,0,0,1,0
2014-08-24 14:41:16,0,0,1,0
2014-08-24 14:41:17,0,0,1,2
2014-08-24 14:41:18,0,0,3,2
2014-08-24 14:41:19,0,2,1,2
2014-08-24 14:41:20,3,2,1,2
2014-08-24 14:41:21,4,2,2,2
2014-08-24 14:41:22,4,2,8,2
2014-08-24 14:41:23,4,2,8,2
2014-08-24 14:41:24,4,2,8,2
2014-08-24 14:41:25,4,2,4,2
2014-08-24 14:41:26,4,2,4,2
2014-08-24 14:41:27,4,2,4,2
2014-08-24 14:41:28,4,2,8,2
2014-08-24 14:41:29,4,3,2,2
2014-08-24 14:41:30,4,4,2,2
2014-08-24 14:41:31,4,4,2,2
2014-08-24 14:41:32,4,4,0,2
2014-08-24 14:41:33,4,4,0,2
2014-08-24 14:41:34,4,4,2,2
2014-08-24 14:41:35,4,4,2,2
2014-08-24 14:41:36,4,4,2,1
2014-08-24 14:41:37,4,3,2,1
2014-08-24 14:41:38,4,3,2,1
2014-08-24 14:41:39,4,4,2,1
2014-08-24 14:41:40,4,4,1,2
2014-08-24 14:41:41,4,4,1,2
2014-08-24 14:41:42,4,4,3,2
2014-08-24 14:41:43,4,4,3,1
2014-08-24 14:41:44,4,4,3,1
2014-08-24 14:41:45,2,4,2,1
2014-08-24 14:41:46,0,4,2,1
2014-08-24 14:41:47,0,4,2,1
2014-08-24 14:41:48,8,4,2,1
2014-08-24 14:41:49,4,4,4,2
