time,yvonne,charles,charles_ipadair
2014-05-05 20:05:21,0,0,0
2014-05-05 20:05:22,2,0,0
2014-05-05 20:05:23,2,0,0
2014-05-05 20:05:24,2,0,0
2014-05-05 20:05:25,2,0,0
2014-05-05 20:05:26,2,0,0
2014-05-05 20:05:27,2,0,0
2014-05-05 20:05:28,0,0,0
2014-05-05 20:05:29,0,0,0
2014-05-05 20:05:30,0,0,0
2014-05-05 20:05:31,0,0,0
2014-05-05 20:05:32,0,0,0
2014-05-05 20:05:33,0,0,0
2014-05-05 20:05:34,0,0,0
2014-05-05 20:05:35,0,0,0
2014-05-05 20:05:36,0,0,0
2014-05-05 20:05:37,0,0,0
2014-05-05 20:05:38,2,0,0
2014-05-05 20:05:39,2,0,0
2014-05-05 20:05:40,7,6,7
2014-05-05 20:05:41,7,6,7
2014-05-05 20:05:42,7,6,7
2014-05-05 20:05:43,7,7,7
2014-05-05 20:05:44,7,8,7
2014-05-05 20:05:45,7,7,7
2014-05-05 20:05:46,7,7,7
2014-05-05 20:05:47,7,8,8
2014-05-05 20:05:48,7,7,7
2014-05-05 20:05:49,7,7,7
2014-05-05 20:05:50,7,7,7
2014-05-05 20:05:51,7,8,8
2014-05-05 20:05:52,7,7,7
2014-05-05 20:05:53,7,7,7
2014-05-05 20:05:54,7,7,7
2014-05-05 20:05:55,8,8,8
2014-05-05 20:05:56,7,7,7
2014-05-05 20:05:57,7,7,7
2014-05-05 20:05:58,7,7,7
2014-05-05 20:05:59,8,8,8
2014-05-05 20:06:00,7,7,7
2014-05-05 20:06:01,7,7,7
2014-05-05 20:06:02,7,7,7
2014-05-05 20:06:03,8,8,7
2014-05-05 20:06:04,7,7,7
2014-05-05 20:06:05,7,7,7
2014-05-05 20:06:06,8,8,8
2014-05-05 20:06:07,7,7,7
2014-05-05 20:06:08,7,7,7
2014-05-05 20:06:09,7,7,7
2014-05-05 20:06:10,8,7,8
2014-05-05 20:06:11,7,7,7
2014-05-05 20:06:12,7,4,7
2014-05-05 20:06:13,8,8,8
2014-05-05 20:06:14,7,2,7
2014-05-05 20:06:15,7,2,7
2014-05-05 20:06:16,7,4,7
2014-05-05 20:06:17,7,2,7
2014-05-05 20:06:18,7,2,7
2014-05-05 20:06:19,7,2,7
2014-05-05 20:06:20,7,2,7
2014-05-05 20:06:21,7,2,7
2014-05-05 20:06:22,7,2,6
2014-05-05 20:06:23,8,2,8
2014-05-05 20:06:24,7,2,6
2014-05-05 20:06:25,7,2,6
2014-05-05 20:06:26,8,2,8
2014-05-05 20:06:27,7,2,7
2014-05-05 20:06:28,7,2,7
2014-05-05 20:06:29,8,2,8
2014-05-05 20:06:30,7,2,7
2014-05-05 20:06:31,7,2,7
2014-05-05 20:06:32,8,2,8
2014-05-05 20:06:33,7,2,7
2014-05-05 20:06:34,7,2,6
2014-05-05 20:06:35,8,2,8
2014-05-05 20:06:36,7,2,6
2014-05-05 20:06:37,7,2,6
2014-05-05 20:06:38,8,2,8
2014-05-05 20:06:39,7,2,6
2014-05-05 20:06:40,4,2,6
2014-05-05 20:06:41,4,2,8
2014-05-05 20:06:42,4,2,6
2014-05-05 20:06:43,4,2,6
2014-05-05 20:06:44,2,2,7
2014-05-05 20:06:45,2,2,7
2014-05-05 20:06:46,2,2,7
2014-05-05 20:06:47,2,2,6
2014-05-05 20:06:48,2,2,7
2014-05-05 20:06:49,2,2,8
2014-05-05 20:06:50,2,2,7
2014-05-05 20:06:51,2,2,7
2014-05-05 20:06:52,2,2,8
2014-05-05 20:06:53,2,2,7
2014-05-05 20:06:54,2,2,7
2014-05-05 20:06:55,2,2,7
2014-05-05 20:06:56,2,2,7
2014-05-05 20:06:57,2,2,7
2014-05-05 20:06:58,2,2,4
2014-05-05 20:06:59,2,2,4
2014-05-05 20:07:00,2,2,4
2014-05-05 20:07:01,2,2,3
2014-05-05 20:07:02,2,2,2
2014-05-05 20:07:03,2,2,2
2014-05-05 20:07:04,2,2,2
2014-05-05 20:07:05,2,2,2
2014-05-05 20:07:06,2,2,2
2014-05-05 20:07:07,2,2,2
2014-05-05 20:07:08,2,2,2
2014-05-05 20:07:09,2,2,2
2014-05-05 20:07:10,2,2,2
2014-05-05 20:07:11,2,2,2
2014-05-05 20:07:12,2,2,2
2014-05-05 20:07:13,2,2,2
2014-05-05 20:07:14,2,2,2
2014-05-05 20:07:15,2,2,2
2014-05-05 20:07:16,2,2,2
2014-05-05 20:07:17,2,2,2
2014-05-05 20:07:18,2,2,2
2014-05-05 20:07:19,2,2,2
2014-05-05 20:07:20,2,2,2
2014-05-05 20:07:21,2,2,2
2014-05-05 20:07:22,2,2,2
2014-05-05 20:07:23,2,2,2
2014-05-05 20:07:24,4,2,2
2014-05-05 20:07:25,3,4,4
2014-05-05 20:07:26,4,4,4
2014-05-05 20:07:27,4,4,8
2014-05-05 20:07:28,4,7,7
2014-05-05 20:07:29,7,7,7
2014-05-05 20:07:30,7,7,7
2014-05-05 20:07:31,7,7,7
2014-05-05 20:07:32,7,7,7
2014-05-05 20:07:33,4,7,7
2014-05-05 20:07:34,4,7,8
2014-05-05 20:07:35,4,7,7
2014-05-05 20:07:36,4,7,8
2014-05-05 20:07:37,4,7,7
2014-05-05 20:07:38,4,7,7
2014-05-05 20:07:39,7,7,7
2014-05-05 20:07:40,7,7,7
2014-05-05 20:07:41,7,7,8
2014-05-05 20:07:42,7,7,7
2014-05-05 20:07:43,7,7,8
2014-05-05 20:07:44,7,7,7
2014-05-05 20:07:45,7,7,8
2014-05-05 20:07:46,7,7,7
2014-05-05 20:07:47,7,7,7
2014-05-05 20:07:48,8,7,7
2014-05-05 20:07:49,7,7,7
2014-05-05 20:07:50,8,7,7
2014-05-05 20:07:51,7,7,7
2014-05-05 20:07:52,8,7,8
2014-05-05 20:07:53,7,7,7
2014-05-05 20:07:54,8,7,8
2014-05-05 20:07:55,7,4,8
2014-05-05 20:07:56,7,8,7
2014-05-05 20:07:57,7,8,7
2014-05-05 20:07:58,7,2,4
2014-05-05 20:07:59,8,2,4
2014-05-05 20:08:00,7,2,4
2014-05-05 20:08:01,8,2,4
