time,charles,charles_ipadair,yvonne
2014-05-05 21:13:50,0,0,0
2014-05-05 21:13:51,2,0,0
2014-05-05 21:13:52,2,0,0
2014-05-05 21:13:53,2,0,0
2014-05-05 21:13:54,2,0,0
2014-05-05 21:13:55,2,2,0
2014-05-05 21:13:56,2,2,0
2014-05-05 21:13:57,2,2,0
2014-05-05 21:13:58,2,2,0
2014-05-05 21:13:59,2,2,0
2014-05-05 21:14:00,2,2,0
2014-05-05 21:14:01,2,1,0
2014-05-05 21:14:02,2,1,0
2014-05-05 21:14:03,2,3,0
2014-05-05 21:14:04,2,3,0
2014-05-05 21:14:05,2,1,0
2014-05-05 21:14:06,2,1,0
2014-05-05 21:14:07,2,1,1
2014-05-05 21:14:08,2,1,2
2014-05-05 21:14:09,2,1,2
2014-05-05 21:14:10,2,1,2
2014-05-05 21:14:11,2,1,2
2014-05-05 21:14:12,0,1,2
2014-05-05 21:14:13,0,1,0
2014-05-05 21:14:14,0,1,2
2014-05-05 21:14:15,0,1,2
2014-05-05 21:14:16,0,1,2
2014-05-05 21:14:17,0,1,2
2014-05-05 21:14:18,0,1,2
2014-05-05 21:14:19,0,1,2
2014-05-05 21:14:20,0,1,0
2014-05-05 21:14:21,3,1,2
2014-05-05 21:14:22,3,1,2
2014-05-05 21:14:23,3,1,2
2014-05-05 21:14:24,3,1,2
2014-05-05 21:14:25,3,2,2
2014-05-05 21:14:26,0,0,5
2014-05-05 21:14:27,0,0,5
2014-05-05 21:14:28,0,0,5
2014-05-05 21:14:29,0,0,5
2014-05-05 21:14:30,0,0,2
2014-05-05 21:14:31,0,0,5
2014-05-05 21:14:32,0,0,5
2014-05-05 21:14:33,0,0,2
2014-05-05 21:14:34,0,0,2
2014-05-05 21:14:35,0,2,2
2014-05-05 21:14:36,7,2,2
2014-05-05 21:14:37,7,2,2
2014-05-05 21:14:38,4,2,2
2014-05-05 21:14:39,4,1,2
2014-05-05 21:14:40,4,1,2
2014-05-05 21:14:41,4,1,3
2014-05-05 21:14:42,8,1,2
2014-05-05 21:14:43,2,1,2
2014-05-05 21:14:44,2,8,2
2014-05-05 21:14:45,8,0,2
2014-05-05 21:14:46,8,0,5
2014-05-05 21:14:47,8,0,5
2014-05-05 21:14:48,8,0,5
2014-05-05 21:14:49,8,0,5
2014-05-05 21:14:50,2,0,5
2014-05-05 21:14:51,2,0,0
2014-05-05 21:14:52,2,0,0
2014-05-05 21:14:53,2,0,0
2014-05-05 21:14:54,2,0,2
2014-05-05 21:14:55,2,0,2
2014-05-05 21:14:56,2,0,2
2014-05-05 21:14:57,2,3,2
2014-05-05 21:14:58,0,3,2
2014-05-05 21:14:59,0,3,2
2014-05-05 21:15:00,0,3,2
2014-05-05 21:15:01,6,3,0
2014-05-05 21:15:02,6,3,0
2014-05-05 21:15:03,2,3,2
2014-05-05 21:15:04,1,0,4
2014-05-05 21:15:05,1,0,4
2014-05-05 21:15:06,1,0,4
2014-05-05 21:15:07,1,0,4
2014-05-05 21:15:08,1,0,7
2014-05-05 21:15:09,1,0,7
2014-05-05 21:15:10,1,0,7
2014-05-05 21:15:11,1,0,7
2014-05-05 21:15:12,1,0,7
2014-05-05 21:15:13,1,0,4
2014-05-05 21:15:14,1,0,3
2014-05-05 21:15:15,1,0,3
2014-05-05 21:15:16,1,0,3
2014-05-05 21:15:17,1,0,3
2014-05-05 21:15:18,1,0,3
2014-05-05 21:15:19,1,0,3
2014-05-05 21:15:20,1,0,1
2014-05-05 21:15:21,1,0,1
2014-05-05 21:15:22,1,0,1
2014-05-05 21:15:23,1,0,2
2014-05-05 21:15:24,1,0,2
2014-05-05 21:15:25,1,0,2
2014-05-05 21:15:26,1,0,2
2014-05-05 21:15:27,1,0,2
2014-05-05 21:15:28,1,0,2
2014-05-05 21:15:29,1,0,2
2014-05-05 21:15:30,3,0,2
2014-05-05 21:15:31,3,0,2
2014-05-05 21:15:32,3,0,2
2014-05-05 21:15:33,1,0,2
2014-05-05 21:15:34,1,0,2
2014-05-05 21:15:35,1,0,2
2014-05-05 21:15:36,1,0,2
2014-05-05 21:15:37,1,0,2
