time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 12:57:26,2,6,4,8,2,2,7
2014-03-15 12:57:27,2,6,4,8,2,2,7
2014-03-15 12:57:28,2,7,8,8,2,2,8
2014-03-15 12:57:29,2,7,8,8,2,2,8
2014-03-15 12:57:30,2,7,8,8,2,2,8
2014-03-15 12:57:31,2,7,8,8,2,2,8
2014-03-15 12:57:32,2,7,8,8,2,2,8
2014-03-15 12:57:33,2,4,8,8,2,2,8
2014-03-15 12:57:34,2,4,8,8,2,2,8
2014-03-15 12:57:35,2,4,8,8,2,2,8
2014-03-15 12:57:36,2,2,8,8,2,2,8
2014-03-15 12:57:37,2,2,8,7,2,2,8
2014-03-15 12:57:38,2,2,8,7,2,2,7
2014-03-15 12:57:39,2,2,8,4,2,2,7
2014-03-15 12:57:40,2,2,2,4,2,2,4
2014-03-15 12:57:41,2,2,2,4,2,2,4
2014-03-15 12:57:42,2,2,8,2,2,2,4
2014-03-15 12:57:43,2,2,2,2,2,2,4
2014-03-15 12:57:44,2,2,2,2,2,2,4
2014-03-15 12:57:45,2,2,2,2,2,2,4
2014-03-15 12:57:46,2,2,2,2,2,2,4
2014-03-15 12:57:47,2,2,2,2,2,2,4
2014-03-15 12:57:48,2,2,2,2,2,2,4
2014-03-15 12:57:49,2,2,2,2,2,2,2
2014-03-15 12:57:50,2,2,2,2,2,2,8
2014-03-15 12:57:51,2,2,8,2,2,2,2
2014-03-15 12:57:52,2,2,8,2,2,2,8
2014-03-15 12:57:53,2,2,8,2,2,2,8
2014-03-15 12:57:54,2,2,5,2,2,2,8
2014-03-15 12:57:55,2,2,5,2,2,2,2
2014-03-15 12:57:56,2,2,5,2,2,2,2
2014-03-15 12:57:57,2,2,5,2,2,2,2
2014-03-15 12:57:58,2,2,4,2,2,2,2
2014-03-15 12:57:59,2,2,4,2,2,2,2
2014-03-15 12:58:00,2,2,4,2,2,2,2
2014-03-15 12:58:01,2,2,8,2,2,2,2
2014-03-15 12:58:02,2,2,8,2,2,2,2
2014-03-15 12:58:03,2,2,8,2,2,2,0
2014-03-15 12:58:04,2,2,8,2,2,2,2
2014-03-15 12:58:05,2,2,8,2,2,2,2
2014-03-15 12:58:06,2,2,8,2,2,2,2
2014-03-15 12:58:07,2,2,8,2,2,2,2
2014-03-15 12:58:08,2,2,8,2,2,2,2
2014-03-15 12:58:09,2,2,4,2,2,2,2
2014-03-15 12:58:10,2,2,2,2,2,2,2
2014-03-15 12:58:11,2,2,2,2,2,2,2
2014-03-15 12:58:12,2,2,2,2,2,2,2
2014-03-15 12:58:13,2,2,2,2,2,2,2
2014-03-15 12:58:14,2,2,2,2,2,2,8
2014-03-15 12:58:15,2,2,2,2,2,2,2
2014-03-15 12:58:16,2,2,2,2,2,2,2
2014-03-15 12:58:17,2,2,2,2,2,2,2
2014-03-15 12:58:18,2,2,2,2,2,2,8
2014-03-15 12:58:19,2,2,2,8,2,2,2
2014-03-15 12:58:20,2,4,4,8,2,3,2
2014-03-15 12:58:21,4,4,4,8,4,4,8
2014-03-15 12:58:22,4,4,4,8,4,4,8
2014-03-15 12:58:23,4,7,4,7,6,7,8
