time,jonathan,yvonne,christina,charles
2014-04-28 16:19:37,0,0,0,0
2014-04-28 16:19:38,6,0,0,0
2014-04-28 16:19:39,2,0,0,0
2014-04-28 16:19:40,2,0,0,0
2014-04-28 16:19:41,2,0,0,0
2014-04-28 16:19:42,2,0,0,0
2014-04-28 16:19:43,1,0,0,0
2014-04-28 16:19:44,1,0,0,0
2014-04-28 16:19:45,1,0,0,0
2014-04-28 16:19:46,1,0,0,0
2014-04-28 16:19:47,1,0,0,0
2014-04-28 16:19:48,1,0,0,0
2014-04-28 16:19:49,1,0,0,0
2014-04-28 16:19:50,1,0,0,0
2014-04-28 16:19:51,1,0,0,0
2014-04-28 16:19:52,2,0,0,0
2014-04-28 16:19:53,0,3,0,0
2014-04-28 16:19:54,0,4,0,0
2014-04-28 16:19:55,0,4,0,0
2014-04-28 16:19:56,0,4,0,0
2014-04-28 16:19:57,0,4,0,0
2014-04-28 16:19:58,0,4,0,0
2014-04-28 16:19:59,0,4,0,0
2014-04-28 16:20:00,0,4,0,0
2014-04-28 16:20:01,0,4,0,0
2014-04-28 16:20:02,0,4,0,0
2014-04-28 16:20:03,0,4,0,0
2014-04-28 16:20:04,0,0,0,0
2014-04-28 16:20:05,0,4,0,0
2014-04-28 16:20:06,0,4,0,0
2014-04-28 16:20:07,0,4,0,0
2014-04-28 16:20:08,0,3,0,0
2014-04-28 16:20:09,0,3,0,0
2014-04-28 16:20:10,0,1,0,0
2014-04-28 16:20:11,0,1,0,0
2014-04-28 16:20:12,0,1,0,0
2014-04-28 16:20:13,0,1,0,0
2014-04-28 16:20:14,0,1,0,0
2014-04-28 16:20:15,0,1,0,0
2014-04-28 16:20:16,0,1,2,0
2014-04-28 16:20:17,0,1,3,0
2014-04-28 16:20:18,0,2,1,0
2014-04-28 16:20:19,0,0,1,0
2014-04-28 16:20:20,0,0,1,0
2014-04-28 16:20:21,0,0,3,0
2014-04-28 16:20:22,0,0,2,0
2014-04-28 16:20:23,0,0,0,2
2014-04-28 16:20:24,0,0,0,1
2014-04-28 16:20:25,0,0,0,1
2014-04-28 16:20:26,0,0,0,1
2014-04-28 16:20:27,0,0,0,1
2014-04-28 16:20:28,0,0,0,1
2014-04-28 16:20:29,0,0,0,1
2014-04-28 16:20:30,0,0,0,1
2014-04-28 16:20:31,0,0,0,1
2014-04-28 16:20:32,0,0,0,1
2014-04-28 16:20:33,0,0,2,3
2014-04-28 16:20:34,0,0,3,2
2014-04-28 16:20:35,0,0,3,0
2014-04-28 16:20:36,0,0,3,0
2014-04-28 16:20:37,0,0,1,0
2014-04-28 16:20:38,0,0,3,0
2014-04-28 16:20:39,0,0,2,0
2014-04-28 16:20:40,0,0,1,0
2014-04-28 16:20:41,0,0,1,0
2014-04-28 16:20:42,0,0,1,0
2014-04-28 16:20:43,2,0,1,0
2014-04-28 16:20:44,3,0,1,0
2014-04-28 16:20:45,3,0,2,0
2014-04-28 16:20:46,3,0,2,0
2014-04-28 16:20:47,3,0,0,0
2014-04-28 16:20:48,2,0,0,0
2014-04-28 16:20:49,0,0,0,0
2014-04-28 16:20:50,0,0,0,4
2014-04-28 16:20:51,0,0,0,4
2014-04-28 16:20:52,0,0,0,4
2014-04-28 16:20:53,0,0,0,4
2014-04-28 16:20:54,0,0,0,7
2014-04-28 16:20:55,0,0,0,6
2014-04-28 16:20:56,0,0,0,6
2014-04-28 16:20:57,0,0,0,8
2014-04-28 16:20:58,0,0,0,6
2014-04-28 16:20:59,0,0,0,7
2014-04-28 16:21:00,0,0,0,4
2014-04-28 16:21:01,0,0,0,4
2014-04-28 16:21:02,0,0,0,4
2014-04-28 16:21:03,0,0,0,0
2014-04-28 16:21:04,0,0,0,0
2014-04-28 16:21:05,0,0,0,0
2014-04-28 16:21:06,0,0,0,0
2014-04-28 16:21:07,0,0,0,0
2014-04-28 16:21:08,0,0,0,0
2014-04-28 16:21:09,0,0,0,0
2014-04-28 16:21:10,0,0,0,0
2014-04-28 16:21:11,0,0,0,0
2014-04-28 16:21:12,0,0,0,0
2014-04-28 16:21:13,0,0,0,0
2014-04-28 16:21:14,0,0,0,0
2014-04-28 16:21:15,0,0,0,0
