time,jonathan,charles,christina,yvonne
2014-04-28 16:24:51,0,0,0,0
2014-04-28 16:24:52,3,0,0,0
2014-04-28 16:24:53,1,0,0,0
2014-04-28 16:24:54,1,0,0,0
2014-04-28 16:24:55,1,0,0,0
2014-04-28 16:24:56,1,0,0,0
2014-04-28 16:24:57,2,2,0,0
2014-04-28 16:24:58,2,2,0,0
2014-04-28 16:24:59,2,2,0,0
2014-04-28 16:25:00,1,2,0,0
2014-04-28 16:25:01,1,2,0,0
2014-04-28 16:25:02,1,2,0,0
2014-04-28 16:25:03,1,2,0,0
2014-04-28 16:25:04,2,2,0,0
2014-04-28 16:25:05,0,2,0,0
2014-04-28 16:25:06,0,2,0,0
2014-04-28 16:25:07,0,2,0,0
2014-04-28 16:25:08,0,2,0,0
2014-04-28 16:25:09,0,2,0,0
2014-04-28 16:25:10,0,0,0,0
2014-04-28 16:25:11,0,0,0,0
2014-04-28 16:25:12,0,0,0,0
2014-04-28 16:25:13,0,0,0,0
2014-04-28 16:25:14,0,0,0,0
2014-04-28 16:25:15,2,0,0,0
2014-04-28 16:25:16,2,2,0,0
2014-04-28 16:25:17,2,3,0,0
2014-04-28 16:25:18,2,3,0,0
2014-04-28 16:25:19,2,3,0,0
2014-04-28 16:25:20,0,3,0,0
2014-04-28 16:25:21,0,2,0,0
2014-04-28 16:25:22,0,0,0,0
2014-04-28 16:25:23,0,0,0,0
2014-04-28 16:25:24,0,0,0,0
2014-04-28 16:25:25,0,0,0,0
2014-04-28 16:25:26,0,0,0,0
2014-04-28 16:25:27,0,0,0,0
2014-04-28 16:25:28,0,0,0,0
2014-04-28 16:25:29,0,0,0,0
2014-04-28 16:25:30,2,0,0,0
2014-04-28 16:25:31,1,0,0,0
2014-04-28 16:25:32,1,0,0,0
2014-04-28 16:25:33,1,0,0,0
2014-04-28 16:25:34,1,0,0,0
2014-04-28 16:25:35,1,0,0,0
2014-04-28 16:25:36,2,0,0,0
2014-04-28 16:25:37,2,0,0,0
2014-04-28 16:25:38,0,0,0,0
2014-04-28 16:25:39,0,0,0,0
2014-04-28 16:25:40,0,0,0,0
2014-04-28 16:25:41,0,0,0,0
2014-04-28 16:25:42,0,0,0,0
2014-04-28 16:25:43,0,0,0,0
2014-04-28 16:25:44,0,0,0,0
2014-04-28 16:25:45,0,0,0,0
2014-04-28 16:25:46,2,0,0,0
2014-04-28 16:25:47,1,0,0,0
2014-04-28 16:25:48,1,0,0,0
2014-04-28 16:25:49,1,0,0,0
2014-04-28 16:25:50,1,0,0,0
2014-04-28 16:25:51,1,0,0,0
2014-04-28 16:25:52,1,0,0,0
2014-04-28 16:25:53,1,0,0,0
2014-04-28 16:25:54,2,0,0,0
2014-04-28 16:25:55,0,0,0,0
2014-04-28 16:25:56,0,0,0,0
2014-04-28 16:25:57,0,0,0,0
2014-04-28 16:25:58,0,0,0,0
2014-04-28 16:25:59,0,0,0,0
2014-04-28 16:26:00,0,0,0,0
2014-04-28 16:26:01,0,0,0,0
2014-04-28 16:26:02,0,0,0,0
2014-04-28 16:26:03,0,0,0,0
2014-04-28 16:26:04,0,0,0,0
2014-04-28 16:26:05,0,0,0,0
2014-04-28 16:26:06,0,0,0,0
2014-04-28 16:26:07,0,0,2,0
2014-04-28 16:26:08,1,0,2,0
2014-04-28 16:26:09,1,0,2,0
2014-04-28 16:26:10,1,0,2,0
2014-04-28 16:26:11,1,0,2,0
2014-04-28 16:26:12,1,0,2,0
2014-04-28 16:26:13,1,0,0,0
2014-04-28 16:26:14,1,0,0,0
2014-04-28 16:26:15,1,0,0,0
2014-04-28 16:26:16,1,0,0,0
2014-04-28 16:26:17,1,0,0,0
2014-04-28 16:26:18,2,0,0,0
2014-04-28 16:26:19,0,0,0,0
2014-04-28 16:26:20,0,0,0,0
2014-04-28 16:26:21,0,0,0,0
2014-04-28 16:26:22,0,0,0,0
2014-04-28 16:26:23,0,0,0,0
2014-04-28 16:26:24,0,0,0,0
2014-04-28 16:26:25,0,0,0,0
2014-04-28 16:26:26,0,0,0,0
2014-04-28 16:26:27,0,0,0,0
2014-04-28 16:26:28,0,0,0,0
2014-04-28 16:26:29,0,0,0,0
2014-04-28 16:26:30,0,0,0,0
2014-04-28 16:26:31,0,0,0,0
2014-04-28 16:26:32,0,0,0,0
2014-04-28 16:26:33,0,0,0,1
2014-04-28 16:26:34,0,0,0,1
2014-04-28 16:26:35,0,0,0,1
2014-04-28 16:26:36,0,0,0,1
2014-04-28 16:26:37,0,0,0,1
2014-04-28 16:26:38,0,0,0,0
2014-04-28 16:26:39,0,0,0,0
2014-04-28 16:26:40,0,0,0,0
2014-04-28 16:26:41,0,0,0,0
2014-04-28 16:26:42,0,0,0,0
2014-04-28 16:26:43,0,0,0,0
2014-04-28 16:26:44,0,0,0,0
2014-04-28 16:26:45,0,0,0,0
2014-04-28 16:26:46,0,0,0,0
2014-04-28 16:26:47,0,0,0,0
2014-04-28 16:26:48,0,0,0,0
2014-04-28 16:26:49,0,0,2,0
2014-04-28 16:26:50,0,0,2,0
2014-04-28 16:26:51,0,2,2,0
2014-04-28 16:26:52,0,2,2,0
2014-04-28 16:26:53,0,2,2,2
2014-04-28 16:26:54,0,2,2,2
2014-04-28 16:26:55,0,2,2,1
2014-04-28 16:26:56,0,2,0,1
2014-04-28 16:26:57,0,0,0,1
2014-04-28 16:26:58,0,0,0,1
2014-04-28 16:26:59,0,0,0,1
2014-04-28 16:27:00,0,0,0,1
2014-04-28 16:27:01,0,0,0,1
2014-04-28 16:27:02,0,0,0,1
2014-04-28 16:27:03,0,0,0,0
